,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
321,9.46,-2.39,-9.8,250.13,88.47,51.5,9.83,-0.75,-1.6,bunny,
322,7.47,0.42,-5.0,250.13,9.1,117.04,9.34,-0.69,-1.6,bunny,
323,5.5,2.58,-7.23,204.84,-20.18,66.18,9.08,-1.11,-1.73,bunny,
324,5.99,1.39,-7.91,250.13,-8.61,58.9,9.54,-1.48,-1.62,bunny,
325,4.73,1.26,-5.31,207.56,7.32,24.5,9.29,-2.12,-1.52,bunny,
326,1.95,1.06,-3.25,185.21,28.01,14.8,9.19,-1.88,-1.54,bunny,
327,3.04,3.46,-5.78,140.86,54.73,-29.47,9.65,-0.84,-1.51,bunny,
328,1.74,3.55,-5.51,71.63,68.68,-45.5,9.7,-0.14,-1.24,bunny,
329,2.2,6.95,-4.09,76.63,10.73,-148.51,9.67,-1.95,-0.58,bunny,
330,4.38,5.73,-3.45,95.36,13.47,-174.31,9.3,-2.65,-0.65,bunny,
331,11.98,10.86,-5.03,193.92,62.92,-195.39,9.01,-1.56,-0.13,bunny,
332,15.41,8.41,-8.19,83.82,91.89,-228.84,9.42,-1.51,-0.07,bunny,
333,18.53,5.71,-7.73,70.36,102.27,-207.13,10.05,-1.89,0.13,bunny,
334,19.62,3.79,-8.77,115.28,75.35,-200.21,10.62,-2.23,0.01,bunny,
335,17.94,-2.18,-7.99,133.69,-34.34,-44.34,10.11,-3.86,-1.22,bunny,
336,19.48,-2.33,-5.72,203.51,-48.25,-28.22,10.09,-3.04,-1.36,bunny,
337,18.82,-3.71,-7.41,128.11,-190.02,45.71,9.93,-2.31,-1.75,bunny,
338,19.62,-3.44,-4.37,233.7,35.7,-10.59,9.52,-1.6,-1.31,bunny,
339,13.88,-2.97,-6.74,13.75,-27.7,34.28,8.85,-0.56,-1.49,bunny,
340,3.76,2.5,-0.57,195.22,77.61,142.14,9.55,-1.44,-0.88,bunny,
341,1.11,2.57,0.84,181.04,100.04,110.85,10.01,-1.27,-1.03,bunny,
342,-1.3,3.55,1.14,193.72,90.29,81.05,10.28,0.2,-1.96,bunny,
343,-2.96,5.16,0.77,157.35,63.78,31.71,10.54,1.82,-1.82,bunny,
344,-2.53,6.66,1.32,100.24,37.46,-10.64,10.52,1.75,-2.1,bunny,
345,1.78,9.17,-0.05,72.5,19.76,-58.33,10.61,1.32,-2.04,bunny,
346,2.99,9.75,-3.59,-18.24,16.23,-139.47,9.71,1.33,-1.44,bunny,
347,2.7,10.7,-2.92,-28.47,-20.4,-148.85,9.41,0.4,-1.31,bunny,
348,19.03,13.91,-5.45,-173.77,-39.98,-208.23,9.51,-1.09,-1.24,bunny,
349,17.76,8.13,-6.11,-222.25,-144.85,-174.52,9.28,0.04,-0.93,bunny,
350,3.25,10.51,1.83,109.63,16.83,-168.5,11.09,-1.04,-1.48,bunny,
351,4.8,11.64,1.14,5.2,63.27,-168.96,11.18,-1.11,-1.48,bunny,
352,6.43,13.57,0.49,-47.34,113.89,-163.29,9.37,1.3,0.02,bunny,
353,12.26,15.74,-2.13,-69.24,157.4,-198.21,8.09,0.87,-0.06,bunny,
