,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
800,9.51,0.68,5.04,79.6,93.24,-136.35,9.5,-0.78,0.11,cowboy,
801,10.63,2.59,4.48,41.4,89.1,-123.34,9.13,-0.43,0.34,cowboy,
802,11.74,3.07,4.93,30.07,48.23,-100.17,9.07,-0.44,-0.06,cowboy,
803,10.61,2.33,4.94,23.19,19.38,-104.58,9.24,-0.41,0.06,cowboy,
804,9.43,1.85,4.29,29.92,-57.38,-85.42,9.64,-0.64,0.02,cowboy,
805,11.91,5.95,6.51,-6.22,-79.14,-108.8,9.74,-0.91,0.17,cowboy,
806,15.8,8.01,5.06,121.08,86.78,-60.29,9.6,-1.11,0.29,cowboy,
807,12.45,3.57,6.59,88.57,-16.87,-97.99,10.36,-0.91,0.71,cowboy,
808,13.03,3.28,6.71,154.47,151.38,-36.99,9.92,-0.43,-0.18,cowboy,
809,11.52,3.13,6.16,-3.81,-26.14,-27.31,9.25,-0.3,-0.12,cowboy,
810,11.27,2.4,5.23,-21.92,-22.32,-12.15,9.16,-0.31,-0.02,cowboy,
811,10.01,2.23,3.96,5.76,-7.76,24.2,9.6,-1.48,0.57,cowboy,
812,11.98,2.61,4.13,41.66,51.65,19.66,9.64,-1.6,0.36,cowboy,
813,13.07,2.85,4.92,18.65,51.64,84.75,9.0,-1.79,0.62,cowboy,
814,13.85,2.14,5.28,29.09,54.72,119.85,8.9,-1.55,0.38,cowboy,
815,17.02,2.05,7.69,13.06,-17.48,214.08,9.86,-1.4,0.0,cowboy,
816,15.51,0.66,7.36,2.32,9.02,207.06,8.99,-1.66,0.52,cowboy,
817,15.37,0.19,8.25,-28.1,-70.76,223.24,9.8,-2.41,-0.46,cowboy,
818,15.69,-2.34,8.63,31.62,45.11,250.13,9.34,-2.12,0.82,cowboy,
819,12.78,-2.59,8.2,30.12,86.78,250.13,10.24,-1.13,-0.52,cowboy,
820,12.48,0.34,7.82,15.02,145.64,156.45,10.76,-0.57,-1.36,cowboy,
