,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
160,4.87,8.71,-0.64,-0.43,2.08,-4.2,9.66,-0.49,0.63,handmoter,
161,4.78,8.66,-0.63,-0.12,2.47,-3.66,9.62,-0.45,0.53,handmoter,
162,4.64,8.72,-0.75,-2.37,-2.05,-0.74,9.72,-0.46,0.58,handmoter,
163,4.65,8.73,-0.66,-2.7,-1.64,-1.93,9.7,-0.45,0.61,handmoter,
164,4.83,8.87,-0.86,0.1,4.17,-7.21,9.5,-0.46,0.6,handmoter,
165,4.89,8.82,-0.81,-0.81,2.3,-6.03,9.54,-0.41,0.67,handmoter,
166,4.81,8.88,-0.82,-0.91,2.0,-3.76,9.6,-0.46,0.59,handmoter,
167,4.74,8.83,-0.76,-1.1,1.09,-4.07,9.57,-0.51,0.72,handmoter,
168,4.75,8.73,-0.63,-0.89,-0.05,-4.01,9.64,-0.58,0.63,handmoter,
169,4.76,8.72,-0.7,-1.34,0.16,-3.41,9.53,-0.56,0.65,handmoter,
170,4.68,8.81,-0.75,-3.64,0.18,-3.18,9.63,-0.45,0.61,handmoter,
171,4.72,8.75,-0.85,-3.28,-1.5,-2.44,9.57,-0.45,0.61,handmoter,
172,4.87,8.85,-0.74,-1.48,0.33,-3.31,9.52,-0.46,0.63,handmoter,
173,4.83,8.86,-0.77,-1.07,3.03,-4.27,9.49,-0.45,0.55,handmoter,
174,4.57,8.67,-0.87,-2.89,-1.95,0.14,9.5,-0.51,0.59,handmoter,
175,4.53,8.71,-0.89,-3.53,-3.56,0.31,9.37,-0.43,0.48,handmoter,
176,4.61,8.96,-0.93,-2.47,1.5,-3.05,9.76,-0.48,0.66,handmoter,
177,4.68,8.95,-1.11,-3.65,1.49,-2.85,9.95,-0.62,0.68,handmoter,
178,4.85,8.85,-0.91,1.68,1.47,-5.28,9.57,-0.42,0.6,handmoter,
179,4.79,8.86,-0.8,3.85,3.47,-4.6,9.54,-0.41,0.5,handmoter,
180,4.56,8.71,-0.61,-3.53,-1.74,-1.33,9.43,-0.36,0.46,handmoter,
181,4.58,8.82,-0.73,-1.76,-2.42,-0.68,9.38,-0.29,0.39,handmoter,
182,4.66,8.95,-0.99,-5.31,-4.71,-2.79,9.75,-0.49,0.51,handmoter,
183,4.68,8.9,-0.92,-2.79,-1.44,-4.25,9.76,-0.36,0.37,handmoter,
184,4.73,8.79,-0.72,-0.3,1.15,-3.69,9.41,-0.32,0.41,handmoter,
185,4.62,8.62,-0.75,0.34,2.71,-5.85,9.58,-0.35,0.35,handmoter,
186,4.47,8.47,-0.75,-3.68,-1.56,-3.89,9.92,-0.33,0.71,handmoter,
187,4.31,8.17,-0.93,-6.73,-7.47,0.09,10.19,-0.37,0.38,handmoter,
188,4.34,8.36,-1.02,-5.82,-10.48,3.12,9.61,-0.47,0.14,handmoter,
189,4.78,8.75,-1.01,-2.4,1.28,-4.69,9.62,-0.48,0.28,handmoter,
190,4.84,8.72,-0.97,-2.06,1.17,-4.15,9.6,-0.54,0.28,handmoter,
191,4.91,8.76,-0.93,-0.27,4.96,-3.84,9.56,-0.5,0.27,handmoter,
192,4.85,8.76,-0.87,-0.89,4.89,-3.22,9.6,-0.52,0.26,handmoter,
193,4.78,8.83,-0.97,-3.24,-1.55,0.08,9.62,-0.52,0.26,handmoter,
194,4.86,8.78,-0.97,-2.37,-1.46,-0.11,9.63,-0.51,0.34,handmoter,
195,4.88,8.83,-0.92,-0.53,2.38,-0.91,9.57,-0.51,0.28,handmoter,
196,4.84,8.88,-0.95,0.61,5.81,-1.71,9.64,-0.5,0.22,handmoter,
197,4.79,8.89,-0.9,-0.12,6.56,-1.65,9.58,-0.57,0.38,handmoter,
198,4.86,8.87,-0.86,-2.21,3.93,0.69,9.55,-0.44,0.36,handmoter,
199,4.79,8.92,-0.82,-1.76,5.51,0.63,9.58,-0.49,0.31,handmoter,
200,4.64,9.0,-0.73,-2.34,5.56,1.02,9.63,-0.47,0.34,handmoter,
201,4.68,8.88,-0.74,-2.97,4.86,0.73,9.6,-0.42,0.4,handmoter,
202,4.53,8.79,-0.65,-3.63,5.96,-0.98,9.62,-0.49,0.33,handmoter,
203,4.62,8.69,-0.61,-4.74,5.77,-1.97,9.59,-0.41,0.36,handmoter,
204,4.5,8.72,-0.68,-7.32,0.98,-1.6,9.6,-0.37,0.49,handmoter,
205,4.65,8.83,-0.83,-8.76,-0.68,-2.81,9.7,-0.38,0.36,handmoter,
206,4.77,8.84,-0.92,-7.92,1.73,-4.53,9.72,-0.4,0.44,handmoter,
207,4.88,8.79,-0.84,-5.85,4.25,-5.49,9.64,-0.36,0.6,handmoter,
208,5.12,8.68,-0.73,-15.21,-17.88,4.35,9.56,-0.62,0.46,handmoter,
209,5.05,8.63,-0.85,-10.29,-7.11,3.03,9.65,-0.58,0.34,handmoter,
210,4.77,8.75,-0.88,-7.5,7.08,-2.47,9.71,-0.22,0.41,handmoter,
211,4.58,8.81,-0.91,-6.58,6.08,-3.6,9.74,-0.22,0.52,handmoter,
212,4.79,8.69,-0.8,-2.49,6.16,-5.24,9.57,-0.23,0.43,handmoter,
213,4.8,8.5,-0.91,-1.63,10.3,-7.1,9.61,-0.2,0.45,handmoter,
214,4.67,8.73,-0.88,-2.91,2.47,-4.52,9.61,-0.25,0.38,handmoter,
215,4.88,8.67,-0.87,-2.74,1.33,-4.58,9.63,-0.34,0.44,handmoter,
216,4.91,8.68,-0.92,1.73,8.83,-5.48,9.65,-0.39,0.48,handmoter,
217,4.84,8.73,-0.89,2.08,9.1,-4.4,9.59,-0.27,0.48,handmoter,
218,4.73,8.83,-0.54,2.82,4.05,-0.63,9.66,-0.22,0.44,handmoter,
219,4.61,8.83,-0.55,0.94,2.83,-0.11,9.66,-0.17,0.46,handmoter,
220,4.65,8.73,-0.44,-0.21,0.76,-1.14,9.6,-0.22,0.53,handmoter,
221,4.93,8.76,-0.44,2.83,3.25,-2.13,9.51,-0.22,0.26,handmoter,
222,4.94,8.84,-0.59,0.38,0.37,4.05,9.61,-0.29,0.45,handmoter,
223,5.19,8.81,-0.79,-0.52,-0.71,3.76,9.72,-0.31,0.47,handmoter,
224,8.6,8.51,-1.81,16.26,42.7,3.93,9.89,0.8,0.43,handmoter,
225,7.89,8.19,-2.51,20.76,65.5,13.98,9.97,0.49,-0.01,handmoter,
226,8.81,7.79,-4.15,24.83,58.76,22.05,10.03,1.07,1.16,handmoter,
227,12.72,7.91,-5.56,29.63,50.92,25.0,10.49,1.41,0.49,handmoter,
228,14.01,10.98,-6.87,111.06,203.11,161.93,8.44,1.95,0.29,handmoter,
229,13.04,11.24,-7.2,83.46,141.05,212.34,8.52,1.48,0.3,handmoter,
230,11.6,12.18,-6.45,132.26,67.32,160.6,9.5,1.28,0.86,handmoter,
231,12.88,11.01,-5.09,133.27,50.89,202.02,10.25,1.25,1.14,handmoter,
232,5.77,8.05,-2.78,110.13,77.71,174.87,9.27,0.79,1.22,handmoter,
233,3.61,6.21,-2.33,128.57,42.74,188.4,9.03,0.2,1.04,handmoter,
234,11.06,7.11,-0.69,250.13,-82.82,237.98,10.59,-0.67,1.24,handmoter,
235,7.64,2.66,-0.8,27.47,-1.21,128.86,10.9,-0.9,1.03,handmoter,
236,4.44,1.28,-3.02,175.63,77.27,197.27,10.27,-0.79,0.04,handmoter,
237,3.72,2.2,-3.37,138.05,110.34,165.76,10.32,-0.71,-0.51,handmoter,
238,2.41,0.69,-1.6,158.08,-5.7,82.93,9.2,0.36,-0.95,handmoter,
239,0.72,0.52,-0.72,193.03,-39.3,98.03,8.98,0.56,-1.14,handmoter,
240,-1.28,2.34,0.54,148.67,-23.57,65.32,9.06,0.55,-1.56,handmoter,
241,-2.42,3.85,1.57,137.49,-35.26,46.1,8.92,0.11,-1.15,handmoter,
242,-0.86,10.62,0.17,-26.47,-38.96,-154.15,9.12,-2.91,-2.45,handmoter,
243,0.2,13.32,-0.72,-67.02,-38.6,-174.55,8.91,-3.02,-2.53,handmoter,
244,17.72,17.2,-7.65,-96.02,-67.21,-179.42,9.16,-2.18,-1.66,handmoter,
245,19.62,17.47,-10.6,-55.99,-142.22,-173.11,9.06,-1.92,-1.17,handmoter,
246,19.62,13.63,-8.46,-250.14,-161.35,-250.14,8.73,-1.45,-0.98,handmoter,
247,19.62,8.22,-9.03,-177.92,-151.98,77.73,8.73,-2.12,-1.27,handmoter,
248,18.15,9.88,-19.62,250.13,-93.62,-99.15,9.93,-2.5,-1.64,handmoter,
249,19.62,-2.48,-10.41,-226.31,-144.07,-132.58,10.14,-3.02,-1.86,handmoter,
250,19.62,-5.01,-8.45,41.91,-44.35,-54.95,9.7,-3.71,-2.69,handmoter,
251,16.49,-8.07,-5.25,71.73,-50.41,79.52,8.81,-1.29,-3.59,handmoter,
252,17.08,-6.31,-5.16,42.73,-31.98,78.82,9.13,-1.04,-3.29,handmoter,
253,14.53,-4.49,-4.45,1.97,28.81,67.08,9.32,-0.69,-3.39,handmoter,
254,11.79,-3.47,-0.5,101.45,46.73,194.22,9.34,-0.39,-3.45,handmoter,
255,7.1,5.28,-5.09,80.18,142.67,207.18,9.39,-0.4,-2.53,handmoter,
256,4.27,3.54,-1.93,113.11,165.98,198.7,9.57,0.06,-2.33,handmoter,
257,0.34,4.5,-0.98,114.66,121.98,193.42,9.83,-0.12,-2.68,handmoter,
258,-2.4,5.0,1.06,12.66,73.85,117.9,10.37,0.25,-2.5,handmoter,
259,-0.86,9.66,-2.33,-61.02,-22.48,-54.84,8.54,2.86,-2.94,handmoter,
260,0.21,9.58,-3.43,-86.3,-54.04,-104.73,8.65,1.97,-3.15,handmoter,
261,6.74,11.54,-2.69,-118.11,-100.72,-179.21,8.69,0.25,-3.41,handmoter,
262,12.81,11.98,-4.36,-122.3,47.6,-221.92,9.22,0.09,-2.89,handmoter,
263,19.62,5.99,-9.44,-137.35,78.98,-197.82,10.34,-0.1,-1.3,handmoter,
264,19.62,3.68,-9.28,-62.56,47.37,-136.15,10.6,-0.15,-1.78,handmoter,
265,19.62,-7.59,4.86,250.13,-176.35,-36.35,10.07,-1.77,-3.19,handmoter,
266,19.62,-5.33,-12.46,-156.97,-67.04,-250.14,9.43,-0.7,-3.45,handmoter,
267,18.95,-6.06,-5.0,134.76,139.4,82.89,9.23,-0.23,-3.0,handmoter,
268,12.8,-4.22,-1.35,250.13,34.98,229.17,9.4,-1.06,-3.1,handmoter,
269,1.31,-7.38,6.09,-87.15,-250.14,250.13,8.66,-1.94,-2.53,handmoter,
270,-2.25,2.72,4.83,148.65,240.73,115.44,9.34,-2.19,-2.01,handmoter,
271,-0.86,7.06,1.99,-13.9,22.63,172.56,9.47,-1.97,-1.61,handmoter,
272,-1.2,7.87,0.47,-63.46,12.05,137.53,9.7,-1.91,-1.77,handmoter,
273,2.85,9.46,-2.32,-153.54,-26.38,10.02,9.73,-0.86,-2.94,handmoter,
274,4.27,8.46,-3.0,-185.15,4.63,-17.13,9.12,0.6,-1.83,handmoter,
275,5.9,6.28,-6.21,-219.97,30.34,-71.08,10.1,-1.33,-2.27,handmoter,
276,6.72,4.73,-7.01,-221.5,14.01,-105.65,9.77,-1.88,-2.08,handmoter,
277,10.7,5.45,-8.65,-230.7,43.02,-117.47,9.29,-0.82,-1.14,handmoter,
278,13.14,5.51,-10.87,-242.42,45.48,-114.34,9.36,0.18,-1.93,handmoter,
279,12.46,3.55,-11.46,-249.27,34.43,-146.51,10.23,1.4,-1.85,handmoter,
280,11.86,3.6,-10.6,-196.27,-21.85,-117.83,10.29,0.89,-0.51,handmoter,
281,9.77,3.43,-9.83,-128.88,-84.47,-77.11,9.6,0.56,-0.34,handmoter,
282,18.91,2.86,-9.99,-250.14,-201.67,17.35,7.94,1.06,-0.59,handmoter,
283,13.24,-1.41,-2.69,-40.5,-146.69,200.2,8.43,1.28,-0.3,handmoter,
284,15.74,0.18,-3.32,-250.14,-192.29,18.83,8.85,-0.59,0.62,handmoter,
285,15.42,-0.38,-7.23,-250.14,-164.02,66.56,9.24,-1.31,-0.46,handmoter,
286,13.01,-0.46,-4.67,-156.4,-155.16,126.6,13.53,-2.42,0.08,handmoter,
287,16.41,1.04,-3.94,-71.76,-155.04,194.48,14.43,-3.79,0.34,handmoter,
288,12.2,1.95,-1.81,-185.86,-66.07,250.13,8.66,-0.54,-1.06,handmoter,
289,9.62,2.57,0.63,107.18,28.68,250.13,8.93,-0.66,-0.62,handmoter,
290,8.3,3.57,0.28,-237.74,-75.66,236.73,9.93,-2.62,-0.21,handmoter,
291,5.42,4.4,-0.14,-209.44,-163.42,250.13,9.93,-2.6,-1.44,handmoter,
292,2.4,3.62,-2.01,-178.27,-4.26,185.15,9.51,-2.39,-0.73,handmoter,
293,0.83,1.93,-1.4,-176.77,21.27,174.19,9.86,-2.0,-0.27,handmoter,
294,-2.38,5.23,-2.58,-183.81,164.69,56.16,8.93,0.96,-2.12,handmoter,
295,-3.77,5.75,-5.34,-157.5,168.44,-1.37,8.41,0.86,-1.91,handmoter,
296,-3.94,6.12,-7.44,-164.72,52.5,-98.45,8.52,0.06,-2.68,handmoter,
297,1.0,8.65,-6.93,-129.98,6.3,-145.72,9.47,-0.87,-2.74,handmoter,
298,13.05,9.13,-9.22,-57.61,76.46,-179.3,9.32,0.22,-1.84,handmoter,
299,17.48,9.96,-11.73,23.87,-10.91,-68.4,9.0,0.79,-1.98,handmoter,
300,15.55,1.59,-9.01,-7.08,95.57,-250.14,10.19,-0.78,-1.84,handmoter,
301,14.1,-2.32,-0.42,250.13,143.82,48.11,10.4,-1.24,-2.21,handmoter,
302,16.2,-5.49,-0.22,-72.5,-10.05,-7.73,9.51,0.46,-2.35,handmoter,
303,14.14,-5.13,-1.07,111.95,16.58,164.32,8.95,0.99,-1.98,handmoter,
304,15.57,-2.79,-3.23,186.14,-43.43,205.29,8.88,1.12,-2.3,handmoter,
305,14.16,-2.16,-0.25,-178.82,-53.56,65.35,8.96,0.6,-2.17,handmoter,
306,2.49,-1.63,1.73,129.5,21.16,148.14,9.62,0.34,-2.14,handmoter,
307,5.96,4.14,-3.99,-109.47,-19.54,141.56,9.78,0.48,-2.26,handmoter,
308,2.95,1.43,0.55,117.96,68.27,102.31,9.09,0.59,-1.99,handmoter,
309,-0.31,3.41,-0.6,114.97,46.9,81.17,9.58,0.41,-1.95,handmoter,
310,-2.99,5.7,-0.36,34.33,66.05,-27.35,10.21,0.72,-1.6,handmoter,
311,-0.89,5.8,-1.04,12.68,36.36,-91.76,9.86,0.83,-3.1,handmoter,
312,3.11,6.06,-3.15,-22.21,-9.44,-193.33,9.19,1.76,-2.28,handmoter,
313,7.56,7.16,-4.52,-9.69,-14.19,-195.21,9.26,1.7,-2.01,handmoter,
314,14.34,6.38,-7.07,-52.7,-48.92,-120.53,9.78,0.18,-1.45,handmoter,
315,19.62,5.19,-5.05,250.13,250.13,-200.05,9.64,-0.19,-1.33,handmoter,
316,19.62,0.53,-3.37,250.13,250.13,-250.14,9.49,-0.4,-1.25,handmoter,
317,19.62,5.34,2.29,-250.14,-250.14,-19.68,9.74,-0.4,-1.58,handmoter,
318,19.62,-4.55,-1.05,-49.41,-80.38,-138.86,9.88,-0.45,-1.5,handmoter,
319,14.09,-2.23,-6.05,-6.34,-205.84,106.66,9.94,-0.35,-1.94,handmoter,
320,12.83,1.28,-13.74,73.88,-120.53,-7.98,10.17,-0.03,-2.7,handmoter,
