,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
0,4.86,8.91,-1.23,11.03,13.89,-6.69,9.49,-0.86,0.22,idle,
1,4.92,9.18,-1.07,11.69,15.67,-6.17,9.56,-0.7,0.2,idle,
2,4.72,9.24,-1.03,9.5,16.29,-4.7,9.6,-0.69,0.4,idle,
3,4.68,9.07,-1.13,4.79,12.53,-1.88,9.56,-0.81,0.23,idle,
4,4.59,8.92,-1.07,2.35,7.57,1.06,9.47,-0.97,0.29,idle,
5,4.61,8.93,-0.96,3.26,4.18,3.29,9.52,-0.86,0.2,idle,
6,4.63,8.97,-1.02,5.12,5.22,3.34,9.52,-0.82,0.13,idle,
7,4.7,8.97,-0.99,5.83,6.43,2.4,9.57,-0.8,0.15,idle,
8,4.57,8.92,-0.95,3.2,5.58,1.08,9.61,-0.75,0.17,idle,
9,4.52,8.93,-1.03,-0.12,3.2,1.09,9.62,-0.75,0.11,idle,
10,4.5,8.84,-1.0,-0.29,1.69,1.48,9.57,-0.75,0.23,idle,
11,4.51,8.98,-1.0,0.73,1.41,0.89,9.56,-0.75,0.2,idle,
12,4.45,8.9,-1.03,0.6,2.08,-0.62,9.54,-0.79,0.21,idle,
13,4.37,9.01,-1.11,-0.42,1.59,-1.13,9.62,-0.83,0.18,idle,
14,4.36,8.9,-1.13,-2.23,-0.71,-0.25,9.57,-0.92,0.28,idle,
15,4.39,8.88,-1.08,-4.03,-3.79,0.91,9.58,-0.87,0.3,idle,
16,4.51,8.84,-1.09,-3.47,-4.35,1.83,9.54,-0.86,0.38,idle,
17,4.45,8.89,-1.11,-4.67,-2.71,1.05,9.55,-0.79,0.22,idle,
18,4.41,8.89,-1.12,-7.47,-0.34,0.3,9.66,-0.72,0.22,idle,
19,4.21,8.89,-1.27,-9.63,-0.56,0.05,9.68,-0.73,0.19,idle,
20,4.2,8.8,-1.33,-10.35,-2.26,0.4,9.66,-0.72,0.29,idle,
21,4.24,8.86,-1.36,-9.69,-5.5,1.01,9.66,-0.69,0.21,idle,
22,4.35,8.81,-1.43,-8.73,-6.59,-0.32,9.6,-0.68,0.21,idle,
23,4.39,8.77,-1.43,-8.73,-5.57,-1.69,9.61,-0.72,0.24,idle,
24,4.47,8.77,-1.36,-7.91,-1.34,-4.25,9.64,-0.67,0.34,idle,
25,4.5,8.76,-1.33,-6.59,2.95,-5.51,9.64,-0.62,0.32,idle,
26,4.48,8.82,-1.27,-5.73,5.99,-7.52,9.64,-0.63,0.32,idle,
27,4.44,8.8,-1.29,-5.86,6.06,-8.42,9.65,-0.71,0.2,idle,
28,4.4,8.75,-1.2,-6.15,4.82,-9.56,9.63,-0.7,0.26,idle,
