,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
641,2.65,-4.02,-4.55,-250.14,69.25,59.92,9.25,-1.03,-0.19,rocket,
642,1.98,-5.13,-8.14,-249.0,-24.34,71.47,9.22,-0.53,-0.61,rocket,
643,2.78,-6.11,-13.07,-168.85,-114.06,104.97,9.2,-1.97,2.22,rocket,
644,3.67,-5.98,-17.17,-81.3,-100.7,110.4,10.15,-1.6,1.98,rocket,
645,1.98,-4.64,-19.62,8.18,4.57,118.46,10.03,-2.58,1.02,rocket,
646,-1.04,-6.32,-17.07,250.13,-64.49,-72.24,9.37,-1.26,0.65,rocket,
647,-1.53,-6.52,-14.31,250.13,-87.48,-130.82,9.08,-1.85,0.77,rocket,
648,2.41,-5.41,-5.64,250.13,-17.48,-193.85,9.53,-2.33,0.66,rocket,
649,3.82,-4.77,-1.75,250.13,-89.54,-207.77,9.45,-2.65,0.47,rocket,
650,5.47,2.53,7.11,250.13,50.47,-183.55,9.51,-2.42,0.45,rocket,
651,7.2,5.46,12.84,250.13,35.56,-186.11,9.28,-2.34,0.91,rocket,
652,10.38,19.62,19.62,181.0,-64.31,-80.46,9.39,-3.27,0.44,rocket,
653,9.92,12.77,19.62,-38.42,-156.98,48.52,9.43,-2.94,1.22,rocket,
654,8.59,2.92,10.8,-250.14,-137.08,244.99,9.42,-1.6,0.72,rocket,
655,8.9,0.88,7.19,-250.14,33.07,230.57,8.96,-1.24,0.76,rocket,
656,2.31,-3.47,3.25,-250.14,20.14,74.69,9.74,-1.77,0.73,rocket,
657,3.1,-3.96,2.18,-250.14,-39.17,23.19,9.57,-1.59,0.86,rocket,
658,5.91,-4.35,0.59,-250.14,-7.94,45.82,9.54,-1.09,0.74,rocket,
659,5.14,-4.46,-0.45,-250.14,36.84,67.07,9.28,-1.08,0.79,rocket,
660,4.81,-4.44,-2.63,-250.14,20.09,86.11,9.15,-0.35,0.53,rocket,
661,4.28,-4.44,-3.67,-250.14,-7.92,85.53,9.36,-0.36,0.8,rocket,
662,4.59,-5.3,-13.03,-201.11,-75.52,138.43,9.35,-0.03,0.81,rocket,
663,4.63,-4.88,-13.71,-122.56,-43.08,143.77,9.47,0.71,1.71,rocket,
664,1.92,-8.32,-19.62,-46.46,39.98,49.32,9.84,-0.67,1.3,rocket,
665,2.73,-8.6,-19.27,40.76,-26.84,5.11,9.56,-0.04,1.13,rocket,
666,2.7,-7.29,-16.12,118.35,-14.31,-69.19,9.34,0.18,0.82,rocket,
667,2.4,-5.99,-15.75,166.76,20.73,-107.24,9.19,-0.08,1.02,rocket,
668,5.04,-6.39,-7.08,250.13,-0.86,-33.92,9.67,-0.1,0.88,rocket,
669,4.07,-4.64,-5.56,250.13,9.61,-44.56,9.47,-0.26,0.98,rocket,
670,4.76,-6.05,-1.95,250.13,24.75,-74.82,9.52,-2.65,0.61,rocket,
671,4.33,-5.22,-0.46,250.13,1.17,-41.58,9.25,-2.44,0.44,rocket,
672,3.11,-2.41,0.27,250.13,14.37,-82.45,9.29,-2.6,0.43,rocket,
673,4.72,-3.22,2.66,250.13,-69.62,-103.86,9.27,-2.7,0.75,rocket,
674,5.13,0.55,10.16,250.13,-11.3,-75.54,8.94,-2.83,0.71,rocket,
675,6.44,1.75,12.85,246.93,-4.99,-62.42,8.87,-3.02,0.76,rocket,
676,8.55,7.94,19.62,79.19,-213.69,-21.42,9.04,-3.33,0.68,rocket,
677,3.1,14.41,15.43,-94.03,-143.39,-45.9,8.97,-3.3,0.76,rocket,
