,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
479,2.84,-0.18,5.95,-206.61,114.05,176.01,10.22,-1.47,2.47,tapshoulder,
480,1.21,-4.68,4.72,-187.81,71.08,140.82,9.91,-1.17,1.97,tapshoulder,
481,1.47,-7.85,3.46,-146.18,-39.31,116.32,9.9,-1.24,2.15,tapshoulder,
482,1.97,-6.84,3.2,-116.23,-86.44,91.31,10.42,-1.2,1.76,tapshoulder,
483,1.31,-4.4,3.11,-116.59,-86.56,49.6,10.17,-1.31,1.51,tapshoulder,
484,-3.44,-8.56,2.53,-129.27,-95.69,-157.76,9.28,-1.51,1.6,tapshoulder,
485,2.65,-8.59,0.31,-4.95,-61.85,87.76,9.75,-1.68,1.75,tapshoulder,
486,2.51,-13.11,0.8,-112.09,41.18,50.69,9.18,-1.21,1.03,tapshoulder,
487,1.74,-12.91,-0.59,-64.44,79.66,48.33,9.65,-1.43,1.22,tapshoulder,
488,0.96,-12.7,1.22,-120.21,16.27,-3.42,9.04,-1.22,1.66,tapshoulder,
489,3.42,-15.5,1.9,-149.44,111.09,-11.67,9.01,-0.78,1.53,tapshoulder,
490,0.46,-12.21,1.3,-45.5,203.38,11.93,9.37,0.01,1.3,tapshoulder,
491,3.97,-14.75,0.15,-152.69,142.97,-69.34,8.84,0.23,0.98,tapshoulder,
492,5.27,-15.47,-1.77,-158.08,129.49,-59.01,8.57,0.4,1.14,tapshoulder,
493,6.95,-13.99,-2.77,-196.74,210.66,-86.64,8.84,0.77,1.09,tapshoulder,
494,4.92,-12.49,-5.93,-66.44,224.15,149.56,9.18,0.33,1.3,tapshoulder,
495,4.21,-10.99,-5.56,-108.62,250.13,153.18,9.43,0.67,1.98,tapshoulder,
496,3.5,-11.29,-7.7,-132.72,239.49,166.61,9.78,-0.31,1.69,tapshoulder,
497,1.95,-10.47,-8.92,-110.45,210.08,167.82,9.69,-0.6,2.12,tapshoulder,
498,2.66,-9.52,-6.65,-49.31,140.14,145.52,9.09,0.59,2.16,tapshoulder,
499,2.9,-10.13,-6.3,-24.59,160.31,126.37,9.48,0.58,2.18,tapshoulder,
500,1.88,-9.18,-4.5,3.54,134.08,106.08,9.08,0.68,2.12,tapshoulder,
501,1.97,-8.58,-4.64,-3.67,135.86,114.75,8.81,0.59,2.17,tapshoulder,
502,0.51,-7.78,-4.7,-20.66,187.86,85.82,10.51,-0.16,1.42,tapshoulder,
503,0.11,-7.97,-4.97,-32.66,192.18,63.14,10.4,-0.59,1.95,tapshoulder,
504,-0.47,-6.97,-5.07,-7.91,212.86,28.08,10.4,0.06,1.78,tapshoulder,
505,-1.4,-6.42,-7.07,-63.07,163.18,9.37,10.37,0.23,1.54,tapshoulder,
506,-0.5,-6.76,-8.12,38.98,102.01,29.51,9.87,0.24,1.61,tapshoulder,
507,-0.21,-6.86,-9.31,87.63,199.92,-3.23,9.3,0.36,1.65,tapshoulder,
508,1.08,-6.54,-5.58,157.76,211.18,-40.4,9.16,0.5,0.86,tapshoulder,
509,1.27,-6.67,-5.85,249.84,199.69,-68.06,9.4,0.29,0.86,tapshoulder,
510,-0.77,-1.79,2.66,250.13,138.21,-104.4,9.47,0.06,0.97,tapshoulder,
511,0.76,5.31,4.62,250.13,191.85,-122.42,9.55,0.01,1.25,tapshoulder,
