,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
319,17.31,-2.42,-12.0,100.63,55.15,-250.14,7.79,3.29,-7.57,bunny,
320,14.5,12.12,19.62,227.28,250.13,-250.14,8.32,3.03,-5.84,bunny,
321,16.02,1.77,-9.29,250.13,-47.33,219.94,8.45,3.36,-5.84,bunny,
322,16.18,-0.95,-19.62,43.29,-16.17,38.14,8.28,3.88,-4.67,bunny,
323,-0.43,1.22,11.71,-250.14,-22.66,-145.27,8.75,4.36,-4.82,bunny,
324,-1.03,3.06,-4.57,83.15,157.79,-74.37,9.06,1.83,-1.1,bunny,
325,-0.7,2.73,-3.83,6.72,148.67,-117.26,10.19,2.99,-1.55,bunny,
326,10.79,3.23,-10.94,93.89,106.28,-111.35,8.67,0.04,-0.17,bunny,
327,11.93,-1.57,-12.84,97.65,-35.18,-36.92,8.42,0.22,0.07,bunny,
328,19.62,2.14,-19.14,250.13,250.13,-192.38,8.8,0.49,0.31,bunny,
329,13.68,1.3,-10.24,120.27,12.91,-51.07,8.76,0.75,0.93,bunny,
330,13.12,-0.97,-10.85,250.13,66.76,-46.05,8.56,1.01,0.91,bunny,
331,11.4,2.29,-7.81,226.81,45.27,-22.66,8.65,0.98,1.08,bunny,
332,14.05,1.06,-5.0,184.38,103.56,-23.95,8.77,0.01,1.44,bunny,
333,15.77,0.11,-4.17,154.22,132.66,-1.8,8.88,-0.54,1.59,bunny,
334,8.22,-0.34,-13.48,50.82,-8.57,-30.23,10.18,-0.72,1.72,bunny,
335,11.66,-1.09,-10.62,124.83,-76.57,20.11,10.23,-0.33,2.38,bunny,
336,17.85,-6.06,-13.47,106.6,-69.27,-22.96,9.68,0.18,2.51,bunny,
337,14.94,-3.57,-11.09,148.41,35.5,-20.98,9.67,0.64,2.41,bunny,
338,7.36,-1.92,-11.62,239.47,153.13,17.47,9.98,0.84,2.31,bunny,
339,3.08,0.83,-8.69,4.44,117.73,-13.15,10.0,0.34,2.94,bunny,
340,-3.15,-1.1,-2.03,134.43,-58.49,8.25,10.68,-0.6,3.3,bunny,
341,-4.54,-0.73,-0.89,173.92,-81.16,-12.24,10.39,-0.93,3.93,bunny,
342,-6.36,0.1,2.32,190.68,-110.11,-80.17,10.32,-1.0,1.23,bunny,
343,-7.41,3.25,3.96,185.21,-91.86,-115.88,9.61,-0.77,0.85,bunny,
344,-7.74,9.49,0.69,7.63,10.79,-93.66,6.91,-2.42,-1.26,bunny,
345,-6.61,11.62,-1.07,28.13,35.56,-118.58,7.74,-5.49,-1.73,bunny,
346,4.08,19.62,-14.99,-9.6,135.72,-196.92,7.35,-4.8,-3.53,bunny,
347,9.27,19.62,-19.39,-4.79,74.84,-177.0,8.86,-4.21,-2.79,bunny,
348,6.24,7.69,-7.08,139.62,9.54,-91.27,10.01,-1.57,3.9,bunny,
349,6.63,6.91,-10.26,250.13,7.24,-42.7,10.3,-1.74,3.96,bunny,
350,11.26,6.08,-11.21,250.13,-60.32,19.1,10.79,-1.84,3.25,bunny,
351,16.37,7.1,-14.71,250.13,34.51,17.04,11.04,-1.41,2.4,bunny,
352,13.2,2.61,-19.43,124.76,113.51,-73.39,10.14,-0.56,2.12,bunny,
353,10.46,5.24,-13.16,118.05,185.66,-91.8,9.47,-0.21,1.88,bunny,
354,9.64,4.35,-15.24,250.13,110.63,22.1,9.52,-0.07,2.37,bunny,
355,11.87,5.3,-15.26,250.13,82.17,-54.34,9.6,-1.01,1.86,bunny,
356,16.27,7.92,-14.7,235.29,-165.67,47.73,9.24,-0.75,2.25,bunny,
357,13.5,3.87,-10.15,57.4,130.07,-76.79,8.85,-2.86,0.95,bunny,
358,12.07,3.18,-4.85,250.13,141.58,5.53,8.62,-2.05,2.51,bunny,
359,7.72,4.13,2.04,250.13,10.4,203.55,9.87,-2.7,-0.31,bunny,
360,4.33,5.07,0.46,205.1,52.06,222.21,8.95,-1.55,-1.02,bunny,
361,-1.53,3.37,3.02,91.67,78.56,218.83,9.03,-0.24,-1.45,bunny,
362,-4.75,1.72,3.63,139.44,24.74,234.98,8.46,-0.18,-2.41,bunny,
363,-10.6,2.88,3.87,53.76,-3.85,31.1,10.14,0.04,-2.06,bunny,
364,-11.43,6.74,3.05,31.4,-35.9,-40.31,10.23,0.17,-4.36,bunny,
365,-12.04,12.56,-0.05,-44.72,-120.14,-155.79,8.25,2.03,-4.88,bunny,
366,-8.82,14.55,-1.24,-55.43,-153.77,-189.58,7.8,2.02,-5.39,bunny,
367,4.54,19.62,-11.72,-61.58,22.72,-250.14,10.68,-1.72,-4.4,bunny,
368,10.46,19.62,-19.62,-204.45,62.25,-250.14,11.0,-1.89,-4.14,bunny,
369,19.62,18.88,-19.62,-250.14,-81.2,-250.14,9.42,-1.01,-2.91,bunny,
370,19.62,10.1,-19.62,-209.72,-246.3,-250.14,9.47,0.23,-3.03,bunny,
371,19.62,2.37,-6.62,250.13,250.13,-250.14,8.48,0.17,-4.26,bunny,
