,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
798,9.99,-7.03,2.81,143.7,206.98,128.21,9.14,0.75,3.04,cowboy,
799,6.85,-6.65,2.2,94.08,131.52,106.43,9.43,0.97,3.38,cowboy,
800,3.25,-5.77,2.71,56.2,83.18,63.23,9.28,0.58,3.04,cowboy,
801,3.86,-6.28,2.26,-15.15,-54.76,2.08,9.4,-0.05,2.78,cowboy,
802,3.3,-3.71,1.04,58.2,-49.74,35.37,9.23,-0.59,3.01,cowboy,
803,1.92,-1.19,-0.1,34.15,-66.55,18.44,9.09,-0.46,3.05,cowboy,
804,2.55,-0.82,-1.31,187.63,-188.78,67.95,8.78,-0.15,2.95,cowboy,
805,2.48,1.14,-1.72,235.92,-156.08,61.92,8.87,-0.18,2.83,cowboy,
806,2.26,1.88,-2.14,239.87,-82.79,18.59,9.1,-0.19,2.98,cowboy,
807,2.73,1.34,-1.88,239.69,-33.5,-18.17,9.27,-0.12,2.82,cowboy,
808,3.86,0.48,-0.34,114.2,56.21,-67.31,9.33,0.3,2.98,cowboy,
809,3.42,-1.15,2.96,200.5,-70.78,-58.58,9.1,0.44,2.57,cowboy,
810,5.07,0.39,5.04,250.13,83.85,-118.81,8.8,0.57,2.15,cowboy,
811,5.48,0.3,4.41,250.13,59.82,-129.4,8.78,0.98,2.68,cowboy,
812,9.72,4.23,9.02,154.7,-171.39,-94.17,9.19,0.87,1.72,cowboy,
813,12.13,4.38,9.97,208.86,-50.35,-181.47,9.29,1.28,2.34,cowboy,
814,13.69,7.9,10.69,183.66,-53.4,-93.82,9.13,0.61,2.31,cowboy,
815,13.77,8.13,9.77,156.14,-35.4,-111.91,9.01,0.73,2.41,cowboy,
816,13.86,7.48,7.02,179.5,-85.27,-56.76,8.86,0.12,1.6,cowboy,
817,12.89,7.8,7.47,136.25,-91.74,-76.04,9.05,-0.1,2.64,cowboy,
818,13.48,9.11,6.96,116.02,-62.6,-117.71,8.7,-0.38,2.76,cowboy,
819,11.89,8.38,6.38,87.98,-13.49,-126.85,8.97,-0.43,2.46,cowboy,
820,11.19,9.64,5.93,92.79,-73.4,-63.95,8.8,-0.54,3.54,cowboy,
821,10.85,10.16,4.63,62.29,-68.5,-78.19,8.89,-0.71,3.1,cowboy,
822,10.37,8.68,3.94,117.98,18.08,-56.12,8.8,-0.68,3.53,cowboy,
823,16.23,9.37,3.54,131.21,87.29,-182.68,8.72,-0.61,3.22,cowboy,
824,8.7,9.2,2.5,84.37,-4.18,-24.95,8.79,-0.9,3.65,cowboy,
825,7.57,9.38,3.19,132.95,59.99,-23.76,8.84,-0.97,3.84,cowboy,
826,7.24,9.71,3.27,34.11,-29.76,-0.76,8.91,-1.55,3.72,cowboy,
827,5.11,8.34,4.46,29.79,10.66,0.12,8.26,-0.95,3.84,cowboy,
828,6.25,8.45,5.02,2.48,-62.19,24.18,9.24,-0.91,2.3,cowboy,
829,7.65,6.67,2.24,-4.62,52.05,-38.79,8.36,-1.23,3.22,cowboy,
830,8.15,6.27,1.32,18.88,77.31,-24.42,9.17,-1.43,2.22,cowboy,
831,10.23,6.59,0.67,41.52,96.79,17.37,9.65,-1.58,2.56,cowboy,
832,12.65,6.95,0.91,48.32,89.02,52.99,8.97,-1.33,2.71,cowboy,
833,13.67,6.66,3.46,16.56,118.7,69.75,8.68,-1.45,3.23,cowboy,
834,15.74,10.21,7.02,128.38,250.13,146.67,9.18,-1.36,2.88,cowboy,
835,15.34,10.65,10.49,60.82,183.66,168.47,9.24,-1.16,2.68,cowboy,
836,13.02,11.98,12.63,-122.59,31.02,160.5,8.79,-0.73,2.97,cowboy,
837,8.76,10.78,11.67,-250.14,-192.38,250.13,8.82,-0.85,2.79,cowboy,
838,14.23,8.35,7.07,-43.51,9.88,219.98,8.74,-0.87,2.93,cowboy,
839,13.64,9.07,6.63,-92.31,51.44,211.82,8.78,-0.88,3.11,cowboy,
840,9.48,7.73,5.14,-96.21,222.53,170.09,9.47,0.01,2.69,cowboy,
841,9.08,7.23,5.33,-117.96,201.63,124.2,9.33,0.18,3.08,cowboy,
842,7.66,3.88,5.49,-132.69,119.08,132.72,9.0,0.08,3.33,cowboy,
843,8.7,3.45,5.94,-112.02,105.31,127.03,9.26,0.09,3.18,cowboy,
844,1.12,2.22,7.62,-198.37,166.89,113.96,9.34,-0.85,3.17,cowboy,
845,1.02,-4.16,11.76,-149.5,93.4,162.79,8.85,-0.13,3.29,cowboy,
846,3.89,2.82,6.11,-149.37,85.34,78.05,8.53,0.36,3.51,cowboy,
847,2.17,2.31,6.67,-149.92,80.4,74.53,8.15,-1.45,1.86,cowboy,
848,1.53,2.66,6.59,-162.03,108.95,31.24,8.6,0.0,3.21,cowboy,
849,-1.11,0.74,8.45,-177.82,10.44,54.25,8.31,-0.18,3.48,cowboy,
850,-5.86,2.6,9.34,-224.68,131.83,-76.57,8.9,-0.14,2.85,cowboy,
851,-7.99,4.88,8.03,-236.15,149.92,-147.3,8.91,0.15,3.28,cowboy,
852,-1.28,8.17,1.33,-204.27,112.38,-250.14,9.09,0.93,3.77,cowboy,
853,4.9,8.78,-1.55,-241.22,38.43,-250.14,9.9,1.33,3.35,cowboy,
854,17.21,2.44,-19.13,-239.52,172.31,-250.14,8.97,0.72,3.09,cowboy,
855,19.62,-1.19,-15.86,-180.82,133.75,-100.78,7.94,-1.04,2.73,cowboy,
