,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
159,4.98,8.33,-2.65,-1.15,2.92,-2.5,9.01,0.11,2.72,handmoter,
160,4.9,8.37,-2.68,-1.84,3.47,-2.44,9.05,0.09,2.69,handmoter,
161,4.92,8.33,-2.57,-1.25,3.53,-2.16,9.07,0.13,2.77,handmoter,
162,4.81,8.3,-2.55,0.12,3.15,-1.55,9.08,0.06,2.78,handmoter,
163,4.82,8.38,-2.58,-1.31,2.4,-1.41,9.13,0.05,2.74,handmoter,
164,4.79,8.29,-2.61,-1.97,2.52,-1.82,9.11,0.15,2.81,handmoter,
165,4.87,8.3,-2.65,0.73,1.83,-2.24,9.09,0.17,2.71,handmoter,
166,4.92,8.39,-2.68,0.56,2.11,-2.35,9.08,0.18,2.76,handmoter,
167,4.96,8.38,-2.78,0.54,4.63,-3.66,9.03,0.14,2.82,handmoter,
168,5.0,8.36,-2.73,1.18,6.37,-4.52,9.07,0.11,2.89,handmoter,
169,4.81,8.33,-2.74,0.47,6.75,-3.19,9.12,0.06,2.81,handmoter,
170,4.79,8.38,-2.7,0.36,6.66,-3.31,9.03,0.11,2.8,handmoter,
171,4.78,8.37,-2.61,0.65,4.82,-3.72,9.21,0.1,2.85,handmoter,
172,4.81,8.45,-2.67,0.11,3.5,-3.11,9.26,0.1,2.9,handmoter,
173,4.9,8.3,-2.75,1.14,5.52,-5.34,9.21,0.1,2.62,handmoter,
174,4.85,8.28,-2.71,1.32,5.68,-5.5,9.15,0.14,2.67,handmoter,
175,4.82,8.35,-2.69,1.95,7.01,-6.46,9.0,0.13,2.85,handmoter,
176,4.86,8.38,-2.68,3.31,8.11,-6.27,8.93,0.21,2.68,handmoter,
177,4.83,8.42,-2.62,2.16,8.64,-6.68,9.19,0.0,2.76,handmoter,
178,4.76,8.36,-2.57,2.27,9.11,-6.31,9.14,-0.05,3.07,handmoter,
179,4.62,8.5,-2.62,2.62,6.24,-4.72,9.17,-0.03,2.77,handmoter,
180,4.63,8.45,-2.69,1.53,5.44,-4.11,9.21,-0.11,2.63,handmoter,
181,4.56,8.47,-2.6,1.97,5.12,-4.46,9.18,-0.04,2.62,handmoter,
182,4.57,8.54,-2.68,1.34,3.11,-3.65,9.1,0.08,2.67,handmoter,
183,4.75,8.42,-2.63,-2.5,0.58,-2.68,9.05,-0.17,2.63,handmoter,
184,4.73,8.4,-2.6,-2.32,0.11,-2.34,9.17,-0.13,2.64,handmoter,
185,4.61,8.49,-2.68,-2.38,1.57,-1.11,9.07,-0.17,2.56,handmoter,
186,4.52,8.49,-2.71,-2.27,0.91,-0.69,9.2,-0.2,2.56,handmoter,
187,4.44,8.48,-2.72,-2.21,-0.66,0.85,9.18,-0.11,2.48,handmoter,
188,4.71,8.34,-2.87,-3.4,-0.76,-2.44,9.19,0.25,2.47,handmoter,
189,4.71,8.29,-2.9,1.95,2.49,-2.18,9.26,0.22,2.43,handmoter,
190,4.66,8.43,-2.8,-1.22,3.22,-3.41,9.21,0.18,2.43,handmoter,
191,4.64,8.33,-2.81,-2.11,2.63,-3.7,9.16,0.23,2.46,handmoter,
