,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
0,4.86,8.52,-1.8,-2.31,0.94,-1.21,9.19,0.14,2.59,idle,
1,4.75,8.59,-1.79,-2.19,0.52,-0.87,9.11,0.13,2.57,idle,
2,4.78,8.55,-1.83,-2.61,-0.06,-1.18,9.08,0.12,2.61,idle,
3,4.8,8.51,-1.88,-2.95,-0.44,-0.88,9.13,0.17,2.78,idle,
4,4.86,8.59,-1.84,-3.11,-0.76,-0.4,9.09,0.16,2.63,idle,
5,4.85,8.66,-1.93,-4.36,-1.22,0.54,9.13,0.17,2.68,idle,
6,4.81,8.64,-1.91,-12.69,-6.62,4.86,9.03,0.15,2.63,idle,
7,4.71,8.74,-1.85,-13.27,-4.31,5.47,9.12,0.25,2.6,idle,
8,4.83,8.59,-2.14,-22.55,-6.06,8.85,9.14,0.16,2.77,idle,
9,4.97,8.37,-1.89,-16.75,-5.56,9.58,9.17,0.14,2.7,idle,
10,5.09,8.42,-1.7,-6.87,-6.31,8.6,9.2,0.17,2.65,idle,
11,5.03,8.41,-1.74,-3.92,-5.16,7.04,9.15,0.07,2.7,idle,
12,4.93,8.44,-1.82,-1.72,-4.79,3.44,9.09,0.15,2.59,idle,
13,5.06,8.48,-1.91,-1.39,-4.95,2.59,9.13,0.07,2.66,idle,
14,5.04,8.56,-1.48,0.15,-1.89,3.57,9.08,0.12,2.64,idle,
15,5.11,8.53,-1.49,-0.66,-2.53,2.98,9.09,0.15,2.74,idle,
16,5.0,8.5,-1.61,-1.49,-1.34,1.02,9.13,0.15,2.72,idle,
17,4.93,8.56,-1.75,-4.56,-3.66,-0.98,9.11,0.17,2.76,idle,
18,4.92,8.42,-1.95,-1.85,-2.11,-3.19,9.07,0.14,2.67,idle,
19,4.95,8.36,-1.91,0.09,-1.85,-4.78,9.08,0.21,2.76,idle,
20,4.88,8.47,-1.91,2.92,-1.35,-4.73,9.09,0.13,2.64,idle,
21,4.88,8.56,-1.92,3.69,-1.1,-3.48,9.16,0.12,2.73,idle,
