,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
638,2.0,7.5,-19.62,90.79,250.13,-49.66,8.08,0.43,3.24,rocket,
639,2.08,1.55,-19.62,90.33,71.5,-150.3,7.78,-0.39,2.75,rocket,
640,3.88,6.78,-15.94,250.13,-163.75,-128.18,6.25,-0.35,2.03,rocket,
641,2.16,11.3,-10.39,250.13,-124.95,-250.14,6.22,0.13,1.16,rocket,
642,10.45,-1.55,15.71,250.13,-250.14,-250.14,6.24,-1.05,3.68,rocket,
643,12.96,14.39,2.96,250.13,-250.14,-3.49,7.78,-1.82,3.48,rocket,
644,12.69,17.12,19.62,250.13,72.24,-117.27,17.56,2.46,5.41,rocket,
645,3.99,11.03,19.62,250.13,-181.9,-20.2,14.92,3.93,7.95,rocket,
646,19.62,1.02,7.98,-225.62,-91.17,59.34,8.83,-0.8,4.51,rocket,
647,12.6,-0.3,3.54,-250.14,133.24,14.87,8.2,0.08,4.31,rocket,
648,5.7,-6.84,2.64,-95.13,-248.05,11.42,7.0,1.33,3.18,rocket,
649,7.82,0.86,0.04,80.08,250.13,-24.06,6.73,1.41,2.67,rocket,
650,4.19,0.23,1.03,29.25,-111.92,65.92,6.69,1.2,2.74,rocket,
651,4.8,-1.58,3.73,38.76,33.82,6.61,7.11,0.98,2.4,rocket,
652,5.09,-0.05,4.66,80.92,22.51,8.9,7.6,0.65,2.71,rocket,
653,16.37,6.04,12.99,55.85,10.48,-88.92,9.13,0.67,4.02,rocket,
654,19.62,8.85,15.6,16.0,0.34,-90.47,9.31,1.17,4.47,rocket,
655,19.62,12.3,6.48,-250.14,154.81,136.56,9.56,1.91,4.7,rocket,
656,19.48,12.65,5.33,-250.14,250.13,204.21,9.81,2.68,5.3,rocket,
657,9.45,8.56,-0.09,-250.14,140.65,250.13,10.29,1.66,4.32,rocket,
658,5.44,11.69,-3.69,-250.14,174.87,250.13,10.3,1.1,4.44,rocket,
659,-4.99,10.76,-9.97,-250.14,178.35,250.13,9.19,0.47,3.41,rocket,
660,-8.64,11.1,-19.62,-250.14,250.13,250.13,9.31,1.23,2.48,rocket,
661,-10.73,6.22,-19.62,-250.14,250.13,-7.93,7.32,0.55,3.14,rocket,
662,2.13,7.59,-19.62,53.72,222.79,-166.66,7.13,0.44,3.43,rocket,
663,8.15,9.0,-19.62,250.13,228.95,-250.14,8.67,0.04,3.09,rocket,
664,9.85,6.88,-19.62,250.13,171.18,-229.47,8.31,-1.15,3.46,rocket,
665,0.78,19.62,-6.84,250.13,-250.14,-0.6,9.71,-0.95,2.51,rocket,
666,16.04,19.62,7.39,250.13,-250.14,-199.47,9.89,-0.84,2.61,rocket,
667,14.78,4.48,6.52,-250.14,239.43,36.25,7.44,-0.43,3.03,rocket,
668,12.4,2.13,7.18,-250.14,182.86,79.43,7.91,-0.73,3.07,rocket,
669,9.58,-0.58,2.26,-250.14,61.51,177.07,10.77,-3.31,4.05,rocket,
670,5.9,-0.91,-0.74,-250.14,79.84,250.13,12.66,-3.5,2.21,rocket,
671,1.7,-2.53,-3.05,-250.14,124.34,250.13,13.09,-2.02,2.56,rocket,
672,0.35,-4.4,-4.98,-250.14,65.53,250.13,11.12,-0.7,2.46,rocket,
673,0.77,-5.58,-6.55,-250.14,17.67,238.95,9.88,1.1,3.14,rocket,
674,0.79,-2.76,-15.11,-250.14,250.13,58.61,7.91,0.43,3.44,rocket,
675,1.1,-1.49,-17.97,-250.14,250.13,23.43,8.0,0.75,3.83,rocket,
676,4.44,1.05,-19.62,-53.7,132.92,-183.76,7.57,1.31,3.88,rocket,
677,5.38,1.02,-18.49,119.69,-36.91,-124.95,7.22,1.18,3.2,rocket,
678,11.95,6.89,-19.62,250.13,250.13,31.21,4.58,1.0,2.19,rocket,
679,4.83,5.45,-11.91,250.13,-250.14,-9.8,4.04,1.2,1.58,rocket,
680,7.35,8.84,-9.78,250.13,-14.82,97.34,3.75,1.88,2.72,rocket,
681,3.34,8.72,-9.37,250.13,-245.36,-30.99,7.25,0.94,2.95,rocket,
682,5.42,6.62,-3.2,250.13,-250.14,49.02,14.32,1.6,3.41,rocket,
683,19.62,12.77,7.71,250.13,-250.14,-129.02,11.7,-1.25,4.49,rocket,
684,19.62,14.2,12.89,250.13,-99.1,-175.12,9.45,-2.71,4.27,rocket,
685,-0.41,4.98,2.53,-228.93,-240.73,123.99,8.59,2.12,2.67,rocket,
686,11.34,-7.42,-0.54,-173.64,42.83,14.44,8.07,1.84,2.54,rocket,
687,8.31,-0.29,-3.93,-157.98,-85.27,-44.11,7.16,1.33,2.33,rocket,
688,6.96,-5.16,3.98,4.18,20.01,-81.47,6.51,0.46,2.41,rocket,
689,7.09,-1.56,-2.17,-30.63,-46.1,-63.11,6.56,-0.01,3.06,rocket,
690,8.61,-2.45,1.51,77.08,34.77,-38.15,7.02,-0.25,2.91,rocket,
691,9.43,-1.49,1.63,97.03,78.01,-25.39,7.7,-0.08,2.88,rocket,
692,8.15,-0.17,1.05,11.45,15.66,-1.53,8.42,0.21,3.38,rocket,
693,4.38,-1.33,0.28,98.24,-250.14,-29.69,10.87,1.08,4.09,rocket,
694,6.84,-3.22,2.2,-56.5,171.89,65.82,11.11,0.97,4.06,rocket,
695,5.88,-1.83,5.64,-32.3,-46.97,84.46,9.18,1.41,4.54,rocket,
