,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
319,-4.24,3.76,0.67,30.94,-74.69,78.17,6.47,9.36,-7.28,bunny,
320,-5.21,7.03,0.34,53.5,2.67,13.27,5.27,5.51,-6.98,bunny,
321,0.75,12.29,0.16,41.53,48.07,34.61,4.98,-0.85,-7.36,bunny,
322,5.06,14.69,-1.36,20.24,58.09,11.4,6.35,-4.28,-8.17,bunny,
323,9.55,13.46,-2.9,-21.89,23.4,-14.31,7.11,-5.55,-8.85,bunny,
324,19.62,7.95,-8.76,-70.31,16.11,-114.82,7.27,-2.67,-7.18,bunny,
325,19.62,6.16,-10.21,-45.39,10.58,-99.31,7.71,-2.79,-6.44,bunny,
326,19.62,0.26,-9.33,-97.85,-87.19,-27.59,8.26,2.98,-7.58,bunny,
327,12.59,2.35,-12.19,-250.14,-250.14,-111.59,7.83,4.72,-8.32,bunny,
328,17.77,-4.05,-15.02,121.69,127.46,-163.99,9.5,4.67,-6.68,bunny,
329,19.62,-3.58,-1.53,98.92,140.09,-73.26,8.65,6.0,-5.21,bunny,
330,11.06,-10.06,-0.33,63.31,-63.36,82.11,6.72,2.74,-5.48,bunny,
331,9.01,-9.82,3.06,68.07,-2.5,101.44,6.87,2.8,-5.7,bunny,
332,-2.23,1.28,5.41,10.4,30.44,86.09,5.18,5.34,-7.82,bunny,
333,-5.37,3.94,4.37,6.69,-18.96,90.05,5.93,7.08,-8.04,bunny,
334,-3.75,10.96,1.98,20.02,-82.12,16.43,4.67,3.56,-7.19,bunny,
335,-1.28,13.74,2.09,13.99,-88.79,-21.49,5.9,1.6,-5.13,bunny,
336,8.44,14.81,-4.52,-122.11,47.37,-110.32,8.08,-3.44,-5.88,bunny,
337,18.14,13.2,-8.44,-139.02,-26.11,-147.21,7.28,-2.68,-6.76,bunny,
338,19.62,1.99,-19.06,-250.14,-0.52,-157.7,10.37,0.91,-5.83,bunny,
339,19.62,-2.6,-18.08,31.03,94.67,-37.39,9.42,0.57,-6.25,bunny,
340,19.62,-10.73,-12.72,155.65,154.67,-82.11,7.58,3.03,-8.42,bunny,
341,18.48,-15.71,-1.4,-53.31,105.24,-44.72,8.66,4.23,-7.2,bunny,
342,3.24,-9.47,6.01,43.17,57.42,149.09,6.97,5.03,-4.81,bunny,
343,-1.81,-4.52,4.07,108.69,8.83,168.85,7.17,3.66,-4.05,bunny,
344,-8.58,1.79,1.93,68.37,-109.32,-15.83,7.5,4.67,-5.84,bunny,
345,-5.96,5.64,2.41,92.33,-91.4,-62.76,7.48,5.86,-7.13,bunny,
346,-6.32,14.74,-0.1,28.55,86.44,-47.28,5.38,5.32,-7.75,bunny,
347,-8.2,17.68,-2.04,24.23,23.66,-58.59,5.76,4.2,-7.49,bunny,
348,7.54,0.67,-5.97,-176.11,-20.6,83.63,9.11,0.27,-3.84,bunny,
349,6.9,0.05,-6.03,-162.0,-26.4,83.27,8.57,2.05,-2.96,bunny,
350,6.98,0.48,-5.67,-126.4,-19.71,63.18,6.57,1.31,-4.05,bunny,
351,7.57,0.8,-5.11,-109.87,-12.61,71.28,6.0,0.96,-3.13,bunny,
352,9.52,1.47,-4.75,-104.18,-3.43,98.44,12.6,-4.07,-0.37,bunny,
353,12.34,1.77,-4.67,-109.54,29.03,96.89,10.91,-4.66,-2.46,bunny,
354,15.43,0.36,-4.21,-126.79,22.9,42.92,10.53,-0.36,-0.64,bunny,
355,15.17,-1.8,-2.98,-196.16,-70.87,36.95,11.01,-1.37,-0.38,bunny,
356,15.89,-3.29,1.0,-199.13,-100.83,92.4,11.66,-3.44,-1.58,bunny,
357,15.48,-3.09,6.04,-125.66,-11.67,179.51,10.22,-3.82,-2.82,bunny,
358,-7.83,5.14,-0.02,-209.86,-32.05,243.94,7.58,-0.73,-2.88,bunny,
359,-6.78,5.25,-2.46,-191.75,-59.57,233.39,7.47,-0.43,-2.54,bunny,
360,-6.52,5.39,-5.78,-106.75,-40.11,236.95,7.86,0.19,-3.77,bunny,
361,-7.72,11.03,-5.84,-31.76,-30.48,174.53,7.76,0.33,-4.25,bunny,
362,9.38,9.4,-17.25,-208.85,-23.29,-121.53,7.53,-3.36,-5.29,bunny,
363,16.81,7.21,-18.64,-192.23,-11.31,-139.67,8.18,-6.23,-5.48,bunny,
364,19.62,1.25,-19.09,-147.43,61.85,-148.6,8.93,-0.91,-6.6,bunny,
365,19.62,-2.26,-14.68,-35.68,52.73,-102.26,9.12,1.3,-5.53,bunny,
366,19.62,-12.14,-18.03,-55.5,21.66,-65.5,9.45,-1.23,-7.3,bunny,
367,19.62,-15.73,-1.46,-220.31,55.56,-89.31,8.61,0.53,-6.35,bunny,
368,12.66,-5.44,-3.09,-109.89,36.81,44.78,5.05,6.22,-4.64,bunny,
369,7.41,-4.27,0.29,-42.98,77.4,82.85,6.74,8.26,-4.43,bunny,
370,-3.91,3.73,-1.86,2.21,-3.63,111.35,8.49,1.07,-7.63,bunny,
371,-4.36,3.96,-0.62,-22.92,-27.69,85.08,7.47,1.89,-6.95,bunny,
372,-4.77,7.91,0.31,-3.94,73.55,20.16,7.22,2.91,-8.2,bunny,
373,-3.56,8.17,-0.72,4.93,39.69,35.4,6.9,1.97,-6.98,bunny,
374,1.88,10.11,-2.54,-24.03,1.34,44.62,6.46,-3.12,-9.65,bunny,
375,8.78,12.74,-3.86,-51.69,16.68,4.6,7.7,-6.21,-8.96,bunny,
376,13.9,12.35,-6.88,-56.43,48.24,-29.73,7.27,-3.11,-8.24,bunny,
377,19.62,5.42,-14.89,-120.51,-34.5,-88.65,7.2,-1.75,-6.85,bunny,
378,19.62,0.95,-13.81,-103.62,-40.63,-80.51,6.85,-3.28,-6.02,bunny,
379,19.62,-0.68,-12.83,-78.97,-10.99,-79.91,7.65,-4.07,-6.41,bunny,
380,9.47,-1.2,-13.1,-197.06,-250.14,35.45,8.43,-3.56,-7.15,bunny,
381,15.06,-15.46,-4.22,-77.3,-72.28,43.78,9.61,0.91,-6.61,bunny,
382,13.96,-14.36,-0.66,56.94,39.15,64.15,9.59,0.17,-5.41,bunny,
383,1.52,-5.85,4.96,114.91,84.71,111.55,6.91,-0.02,-6.29,bunny,
384,-4.45,-0.7,4.36,67.31,-9.05,98.24,7.03,1.92,-6.21,bunny,
385,0.55,6.13,-0.74,49.7,1.69,-22.56,6.69,2.67,-6.7,bunny,
386,1.48,8.48,-1.96,61.07,68.56,-34.7,8.55,1.31,-6.8,bunny,
387,15.06,9.04,-8.14,-22.21,-69.94,-105.6,6.48,1.94,-7.02,bunny,
388,15.12,5.96,-8.55,-13.44,-17.5,-64.37,6.35,2.66,-6.82,bunny,
389,10.82,3.88,-8.04,20.75,61.94,-64.87,7.63,0.12,-6.63,bunny,
390,11.98,3.42,-6.24,56.79,-5.89,-60.7,8.32,-1.51,-7.88,bunny,
391,16.43,-1.23,-7.66,-82.55,-33.5,-47.59,7.48,0.42,-7.26,bunny,
392,18.41,-2.5,-10.23,-18.21,-83.72,-10.65,7.59,1.31,-7.15,bunny,
393,13.03,-5.01,-3.33,45.26,8.02,40.91,6.67,1.74,-7.56,bunny,
394,8.44,-3.54,-2.29,59.24,-12.73,38.99,7.13,1.53,-7.21,bunny,
395,4.19,2.81,-1.05,111.5,207.44,-22.98,10.46,-0.34,-4.9,bunny,
396,5.66,2.72,-4.36,110.06,250.13,-79.57,10.27,-1.03,-4.15,bunny,
397,10.35,5.59,-7.9,148.85,250.13,-166.7,10.05,-1.93,-4.25,bunny,
398,19.62,5.86,-4.16,65.08,153.85,-141.85,9.75,-1.56,-6.23,bunny,
399,19.62,3.94,-0.59,37.11,134.26,32.88,7.72,-0.81,-6.07,bunny,
400,19.62,-1.69,-1.55,104.95,129.27,166.5,7.45,0.7,-6.61,bunny,
401,19.62,-1.23,0.11,107.22,191.05,147.89,7.2,1.15,-4.79,bunny,
402,19.62,-0.79,1.78,140.44,28.44,190.69,6.93,-0.88,-3.81,bunny,
403,9.18,1.98,0.17,43.32,135.17,223.2,8.27,-3.18,-2.34,bunny,
404,7.75,2.17,0.56,-20.01,98.6,222.36,7.82,-2.39,-0.55,bunny,
405,4.02,2.51,0.86,19.93,137.39,224.76,7.93,-2.83,0.51,bunny,
406,1.83,2.24,0.23,-31.12,159.69,208.08,8.23,-2.37,-0.23,bunny,
407,1.89,-2.93,1.02,-19.63,31.27,120.65,7.85,-1.77,0.97,bunny,
408,3.99,-4.37,2.98,-37.76,13.92,100.18,8.73,-1.18,1.53,bunny,
409,4.92,-6.07,4.06,-109.26,84.95,49.85,10.03,-0.54,0.78,bunny,
410,4.41,-6.18,3.12,-170.93,90.63,-9.17,10.06,-0.23,0.68,bunny,
411,5.69,-5.9,1.25,-61.64,74.12,83.85,10.24,0.67,2.34,bunny,
412,6.17,-6.14,1.34,-63.4,105.77,97.0,10.41,0.48,2.22,bunny,
413,5.33,-7.4,1.94,-39.91,34.55,58.49,9.27,0.73,2.35,bunny,
414,6.05,-7.5,2.84,-40.5,29.7,65.71,8.92,0.74,2.4,bunny,
415,2.47,-6.13,2.48,-28.89,76.18,107.68,9.17,1.47,2.47,bunny,
416,2.38,-5.91,2.27,-32.27,60.85,91.53,9.68,1.68,4.08,bunny,
417,3.22,-8.11,2.53,-44.91,74.16,73.18,9.71,0.85,2.98,bunny,
418,2.72,-8.24,2.74,-53.38,97.69,49.76,9.54,0.6,3.13,bunny,
419,1.91,-8.54,2.72,-82.33,95.92,21.17,9.25,0.61,3.72,bunny,
420,7.1,-10.25,1.89,-133.14,69.29,79.76,10.56,-0.77,2.81,bunny,
421,3.66,-11.45,0.95,-186.18,171.58,105.95,10.49,-0.94,3.43,bunny,
422,-0.17,-8.9,-1.45,-141.39,-9.76,109.12,9.19,-0.31,1.78,bunny,
423,-0.37,-11.22,-1.65,-200.72,146.18,89.78,8.73,-0.17,1.84,bunny,
424,-4.4,-10.75,-4.79,-96.92,146.35,63.69,8.31,0.26,1.88,bunny,
425,-5.25,-9.83,-6.5,14.35,143.22,27.03,8.32,-0.22,2.03,bunny,
426,-8.52,-11.23,-3.13,250.13,132.47,-250.14,9.13,-0.64,2.91,bunny,
427,-4.72,-4.57,-0.54,250.13,36.9,-250.14,9.15,-1.01,2.68,bunny,
428,9.74,2.03,11.29,162.31,54.63,-196.02,8.41,-0.22,3.21,bunny,
429,8.07,1.53,11.53,32.19,85.65,-55.79,8.43,0.0,3.03,bunny,
430,5.29,-6.18,6.03,-234.53,-75.63,167.87,8.98,-2.18,2.33,bunny,
431,4.53,-8.79,3.06,-250.14,-109.5,191.82,9.39,-1.48,2.6,bunny,
432,1.5,-8.27,3.17,-250.14,-138.92,206.77,9.7,-1.52,2.58,bunny,
433,3.56,-12.92,-2.35,-250.14,-48.57,250.13,9.98,-1.76,2.59,bunny,
434,-4.93,-12.32,-15.12,158.27,250.13,53.08,9.11,-1.43,2.7,bunny,
435,-7.27,-12.3,-9.39,250.13,250.13,-114.11,8.27,-0.86,3.07,bunny,
436,-7.04,-5.09,-0.93,250.13,150.18,-250.14,7.98,-0.1,3.77,bunny,
437,-5.36,6.21,4.85,250.13,57.44,-250.14,8.2,-0.45,3.65,bunny,
438,13.57,15.18,19.62,-15.76,79.86,-16.98,9.85,-0.56,3.99,bunny,
439,8.02,7.42,14.8,-250.14,10.96,148.24,8.75,0.77,3.63,bunny,
440,-3.61,-2.89,-3.2,-250.14,8.82,250.13,8.11,-0.89,2.22,bunny,
441,-0.18,-3.27,-6.79,-250.14,-41.12,250.13,9.46,-0.96,3.31,bunny,
442,-7.76,-10.03,-2.28,250.13,-203.99,-250.14,9.54,-0.62,3.67,bunny,
443,-9.17,6.07,-1.69,250.13,-196.32,-250.14,9.8,-0.52,3.6,bunny,
444,6.48,18.88,2.79,250.13,-250.14,-250.14,9.5,0.35,3.96,bunny,
445,19.62,19.62,14.66,250.13,-250.14,-152.73,8.94,0.81,3.41,bunny,
446,18.53,8.87,18.5,97.67,-193.23,84.89,8.6,0.34,3.24,bunny,
447,7.95,6.23,13.54,-250.14,-90.27,82.33,8.71,0.63,3.8,bunny,
448,6.32,1.52,8.52,-250.14,230.68,180.55,8.95,0.63,3.15,bunny,
449,7.47,-4.57,6.28,-250.14,195.15,177.21,9.33,0.29,3.31,bunny,
450,5.7,-1.87,4.66,-250.14,4.97,225.4,9.18,0.3,2.81,bunny,
451,8.14,-2.14,2.49,-250.14,-178.44,250.13,7.82,3.86,2.1,bunny,
452,6.69,-4.26,3.0,-250.14,12.98,250.13,8.59,3.08,3.62,bunny,
453,0.27,-10.04,0.32,-128.6,-77.91,250.13,6.93,4.87,4.56,bunny,
454,-0.69,-10.03,0.29,-73.66,-150.74,250.13,7.13,4.69,4.27,bunny,
455,-1.93,-11.2,0.06,-89.66,-180.23,188.18,7.9,4.44,4.71,bunny,
456,-1.56,-12.64,0.69,-109.92,-250.14,113.34,8.17,3.3,5.32,bunny,
457,-4.7,-13.01,5.7,-72.99,-250.14,23.21,7.98,1.22,5.87,bunny,
458,-3.74,-12.73,6.97,-82.58,-247.73,45.48,8.4,0.8,6.19,bunny,
459,-4.42,-11.08,8.0,-187.76,-123.29,44.83,8.55,-0.69,6.71,bunny,
460,-5.31,-10.47,7.24,-219.28,-131.44,52.82,8.14,-1.65,7.08,bunny,
461,-1.2,-9.78,5.48,-219.3,-195.75,-11.27,6.87,-4.89,4.71,bunny,
462,-2.0,-10.22,4.24,-225.84,-172.6,-29.77,6.56,-5.1,4.89,bunny,
463,-0.71,-9.99,0.87,-154.34,-92.33,-57.06,7.54,-5.14,1.88,bunny,
464,-0.32,-9.64,-0.78,-117.72,-113.18,-65.19,7.64,-4.62,3.99,bunny,
465,-0.05,-9.58,-1.58,-104.18,-136.02,-71.27,7.82,-4.73,4.03,bunny,
466,-0.19,-9.63,-2.03,-107.01,-170.99,-80.41,8.63,-4.17,2.36,bunny,
467,-1.27,-11.54,-2.85,-12.1,-168.53,-53.54,10.32,-0.22,5.76,bunny,
468,-0.86,-10.86,-1.72,-20.83,-143.66,-46.4,8.33,0.93,5.61,bunny,
469,-1.56,-11.88,-0.57,3.06,-40.56,-36.72,6.31,-2.94,3.41,bunny,
470,-2.31,-10.7,0.41,14.69,-33.93,-38.8,6.32,-2.03,4.59,bunny,
471,-1.95,-9.3,-1.51,30.73,-80.81,-70.32,7.62,-1.66,3.2,bunny,
472,-1.98,-10.3,-1.43,118.17,-92.47,-74.44,8.17,-0.57,3.48,bunny,
473,0.44,-14.12,-5.83,250.13,-206.57,-199.73,9.14,-0.74,3.89,bunny,
474,-3.72,0.54,-6.14,250.13,-250.14,-121.4,10.54,-1.59,3.5,bunny,
475,8.58,5.89,-5.17,250.13,-250.14,-60.29,11.46,-1.0,3.9,bunny,
476,11.87,11.54,9.77,250.13,-250.14,-18.72,11.63,-0.9,4.49,bunny,
477,7.48,-0.45,8.46,-250.14,243.43,67.52,7.75,0.17,4.15,bunny,
478,5.28,-0.34,7.42,-250.14,250.13,120.29,7.85,0.48,4.24,bunny,
