,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
798,3.23,-4.29,15.27,-114.93,189.5,250.13,9.67,0.23,-3.63,cowboy,
799,1.48,-4.67,16.37,-152.33,213.11,245.98,9.22,-0.3,-1.96,cowboy,
800,1.97,-7.57,17.78,-202.22,108.03,136.84,13.56,0.59,-0.68,cowboy,
801,5.04,-9.76,17.23,-168.16,105.5,47.47,14.23,-1.12,0.73,cowboy,
802,3.45,-8.74,19.17,-94.74,250.13,143.15,15.37,-0.01,-0.34,cowboy,
803,0.06,-11.06,17.04,-67.24,250.13,117.07,15.28,-0.74,1.21,cowboy,
804,-1.5,-11.41,16.75,-128.32,101.43,32.89,17.49,0.68,2.16,cowboy,
805,-1.97,-13.91,13.62,-148.07,141.97,9.27,17.12,3.54,4.78,cowboy,
806,-1.77,-8.76,8.81,-62.35,241.21,-51.77,13.09,-0.19,1.45,cowboy,
807,-2.88,-7.95,7.92,-68.9,205.93,-96.08,10.99,-1.8,1.27,cowboy,
808,-0.14,-2.32,6.46,-89.49,231.41,-132.53,8.53,-2.58,1.05,cowboy,
809,0.39,-2.49,5.26,-109.34,202.34,-136.59,7.39,-2.14,0.88,cowboy,
810,1.73,-2.14,4.52,-61.37,187.96,-111.66,6.49,-1.57,1.49,cowboy,
811,2.33,-0.17,4.89,-59.54,208.3,-106.31,5.37,-1.73,0.91,cowboy,
812,2.98,0.59,5.4,-41.4,243.07,-76.6,4.65,-1.21,0.53,cowboy,
813,3.7,1.32,3.55,-22.01,250.13,-122.56,4.81,-0.35,0.65,cowboy,
814,3.89,1.18,4.0,-2.23,234.4,-145.32,5.91,-0.55,0.29,cowboy,
815,9.1,0.52,4.12,-37.46,182.45,-152.66,9.14,-3.46,0.95,cowboy,
816,9.18,-0.43,3.18,-15.85,128.55,-140.79,9.07,-3.81,0.64,cowboy,
817,12.61,-1.93,1.77,-13.37,40.79,-100.42,7.68,-2.9,0.97,cowboy,
818,13.64,-4.24,0.6,-27.15,44.14,-81.03,9.39,-3.13,1.29,cowboy,
819,9.94,-6.72,-0.42,-30.66,-11.15,-33.69,12.79,-0.13,3.6,cowboy,
820,9.07,-7.36,0.59,-43.83,-19.89,-45.3,9.63,-2.31,2.13,cowboy,
821,7.77,-9.52,2.73,26.46,28.54,12.26,8.26,-0.54,1.4,cowboy,
822,6.27,-8.07,3.13,20.25,56.44,37.91,8.11,-0.72,1.79,cowboy,
823,5.83,-7.51,2.57,15.0,29.51,51.63,9.03,-0.85,2.2,cowboy,
824,5.54,-6.03,2.42,12.5,31.05,46.08,9.26,-0.84,1.91,cowboy,
825,5.04,-3.93,1.66,2.34,-82.41,129.61,10.07,-1.17,2.01,cowboy,
826,4.73,-2.14,1.57,51.38,-81.73,154.81,9.99,-1.57,2.24,cowboy,
827,9.24,3.98,4.8,-96.62,-38.02,150.66,9.64,0.4,1.41,cowboy,
828,9.96,4.24,5.54,-35.62,35.15,176.79,8.9,0.65,1.91,cowboy,
829,7.51,1.14,3.5,-250.14,-250.14,250.13,9.14,0.62,1.92,cowboy,
830,13.99,8.18,1.62,-125.93,127.78,-2.69,8.61,0.42,2.14,cowboy,
831,15.81,0.48,2.14,34.55,-250.14,250.13,8.17,0.46,1.87,cowboy,
832,13.2,-1.65,1.66,-80.31,-36.72,228.65,7.96,0.64,1.83,cowboy,
833,14.96,-2.09,1.37,3.41,82.44,246.46,8.03,0.89,1.68,cowboy,
834,12.06,-5.74,0.85,-43.2,51.92,228.2,9.75,2.66,1.94,cowboy,
835,7.93,-6.52,0.01,-53.39,19.31,239.76,9.4,2.22,2.08,cowboy,
836,8.08,-7.5,0.0,-43.98,-139.27,159.53,8.97,0.16,1.1,cowboy,
837,2.84,-2.37,2.91,46.58,-3.69,102.72,8.48,-0.45,0.56,cowboy,
838,1.4,-6.52,6.13,60.31,29.16,100.68,7.02,0.46,0.18,cowboy,
839,2.98,-4.75,8.9,113.39,136.74,154.47,8.74,1.06,-1.51,cowboy,
840,-1.0,-9.78,10.61,-42.73,60.64,64.47,10.03,1.79,1.03,cowboy,
841,-2.59,-10.64,11.88,-178.76,182.89,61.76,8.89,2.35,-0.45,cowboy,
842,-12.38,-9.0,14.91,-9.21,250.13,-62.04,10.97,3.34,0.88,cowboy,
843,-10.48,-7.77,17.48,-20.18,250.13,-149.66,10.87,2.56,0.23,cowboy,
844,-13.86,-7.07,19.62,-46.75,250.13,-250.14,11.01,2.54,1.61,cowboy,
845,-16.69,-3.67,19.62,-23.98,250.13,-250.14,11.5,2.37,1.67,cowboy,
846,-7.02,7.76,19.62,-39.34,112.31,-250.14,9.72,1.78,1.42,cowboy,
847,-4.92,9.8,19.62,-115.01,137.93,-250.14,10.44,2.39,1.31,cowboy,
848,-4.66,7.22,16.81,-144.98,127.33,-250.14,9.71,2.58,2.4,cowboy,
849,-2.4,7.79,14.42,-117.11,73.98,-242.28,9.07,2.75,2.68,cowboy,
850,0.79,3.23,13.83,-161.87,108.79,-157.67,7.79,2.28,2.22,cowboy,
851,0.69,1.4,13.12,-143.56,81.4,-158.56,7.36,2.54,2.3,cowboy,
852,0.77,3.27,12.62,-167.01,91.32,-168.6,7.51,2.03,1.16,cowboy,
853,0.83,2.75,11.95,-165.46,87.63,-154.18,8.04,1.29,0.78,cowboy,
854,1.34,8.27,10.09,-162.1,64.9,-154.03,11.45,-0.96,0.12,cowboy,
855,2.29,8.58,7.4,-180.88,82.25,-193.18,13.06,-3.65,0.23,cowboy,
856,10.43,8.01,6.03,-133.0,21.51,-246.66,8.56,-0.86,0.47,cowboy,
857,14.68,11.71,0.91,-68.87,30.69,-221.3,8.51,-0.36,0.39,cowboy,
858,13.97,3.91,6.25,-53.08,34.83,-43.98,11.5,-1.19,0.92,cowboy,
859,13.17,2.37,4.84,-52.22,50.22,-29.61,11.72,-0.53,0.9,cowboy,
860,12.85,2.72,4.14,-53.02,8.37,-4.65,10.35,-0.54,0.83,cowboy,
861,13.59,2.69,3.01,-51.1,-0.32,15.97,10.16,-0.62,0.55,cowboy,
862,14.71,4.63,4.26,10.63,-226.25,120.99,8.69,-0.06,0.23,cowboy,
863,13.0,5.36,5.13,18.92,-250.14,154.48,9.18,0.45,0.24,cowboy,
864,7.59,3.6,0.17,165.87,-165.12,248.06,10.36,1.6,1.18,cowboy,
865,7.83,4.21,-1.09,248.99,-196.58,250.13,9.69,1.74,1.15,cowboy,
866,7.11,4.2,6.93,250.13,32.86,206.26,9.27,1.43,1.54,cowboy,
867,0.95,0.42,4.41,48.44,-83.44,154.83,9.61,1.54,2.08,cowboy,
868,3.89,-7.64,1.8,247.11,-250.14,116.19,9.42,-0.12,0.91,cowboy,
869,8.4,-6.05,6.43,133.4,-248.23,86.17,9.19,-1.11,1.4,cowboy,
870,11.97,-11.47,9.13,177.82,-36.8,96.05,9.41,-4.43,0.97,cowboy,
871,14.38,-13.84,13.09,187.61,-28.93,114.85,9.72,-5.82,0.35,cowboy,
872,9.67,-19.62,16.16,-51.6,-64.86,36.66,9.1,-7.37,-0.64,cowboy,
873,8.24,-19.62,14.53,-78.56,-46.08,16.62,9.25,-7.76,0.01,cowboy,
874,2.5,-13.75,7.39,-28.04,28.22,20.21,8.33,-4.58,1.2,cowboy,
875,-0.26,-12.42,9.92,16.25,1.84,2.6,8.41,-3.31,1.94,cowboy,
876,1.22,-9.93,15.34,-106.48,-142.45,-67.75,8.06,-1.28,2.2,cowboy,
877,4.47,-10.47,19.62,-129.79,-66.95,-40.95,7.14,-0.3,2.82,cowboy,
878,0.57,-10.71,19.62,-143.15,142.3,1.18,9.28,2.07,2.44,cowboy,
879,-7.43,-8.47,19.62,-199.18,114.55,-47.95,14.76,3.73,2.41,cowboy,
880,-3.89,-9.64,19.62,-179.98,22.34,-65.69,16.17,13.73,5.57,cowboy,
881,1.94,4.5,16.21,-70.5,11.97,-98.52,9.06,2.31,0.38,cowboy,
882,4.2,4.73,12.06,-173.61,19.54,-221.14,10.09,0.05,0.12,cowboy,
883,4.18,8.02,11.77,-115.48,67.08,-158.36,9.51,0.01,0.29,cowboy,
884,6.27,6.31,8.52,-10.39,46.95,-40.35,10.97,0.89,2.08,cowboy,
885,6.3,3.75,2.1,-127.82,-123.24,-28.99,6.5,1.89,0.59,cowboy,
886,7.28,4.25,1.53,-148.96,-139.14,-33.89,6.5,1.61,0.8,cowboy,
887,13.65,5.77,-4.41,-142.66,-134.69,57.52,7.27,2.7,1.32,cowboy,
888,14.85,5.24,-8.18,-109.5,-76.21,110.89,7.26,2.36,1.42,cowboy,
889,14.15,5.75,-11.93,-70.64,-51.96,154.92,7.46,3.39,2.4,cowboy,
890,14.15,6.16,-15.61,-48.63,-26.43,171.43,8.11,2.2,1.86,cowboy,
891,6.32,-9.38,-18.54,68.03,-90.89,168.35,8.66,2.11,0.71,cowboy,
892,3.17,-9.08,-15.98,92.63,-68.18,171.31,12.48,0.76,3.2,cowboy,
893,-9.77,-13.73,-11.32,41.35,-80.12,112.88,11.41,-0.9,2.52,cowboy,
894,-17.38,-15.98,-9.38,125.86,-47.53,60.77,10.42,-1.47,0.28,cowboy,
895,-12.51,-12.0,6.91,205.66,-75.55,-244.3,14.32,0.05,2.85,cowboy,
896,-9.47,-10.42,12.69,127.27,-92.35,-250.14,13.89,0.05,2.24,cowboy,
897,7.22,-4.28,19.62,-42.82,-40.54,-250.14,11.05,-0.97,1.87,cowboy,
898,10.85,-0.38,19.62,-84.73,-82.08,-250.14,9.6,-0.64,2.77,cowboy,
899,15.96,4.63,17.13,-136.48,-110.76,-181.92,8.22,-1.32,1.47,cowboy,
900,19.62,6.77,11.6,-187.13,-103.27,-122.66,7.08,-1.38,1.38,cowboy,
901,18.08,6.59,-6.64,-210.72,14.02,94.3,4.85,-2.0,0.2,cowboy,
902,14.26,5.31,-8.06,-175.33,59.82,146.34,5.65,-2.11,0.3,cowboy,
903,7.43,4.44,-10.84,-91.19,28.9,99.68,9.15,-1.73,-0.08,cowboy,
904,9.23,2.91,-10.02,-64.25,4.02,82.35,12.79,-1.46,1.4,cowboy,
905,9.47,-0.12,-13.68,-64.73,130.59,152.65,8.5,2.04,1.61,cowboy,
906,8.95,-1.21,-13.34,-38.8,103.97,175.99,10.46,2.56,1.19,cowboy,
907,6.47,-5.2,-12.03,-21.44,113.19,155.63,13.56,3.57,2.26,cowboy,
908,6.58,-5.04,-11.3,-9.09,106.83,148.52,13.02,3.31,3.23,cowboy,
909,6.93,-10.35,-7.21,20.04,70.29,170.11,9.44,2.49,2.24,cowboy,
910,5.19,-11.97,-7.32,11.59,101.89,175.17,8.31,2.89,2.14,cowboy,
911,-4.64,-12.09,-9.13,26.69,64.12,164.98,8.43,3.67,1.45,cowboy,
912,-7.41,-13.08,-7.52,64.15,-25.85,144.55,8.52,4.78,1.21,cowboy,
913,-9.46,-11.07,5.7,67.64,85.66,131.24,4.1,4.54,-2.38,cowboy,
914,-12.39,-7.18,6.29,-191.88,83.87,-4.21,3.25,3.2,-3.04,cowboy,
915,-10.54,-9.84,-0.31,-111.39,-134.02,-32.78,7.64,1.4,-1.91,cowboy,
916,-7.7,-4.62,-1.64,-220.65,-117.81,-106.57,7.03,2.25,-0.65,cowboy,
917,-6.21,-2.52,-8.73,103.37,-175.31,-192.4,5.53,3.15,-2.14,cowboy,
918,-2.91,6.27,-13.02,-27.64,-234.28,-250.14,10.65,14.56,-2.11,cowboy,
919,8.0,8.84,-12.31,3.28,-250.14,-250.14,17.97,12.01,4.2,cowboy,
920,16.76,10.44,-16.87,31.96,-250.14,-240.72,19.06,5.59,4.14,cowboy,
921,7.89,5.31,-19.62,140.6,-109.92,-243.74,16.19,5.57,5.07,cowboy,
922,9.53,7.79,-19.62,218.21,-65.65,-250.14,13.93,5.01,4.49,cowboy,
923,19.62,4.45,4.45,250.13,-117.36,-4.39,0.33,-4.03,1.85,cowboy,
924,19.62,3.31,3.94,249.14,-124.14,62.89,-0.1,-4.44,2.41,cowboy,
925,19.62,0.0,6.81,250.13,-180.81,146.8,2.05,-5.32,0.86,cowboy,
926,19.62,0.0,9.1,250.13,-55.25,244.87,9.61,-7.75,2.66,cowboy,
927,13.78,-0.89,10.38,173.08,-35.95,250.13,15.37,-7.06,2.76,cowboy,
928,6.58,-3.56,9.7,92.65,-26.24,250.13,13.83,-3.64,5.05,cowboy,
929,2.59,-4.07,9.05,36.74,-20.76,250.13,10.83,-3.25,2.82,cowboy,
930,-1.85,-6.0,7.38,-39.05,27.48,250.13,9.01,-1.97,3.57,cowboy,
931,-14.46,-0.65,-6.45,-166.81,66.61,52.35,8.99,-1.13,3.36,cowboy,
932,-11.69,-2.9,-11.35,-129.53,66.88,-82.22,8.32,-0.55,3.62,cowboy,
933,-2.16,2.84,-14.46,37.11,88.65,-250.14,7.41,-2.32,3.26,cowboy,
934,1.95,2.22,-18.74,70.8,89.08,-250.14,6.32,-2.68,2.31,cowboy,
935,15.4,3.5,-18.42,250.13,105.11,-250.14,11.19,-1.14,1.32,cowboy,
936,19.62,1.25,-10.31,250.13,187.56,-192.28,12.7,3.12,5.23,cowboy,
937,19.62,-2.05,14.47,250.13,1.69,-9.67,13.16,-0.6,2.39,cowboy,
938,15.5,4.36,4.14,250.13,-209.78,250.13,14.08,0.86,2.78,cowboy,
939,15.51,7.64,11.4,129.27,-250.14,131.5,13.6,1.46,3.57,cowboy,
940,15.58,-0.53,15.85,127.34,-250.14,192.66,13.22,1.36,3.57,cowboy,
941,14.51,-3.44,14.83,133.8,-111.82,249.92,11.67,1.82,3.51,cowboy,
942,6.21,-4.31,12.26,21.2,-182.89,250.13,7.65,1.44,2.15,cowboy,
943,0.86,-2.83,10.64,-29.08,-135.27,250.13,6.06,1.15,1.95,cowboy,
944,-1.54,-5.58,5.65,-110.08,-135.98,250.13,4.74,1.02,0.94,cowboy,
945,-3.06,-4.82,1.77,-112.69,-75.21,250.13,3.62,1.19,0.6,cowboy,
946,-5.91,-1.41,-5.13,-147.22,-37.85,58.14,6.44,1.15,2.26,cowboy,
947,-4.47,-2.43,-7.34,-178.99,-66.54,-10.02,8.3,-0.78,1.74,cowboy,
948,-1.64,4.99,-16.27,9.38,-43.82,-250.14,14.28,-6.86,0.73,cowboy,
949,2.39,3.81,-16.54,1.82,-166.4,-250.14,14.49,-3.77,1.6,cowboy,
950,15.3,0.75,-19.42,155.6,-15.93,-250.14,11.01,-2.47,2.1,cowboy,
951,16.58,1.75,-19.18,250.13,74.62,-250.14,11.14,-0.94,0.9,cowboy,
952,19.62,4.96,-5.7,250.13,12.79,-231.44,7.5,-1.12,0.74,cowboy,
953,19.62,6.26,-2.94,250.13,6.14,-203.44,6.58,-1.08,0.42,cowboy,
954,6.17,19.62,0.66,-61.09,-46.29,-250.14,5.67,-1.58,0.74,cowboy,
955,10.9,7.1,11.61,250.13,-113.49,250.13,6.13,-1.73,0.2,cowboy,
956,19.0,-3.78,11.18,250.13,93.81,250.13,10.62,-1.62,0.26,cowboy,
957,11.07,-0.11,11.05,216.5,62.63,250.13,12.41,-0.17,1.67,cowboy,
