,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
158,1.8,9.72,1.0,-1.73,1.45,-1.85,9.4,0.28,1.5,handmoter,
159,1.75,9.73,1.05,-1.75,0.88,-1.29,9.42,0.36,1.52,handmoter,
160,1.73,9.77,1.08,-2.07,-0.21,-1.18,9.41,0.33,1.54,handmoter,
161,1.67,9.65,1.04,-1.69,-0.42,-1.73,9.45,0.28,1.52,handmoter,
162,1.72,9.75,1.07,-1.96,-0.93,-1.7,9.46,0.31,1.67,handmoter,
163,1.73,9.68,0.96,-1.99,-1.82,-1.98,9.46,0.39,1.59,handmoter,
164,1.73,9.75,1.06,-2.44,-0.06,-1.9,9.39,0.37,1.54,handmoter,
165,1.74,9.66,0.92,-2.32,0.44,-2.85,9.36,0.36,1.6,handmoter,
166,1.84,9.66,1.05,-2.27,3.6,-1.34,9.41,0.29,1.54,handmoter,
167,1.74,9.63,0.99,-2.08,3.63,-1.15,9.49,0.36,1.51,handmoter,
168,1.67,9.76,0.92,-1.2,1.81,-2.02,9.41,0.3,1.48,handmoter,
169,1.69,9.76,0.98,-1.77,0.44,-1.89,9.4,0.25,1.55,handmoter,
170,1.83,9.66,1.06,-2.11,-0.64,-1.39,9.43,0.3,1.49,handmoter,
171,1.78,9.72,0.97,-1.98,-0.98,-1.44,9.41,0.34,1.53,handmoter,
172,1.83,9.69,0.99,-1.23,-2.63,-1.91,9.4,0.32,1.63,handmoter,
173,1.87,9.58,0.91,-0.6,-0.82,-1.53,9.46,0.36,1.57,handmoter,
174,1.55,9.65,0.94,-1.76,-4.0,-1.85,9.39,0.32,1.57,handmoter,
175,1.76,9.65,0.88,-1.06,-3.7,-2.43,9.53,0.29,1.62,handmoter,
176,1.85,9.69,0.93,-2.29,-1.27,-1.73,9.41,0.37,1.64,handmoter,
177,1.81,9.68,0.96,-1.95,-0.62,-1.91,9.37,0.27,1.55,handmoter,
178,1.93,9.76,0.95,-1.49,0.81,-1.99,9.35,0.28,1.54,handmoter,
179,1.95,9.73,0.97,-1.87,2.31,-1.87,9.47,0.38,1.62,handmoter,
180,1.88,9.67,0.98,-2.06,3.37,-1.11,9.32,0.33,1.56,handmoter,
181,1.76,9.72,0.93,-2.24,3.75,-1.1,9.45,0.28,1.52,handmoter,
182,1.67,9.7,0.98,-2.47,3.08,-1.54,9.43,0.32,1.65,handmoter,
183,1.77,9.68,0.94,-3.0,1.48,-1.82,9.42,0.37,1.59,handmoter,
184,1.87,9.73,0.98,-3.12,1.44,-1.35,9.38,0.37,1.57,handmoter,
185,1.8,9.66,1.04,-2.63,2.86,-2.58,9.42,0.35,1.61,handmoter,
186,1.77,9.74,0.92,-2.3,1.71,-1.55,9.4,0.39,1.54,handmoter,
187,1.96,9.65,1.05,-1.92,2.33,-1.85,9.37,0.29,1.67,handmoter,
188,1.87,9.68,0.94,-2.18,2.63,-1.61,9.41,0.3,1.62,handmoter,
189,1.88,9.68,0.96,-1.66,2.14,-1.91,9.46,0.33,1.6,handmoter,
190,1.83,9.72,0.97,-2.27,1.79,-1.62,9.37,0.28,1.65,handmoter,
191,1.97,9.71,0.85,-2.35,1.0,-2.14,9.39,0.32,1.59,handmoter,
192,1.88,9.72,0.97,-2.0,0.98,-2.03,9.33,0.26,1.66,handmoter,
193,1.91,9.66,0.89,-2.13,0.75,-1.97,9.39,0.27,1.57,handmoter,
194,1.98,9.67,1.02,-2.18,1.18,-1.8,9.4,0.33,1.68,handmoter,
195,1.83,9.71,0.9,-1.83,0.69,-2.05,9.37,0.37,1.6,handmoter,
196,1.82,9.67,0.94,-1.73,0.26,-2.06,9.35,0.31,1.72,handmoter,
197,1.99,9.67,1.02,-1.44,0.89,-2.24,9.44,0.3,1.71,handmoter,
198,1.88,9.67,1.12,-3.0,0.69,-2.75,9.42,0.25,1.62,handmoter,
199,1.88,9.7,0.94,-1.88,3.56,-1.44,9.34,0.27,1.64,handmoter,
200,1.8,9.65,0.91,-2.2,2.24,-1.62,9.42,0.28,1.58,handmoter,
201,1.81,9.67,0.92,-1.69,0.53,-2.21,9.38,0.34,1.64,handmoter,
202,1.88,9.65,0.95,-1.83,-0.03,-2.27,9.39,0.29,1.61,handmoter,
203,1.92,9.76,1.02,-2.05,0.15,-1.78,9.38,0.32,1.73,handmoter,
204,1.91,9.72,0.89,-1.83,0.31,-2.06,9.4,0.25,1.64,handmoter,
205,1.94,9.7,0.96,-1.37,0.9,-2.04,9.41,0.23,1.62,handmoter,
206,1.9,9.72,1.02,-1.81,0.95,-1.99,9.42,0.33,1.59,handmoter,
207,1.89,9.73,0.91,-1.28,0.69,-1.8,9.51,0.15,1.58,handmoter,
208,1.87,9.77,0.95,-3.01,-0.58,-1.54,9.41,0.33,1.56,handmoter,
209,1.92,9.67,0.85,-2.11,4.05,-1.89,9.46,0.25,1.62,handmoter,
210,1.9,9.66,1.0,-2.37,3.12,-0.95,9.42,0.33,1.58,handmoter,
211,1.77,9.78,1.06,-1.98,0.5,-1.22,9.47,0.25,1.59,handmoter,
212,1.78,9.74,0.96,-1.62,-0.03,-2.07,9.36,0.29,1.6,handmoter,
213,1.96,9.64,0.93,-1.75,-0.45,-1.71,9.42,0.31,1.6,handmoter,
214,1.99,9.68,0.9,-1.45,-0.44,-1.7,9.51,0.36,1.64,handmoter,
215,2.06,9.77,1.08,-2.17,-0.45,-2.15,9.54,0.53,1.65,handmoter,
216,2.27,9.84,1.01,-2.42,0.64,-1.85,9.59,0.56,1.6,handmoter,
217,2.2,9.86,0.89,-0.2,7.44,0.63,9.65,0.68,1.73,handmoter,
218,2.0,10.05,0.92,-0.47,4.27,4.86,9.81,0.8,1.5,handmoter,
219,7.35,9.76,1.21,-0.47,61.36,40.15,10.33,1.89,1.89,handmoter,
220,8.49,10.29,1.1,4.32,82.0,85.79,10.51,1.98,2.24,handmoter,
221,8.75,12.76,-4.63,33.69,26.59,87.52,9.07,3.19,2.34,handmoter,
222,10.79,11.53,-4.11,75.31,41.8,101.13,8.88,2.49,2.27,handmoter,
223,11.96,11.87,-4.66,110.15,111.77,131.56,8.96,1.75,2.03,handmoter,
224,10.34,12.75,-5.46,147.86,204.26,141.68,8.88,1.36,2.01,handmoter,
225,7.91,12.78,-7.13,178.82,239.3,138.49,8.74,1.4,2.44,handmoter,
226,5.62,10.05,-7.49,208.58,191.68,92.35,7.98,-0.19,1.66,handmoter,
227,4.38,9.26,-7.85,216.55,175.53,78.13,8.72,-0.78,1.38,handmoter,
228,3.48,7.4,-8.68,226.53,98.66,69.84,9.71,-3.68,0.97,handmoter,
229,3.62,6.46,-9.1,244.71,96.79,50.84,9.26,-6.19,0.79,handmoter,
230,7.48,1.98,-11.36,250.13,18.92,65.39,8.47,-1.54,-0.06,handmoter,
231,8.5,0.0,-9.75,250.13,35.37,89.37,8.32,-2.37,-0.99,handmoter,
232,1.4,-2.81,-0.51,233.69,176.77,190.13,10.44,-3.14,-0.59,handmoter,
233,-2.35,-3.19,1.12,189.88,160.5,187.75,10.97,-3.02,-0.54,handmoter,
234,-6.2,0.56,4.13,142.79,164.61,145.33,9.2,-3.42,-0.38,handmoter,
235,-10.45,3.95,3.26,115.6,112.25,100.03,9.31,-1.84,0.26,handmoter,
236,2.18,15.8,0.09,-12.82,2.52,-59.92,7.43,-0.94,1.42,handmoter,
237,7.27,19.06,-3.09,-15.89,103.81,-88.64,6.14,-1.48,0.02,handmoter,
238,6.49,19.62,-7.47,-23.46,54.3,-171.54,9.48,-3.08,0.64,handmoter,
239,12.64,19.62,-9.29,-44.45,-8.15,-169.82,10.74,-1.22,1.84,handmoter,
240,18.77,12.15,-10.2,73.98,44.79,-97.23,6.6,-2.79,-1.52,handmoter,
