,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
639,1.71,8.63,-19.62,250.13,-41.89,-93.52,8.5,-2.45,0.8,rocket,
640,3.08,6.51,-16.11,250.13,17.59,-176.99,9.87,-4.02,1.15,rocket,
641,2.81,2.06,-12.36,250.13,48.4,-131.73,9.65,-4.05,0.68,rocket,
642,2.67,2.59,-7.36,250.13,-179.89,-147.73,8.29,-3.99,0.26,rocket,
643,3.41,6.97,-4.22,250.13,-180.48,-151.19,7.64,-3.63,-0.31,rocket,
644,6.1,7.99,2.07,250.13,-250.14,-250.14,6.27,-2.89,0.81,rocket,
645,12.53,7.04,3.01,250.13,-145.42,-250.14,6.66,-2.95,0.56,rocket,
646,15.52,14.78,11.99,250.13,61.69,-250.14,11.79,-1.12,3.92,rocket,
647,12.1,19.62,18.02,250.13,91.77,-250.14,8.72,-1.15,3.13,rocket,
648,13.91,19.62,19.62,250.13,-62.63,-166.63,8.29,-6.32,0.02,rocket,
649,19.62,16.75,19.62,-140.79,-143.19,14.91,10.51,-5.24,-1.67,rocket,
650,5.32,4.91,9.76,-250.14,-9.68,226.86,11.97,2.11,3.54,rocket,
651,6.97,3.02,7.79,-250.14,-112.63,196.12,11.8,1.35,3.21,rocket,
652,4.6,-1.78,5.73,-250.14,-61.48,240.06,7.41,1.25,-1.62,rocket,
653,5.59,-1.88,4.57,-250.14,-93.52,250.13,5.69,-0.74,1.37,rocket,
654,4.92,-2.69,-0.92,-250.14,9.33,250.13,7.14,0.16,0.84,rocket,
655,2.48,-2.14,-2.56,-250.14,47.98,250.13,6.29,0.67,0.93,rocket,
656,-2.89,2.97,-6.24,-250.14,50.34,250.13,6.73,1.74,1.48,rocket,
657,-5.8,8.65,-11.65,-250.14,-20.4,250.13,6.37,1.66,3.27,rocket,
658,-8.78,10.17,-19.62,-250.14,250.13,162.07,14.64,-6.42,1.16,rocket,
659,-11.14,11.16,-19.62,-32.52,250.13,-80.15,16.17,-8.41,1.58,rocket,
