,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
479,-1.0,-18.75,-6.93,-250.14,250.13,156.05,8.73,0.69,3.87,tapshoulder,
480,-9.7,-14.36,-7.47,-242.46,-46.88,105.4,8.94,0.26,3.77,tapshoulder,
481,-4.26,-13.25,-6.68,250.13,-67.91,-162.35,8.37,-0.74,4.42,tapshoulder,
482,-2.96,-15.09,-7.12,250.13,-243.28,-250.14,8.79,-0.64,3.53,tapshoulder,
483,5.11,10.43,2.59,250.13,-250.14,-114.1,8.54,-0.01,3.45,tapshoulder,
484,19.62,3.41,14.09,68.62,-250.14,-93.21,9.14,1.14,3.23,tapshoulder,
485,9.86,6.26,12.28,-250.14,250.13,199.5,8.76,0.08,3.87,tapshoulder,
486,11.44,1.75,8.9,-250.14,250.13,125.21,8.33,0.07,4.2,tapshoulder,
487,-1.99,-10.8,-9.47,-250.14,210.01,250.13,7.95,0.36,3.94,tapshoulder,
488,-11.65,5.28,-8.91,-250.14,-42.44,1.98,8.15,-0.16,3.98,tapshoulder,
489,-4.55,-14.07,-6.69,250.13,-200.88,-127.93,8.36,-0.26,2.83,tapshoulder,
490,2.51,-11.23,-3.57,250.13,-131.52,-136.94,8.55,0.24,3.0,tapshoulder,
491,-5.83,8.3,-6.07,250.13,-250.14,-166.26,9.35,0.24,3.76,tapshoulder,
492,-1.37,3.72,1.75,250.13,-250.14,-160.44,9.48,0.38,4.29,tapshoulder,
493,4.65,1.06,17.84,225.15,-7.59,-18.84,9.01,-1.35,3.09,tapshoulder,
494,5.96,3.36,12.32,30.66,18.3,24.23,10.11,-1.19,3.86,tapshoulder,
495,4.93,1.51,9.97,-77.94,53.98,50.66,9.35,-0.88,4.22,tapshoulder,
496,5.58,0.45,8.81,-122.12,70.77,41.66,9.47,-1.61,4.22,tapshoulder,
497,5.13,1.73,9.18,-232.03,171.72,26.76,9.25,-2.16,4.43,tapshoulder,
498,7.05,4.48,12.9,-250.14,138.85,103.94,8.87,-2.08,4.17,tapshoulder,
499,9.87,2.26,15.68,-250.14,182.53,157.93,8.94,-2.15,3.8,tapshoulder,
500,11.57,0.44,10.56,-250.14,250.13,189.4,8.76,-2.41,5.08,tapshoulder,
501,6.68,0.0,7.45,-250.14,250.13,202.11,8.49,-2.57,3.82,tapshoulder,
502,-9.44,-5.27,-7.3,-250.14,250.13,28.8,8.6,-2.48,4.96,tapshoulder,
503,-2.39,-11.0,-3.41,-195.35,250.13,150.69,8.77,-2.77,5.15,tapshoulder,
504,-0.46,-10.84,-5.74,-108.27,250.13,160.02,8.38,-2.77,5.3,tapshoulder,
505,-0.39,-9.05,-5.25,-38.95,211.79,140.85,8.44,-2.78,5.56,tapshoulder,
506,-3.79,-10.03,-8.69,104.27,225.9,36.84,7.41,-1.29,6.41,tapshoulder,
507,-4.53,-9.28,-8.32,132.02,250.13,23.67,7.33,-1.2,6.48,tapshoulder,
508,11.08,7.75,5.99,-164.31,-162.52,41.09,9.03,-0.6,3.07,tapshoulder,
509,11.36,11.45,2.91,-171.23,7.5,55.83,9.06,-0.75,3.25,tapshoulder,
510,14.15,14.31,8.05,-250.14,250.13,250.13,9.68,-1.67,3.57,tapshoulder,
511,14.57,13.37,6.5,-250.14,250.13,250.13,9.41,-2.12,3.09,tapshoulder,
512,4.17,2.55,3.71,-250.14,250.13,250.13,8.42,-1.61,3.46,tapshoulder,
513,2.32,-1.39,1.77,-250.14,250.13,250.13,8.56,-1.32,3.69,tapshoulder,
514,2.61,-10.39,-8.41,-44.64,124.01,17.31,9.05,-0.94,5.27,tapshoulder,
515,3.68,-9.64,-7.66,0.3,239.02,-50.7,9.17,-0.66,5.25,tapshoulder,
516,0.45,-3.79,-8.29,-110.33,250.13,-232.46,8.8,-0.35,5.13,tapshoulder,
517,5.2,-14.36,-9.06,-25.31,125.43,44.05,8.47,-0.02,5.57,tapshoulder,
518,0.72,-10.52,-7.65,90.26,250.13,174.56,8.45,0.1,5.44,tapshoulder,
519,-0.38,-9.58,-6.16,129.97,211.6,190.66,8.28,-0.49,5.33,tapshoulder,
520,-1.36,-7.75,-5.22,96.91,199.33,129.73,8.47,0.78,5.51,tapshoulder,
521,-1.64,-9.5,-4.4,67.44,195.56,108.96,7.98,0.98,5.34,tapshoulder,
522,-2.86,-10.52,-3.76,48.28,215.5,111.44,7.81,0.84,5.24,tapshoulder,
523,-5.51,-11.48,-4.69,20.25,250.11,100.31,7.74,0.94,5.32,tapshoulder,
524,-5.69,-11.41,-5.02,143.47,207.47,175.4,7.9,2.45,5.21,tapshoulder,
525,-8.87,-7.28,-1.39,212.84,192.49,102.02,8.04,2.25,4.24,tapshoulder,
526,-9.45,-8.58,1.85,225.16,247.14,36.86,7.88,2.2,4.3,tapshoulder,
527,-0.82,-7.48,5.62,94.37,241.88,14.07,7.69,1.9,3.44,tapshoulder,
