,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
318,17.24,4.5,-13.31,-25.8,71.97,-171.14,9.88,0.56,-3.57,bunny,
319,18.69,2.63,-14.74,30.84,63.14,-157.5,9.11,0.24,-3.63,bunny,
320,19.62,-7.66,-11.89,101.44,-35.31,-91.36,8.5,-0.11,-4.26,bunny,
321,19.62,-11.01,-10.59,49.24,-58.94,-87.7,8.74,-0.82,-4.16,bunny,
322,16.14,-9.95,-1.47,72.98,-81.53,78.08,8.7,-0.45,-4.55,bunny,
323,12.4,-7.6,1.43,103.14,-53.94,127.08,8.81,0.54,-4.22,bunny,
324,2.99,-0.57,3.99,96.72,112.34,156.02,9.21,0.54,-3.67,bunny,
325,-1.12,0.31,4.13,111.31,2.35,149.99,9.24,0.3,-3.63,bunny,
326,-3.43,7.07,-0.94,30.52,49.4,-16.13,9.87,1.3,-3.27,bunny,
327,-2.62,9.26,-3.26,42.06,57.21,-75.34,9.86,1.47,-4.03,bunny,
328,11.96,6.43,-12.01,36.49,46.82,-206.44,9.77,-0.09,-3.44,bunny,
329,17.97,3.15,-15.0,83.48,44.75,-197.0,9.67,-0.72,-2.91,bunny,
330,19.62,-1.4,-17.01,172.47,3.27,-142.14,9.2,-0.45,-3.04,bunny,
331,19.62,-2.47,-14.77,193.31,-27.05,-116.46,9.0,-0.77,-3.4,bunny,
332,19.62,0.74,-10.55,250.13,92.95,-27.57,8.76,-2.08,-2.93,bunny,
333,12.38,-2.71,-0.9,250.13,-50.23,47.44,9.11,-1.71,-2.85,bunny,
334,12.27,-1.55,-2.98,201.98,-55.72,33.51,9.23,-1.05,-2.19,bunny,
335,3.82,-2.44,-0.85,250.13,-25.04,65.35,8.9,-0.91,-1.98,bunny,
336,-0.73,0.52,-1.17,206.05,14.82,-23.23,10.15,-1.0,-0.23,bunny,
337,-0.53,2.07,-1.02,181.55,20.4,-31.82,10.63,-0.47,-0.71,bunny,
338,-2.01,4.31,-2.01,153.65,51.07,-64.6,10.59,-0.52,-1.25,bunny,
339,-2.5,6.1,-3.99,165.98,78.34,-101.15,10.43,-1.12,-1.13,bunny,
340,0.17,7.38,-5.78,163.64,-2.32,-136.43,9.88,-0.46,-0.66,bunny,
341,11.44,5.57,-8.99,129.08,34.89,-166.13,10.28,-0.65,-0.42,bunny,
342,14.17,5.45,-8.49,178.12,50.79,-145.92,9.66,-0.8,-0.23,bunny,
343,16.24,2.6,-8.8,168.5,-38.27,-122.1,9.06,-1.68,-1.13,bunny,
344,17.85,1.11,-7.54,157.56,-55.82,-106.24,8.93,-1.68,-0.64,bunny,
345,16.08,-3.52,-1.72,145.95,-37.02,-45.31,9.12,-2.29,-0.79,bunny,
346,15.27,-4.47,-1.15,107.4,-54.61,-35.76,8.78,-1.74,-1.1,bunny,
347,-0.71,7.44,-1.09,-28.19,69.79,-29.73,9.96,1.17,-3.63,bunny,
348,10.2,6.56,-7.16,-34.22,5.78,-131.03,10.13,0.43,-3.04,bunny,
349,15.03,4.6,-9.12,-9.09,20.61,-140.96,9.77,0.37,-2.88,bunny,
350,17.79,3.49,-10.69,7.47,38.2,-136.77,9.25,0.73,-3.12,bunny,
