,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
798,1.96,-8.16,1.0,14.95,-52.63,58.85,9.24,-1.54,2.26,cowboy,
799,0.76,-7.5,0.76,-3.63,-50.21,38.27,9.3,-1.65,2.28,cowboy,
800,0.77,-8.2,0.4,26.42,-54.96,36.95,9.11,-1.57,2.28,cowboy,
801,0.39,-8.47,-0.24,23.27,-57.45,33.03,9.03,-1.46,2.35,cowboy,
802,-0.11,-8.05,-0.11,21.25,-70.05,17.78,9.09,-1.45,2.09,cowboy,
803,-0.03,-8.72,-0.63,38.95,-82.7,15.66,9.11,-1.45,1.92,cowboy,
804,-0.19,-8.18,-0.2,54.33,-80.54,5.6,9.09,-1.63,2.05,cowboy,
805,0.12,-8.29,0.12,54.34,-90.04,-16.98,9.27,-1.59,1.8,cowboy,
806,0.39,-8.76,0.49,56.13,-89.55,-26.4,9.45,-1.67,2.08,cowboy,
807,-0.1,-7.95,0.27,72.32,-101.85,-58.37,9.63,-1.27,2.03,cowboy,
808,0.83,-8.93,0.86,73.6,-117.48,-77.76,9.74,-0.93,1.31,cowboy,
809,1.44,-8.44,2.21,86.59,-101.61,-93.0,9.46,-1.55,2.0,cowboy,
810,1.48,-7.87,2.56,73.23,-98.76,-106.71,9.19,-1.72,1.79,cowboy,
811,3.93,-8.92,3.29,90.68,-83.18,-136.89,9.17,-1.52,1.89,cowboy,
812,5.15,-8.86,3.99,90.05,-67.56,-150.63,8.91,-1.48,1.76,cowboy,
813,7.21,-8.95,5.57,82.73,-82.79,-112.3,8.96,-1.4,1.55,cowboy,
814,8.2,-8.75,6.2,59.79,-64.01,-95.18,8.71,-1.48,1.77,cowboy,
815,8.34,-10.36,5.76,82.79,-10.24,-75.06,9.02,-1.85,1.91,cowboy,
816,8.47,-9.73,5.32,66.91,-20.18,-76.63,9.02,-2.19,1.92,cowboy,
817,9.55,-8.59,5.6,67.91,-16.39,-36.92,8.95,-2.09,1.91,cowboy,
818,9.82,-7.84,5.8,41.26,-34.29,-18.93,9.09,-1.74,2.22,cowboy,
819,8.13,-6.65,4.85,44.16,-32.05,11.32,9.18,-1.75,2.46,cowboy,
820,8.02,-6.18,4.83,57.93,-13.74,19.56,9.33,-2.04,2.28,cowboy,
821,7.63,-5.77,4.52,46.83,-24.09,14.54,9.27,-2.01,2.2,cowboy,
822,7.51,-5.84,4.57,56.24,-18.6,20.5,9.21,-1.77,1.86,cowboy,
823,6.89,-5.74,4.63,50.02,-38.34,32.02,9.31,-2.15,2.23,cowboy,
824,7.28,-5.89,4.85,47.24,-35.6,20.44,9.07,-2.24,2.34,cowboy,
825,7.57,-5.17,5.31,56.43,-25.74,21.08,8.98,-2.34,2.39,cowboy,
826,7.38,-5.17,5.57,49.5,-25.17,24.17,8.9,-2.31,2.72,cowboy,
827,5.91,-10.22,4.8,6.51,60.09,72.58,8.99,-1.13,2.28,cowboy,
828,5.44,-10.66,4.2,18.63,62.42,90.56,9.01,-1.14,1.53,cowboy,
829,2.87,-10.01,5.08,57.08,109.95,115.76,9.26,-1.27,1.86,cowboy,
830,2.19,-9.85,5.12,60.08,98.63,143.59,9.18,-1.22,1.8,cowboy,
831,1.2,-9.05,4.85,83.18,126.31,141.82,9.16,-1.43,1.61,cowboy,
832,-0.06,-8.9,5.99,66.74,125.1,145.41,8.93,-1.45,1.99,cowboy,
833,-1.9,-8.45,6.12,58.99,139.63,133.42,8.96,-1.44,2.41,cowboy,
834,-5.05,-8.47,6.9,50.08,150.09,91.88,9.27,-1.5,1.87,cowboy,
835,-5.89,-8.62,7.4,50.66,141.68,84.78,9.09,-1.48,2.3,cowboy,
836,-7.78,-6.24,9.02,36.95,173.9,3.11,9.37,-0.12,2.36,cowboy,
837,-8.08,-5.63,9.28,27.4,162.63,-25.37,9.22,-0.26,1.83,cowboy,
838,-6.69,-1.51,9.98,13.95,173.25,-208.18,8.83,-0.01,2.05,cowboy,
839,-6.03,-0.78,10.07,8.81,173.73,-232.67,9.13,-0.39,2.65,cowboy,
840,-4.87,-0.48,10.18,2.03,162.16,-250.14,9.35,-0.29,2.73,cowboy,
841,-3.37,-1.14,10.45,5.5,152.09,-250.14,9.47,-0.17,2.66,cowboy,
842,-2.22,-0.84,10.15,6.92,152.27,-250.14,9.21,-0.23,2.68,cowboy,
843,-1.58,-0.68,9.79,-4.64,137.08,-250.14,9.15,-0.46,2.44,cowboy,
844,2.25,-1.81,8.12,-23.79,98.41,-250.14,8.67,-0.49,2.47,cowboy,
845,3.17,-2.38,7.69,-26.89,88.32,-250.14,9.17,-0.79,2.56,cowboy,
846,4.35,-2.84,6.23,-33.42,46.11,-198.77,9.1,-1.01,2.4,cowboy,
847,5.47,-3.27,5.48,-38.08,42.34,-159.77,9.17,-1.17,2.41,cowboy,
848,5.86,-3.98,4.65,-23.75,51.76,-97.25,9.15,-0.97,2.33,cowboy,
849,6.52,-4.61,4.33,-31.09,24.83,-90.78,9.32,-0.86,2.33,cowboy,
850,7.53,-5.03,4.9,-26.32,8.87,-15.35,9.35,-0.47,2.55,cowboy,
851,7.41,-5.6,4.54,-30.75,11.07,11.24,9.33,-0.42,2.4,cowboy,
852,7.07,-5.8,4.33,-29.79,5.51,35.5,9.26,-0.43,2.53,cowboy,
853,6.42,-5.97,4.02,-25.47,-10.07,46.87,9.22,-0.44,2.39,cowboy,
854,5.85,-7.09,3.48,-30.13,-103.86,67.34,9.26,-0.25,2.42,cowboy,
855,5.32,-7.24,3.21,-14.4,-126.07,80.0,9.35,-0.28,2.3,cowboy,
856,4.66,-6.83,2.0,19.95,-165.79,72.1,9.26,-0.56,2.4,cowboy,
857,4.73,-6.52,1.65,25.62,-195.87,57.37,9.22,-0.66,2.32,cowboy,
858,3.32,-8.78,1.38,52.28,-188.2,64.09,9.27,-0.66,2.35,cowboy,
859,3.13,-8.04,1.55,89.34,-206.56,73.6,9.4,-0.49,2.39,cowboy,
860,3.84,-6.52,1.72,0.97,-203.65,25.13,9.4,-0.87,2.21,cowboy,
861,4.22,-8.86,1.99,-1.69,-157.6,32.85,9.37,-0.98,1.99,cowboy,
862,4.0,-9.93,1.79,19.92,-111.62,38.85,9.28,-1.15,2.2,cowboy,
863,3.3,-9.87,1.77,46.14,-88.58,41.91,9.27,-1.27,2.18,cowboy,
864,2.64,-9.66,1.8,63.55,-88.17,50.84,9.43,-1.28,2.02,cowboy,
865,1.19,-10.93,0.98,55.02,-117.76,1.51,9.0,-2.18,1.76,cowboy,
866,1.29,-12.25,1.34,64.11,-131.06,-27.28,9.1,-1.87,1.44,cowboy,
867,4.6,-12.46,3.9,63.82,-154.49,-46.95,9.12,-1.68,1.37,cowboy,
