,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
159,4.9,8.99,0.59,0.88,3.98,-2.28,9.24,-0.69,1.89,handmoter,
160,4.81,9.03,0.6,-0.59,1.24,-1.85,9.43,-0.77,1.97,handmoter,
161,4.79,8.76,0.49,-2.93,-2.27,0.07,9.27,-0.76,1.62,handmoter,
162,4.72,8.74,0.54,-1.85,-2.11,1.02,9.32,-0.71,1.69,handmoter,
163,4.48,8.72,0.56,-1.18,0.34,1.24,9.3,-0.77,1.68,handmoter,
164,4.39,8.82,0.72,-2.15,1.21,0.48,9.41,-0.73,1.74,handmoter,
165,4.42,9.01,0.45,-4.85,0.49,-3.5,9.35,-0.7,1.75,handmoter,
166,4.51,9.06,0.34,-4.0,1.66,-4.91,9.41,-0.66,1.71,handmoter,
167,4.78,9.04,0.24,-3.82,2.94,-5.5,9.27,-0.64,1.74,handmoter,
168,4.76,9.01,0.14,-3.15,2.21,-4.13,9.37,-0.7,1.7,handmoter,
169,4.67,8.7,0.44,0.41,3.31,-3.87,9.35,-0.71,1.71,handmoter,
170,4.63,8.72,0.53,0.49,3.28,-3.58,9.4,-0.68,1.72,handmoter,
171,4.73,8.84,0.73,-2.09,-0.49,-2.79,9.4,-0.66,1.69,handmoter,
172,4.8,8.94,0.65,-2.82,0.57,-3.05,9.35,-0.65,1.68,handmoter,
173,4.84,9.01,0.39,-3.27,0.03,-2.93,9.4,-0.73,1.59,handmoter,
174,4.89,8.97,0.44,-3.31,-1.03,-2.28,9.35,-0.72,1.75,handmoter,
175,4.85,8.91,0.42,-2.85,-1.08,-1.27,9.35,-0.69,1.69,handmoter,
176,4.67,8.85,0.57,-0.95,2.4,-0.67,9.36,-0.68,1.82,handmoter,
177,4.56,8.85,0.56,-1.76,1.69,-1.18,9.33,-0.74,1.7,handmoter,
178,4.7,8.98,0.62,-1.94,2.0,-2.01,9.41,-0.71,1.8,handmoter,
179,4.76,8.9,0.51,-2.96,1.92,-1.84,9.37,-0.7,1.65,handmoter,
180,4.78,8.91,0.47,-4.3,-0.42,-0.15,9.35,-0.7,1.89,handmoter,
181,4.65,8.86,0.43,-3.92,-0.15,0.34,9.52,-0.72,1.81,handmoter,
182,4.58,8.75,0.37,-2.07,3.89,-1.59,9.28,-0.69,1.78,handmoter,
183,4.59,8.85,0.35,-2.13,3.06,-1.53,9.38,-0.72,1.76,handmoter,
184,4.68,8.97,0.38,-3.23,1.3,-1.15,9.45,-0.7,1.66,handmoter,
185,4.65,8.95,0.38,-3.24,0.52,-1.47,9.43,-0.71,1.74,handmoter,
186,4.56,8.87,0.44,-1.35,1.89,-1.04,9.3,-0.72,1.75,handmoter,
187,4.59,8.88,0.43,-1.08,1.96,-1.35,9.32,-0.69,1.76,handmoter,
188,4.81,8.81,0.6,-2.15,1.68,-3.41,9.37,-0.62,1.91,handmoter,
189,4.79,8.81,0.59,-2.1,1.14,-3.03,9.32,-0.54,1.9,handmoter,
190,4.76,8.84,0.58,-1.93,1.18,-2.78,9.35,-0.62,1.92,handmoter,
191,4.8,8.82,0.62,-1.7,1.34,-2.15,9.38,-0.61,1.84,handmoter,
192,4.78,8.85,0.57,-1.5,0.66,-1.69,9.41,-0.63,1.85,handmoter,
193,4.66,8.82,0.64,-1.21,1.28,-1.79,9.37,-0.61,1.87,handmoter,
194,4.69,8.84,0.7,-1.34,1.2,-1.69,9.36,-0.63,1.83,handmoter,
195,4.72,8.85,0.66,-1.6,1.43,-1.52,9.37,-0.64,1.87,handmoter,
196,4.62,8.87,0.63,-1.66,1.29,-1.77,9.32,-0.53,1.88,handmoter,
