,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
0,4.71,8.78,0.71,-0.85,0.03,-0.62,9.3,-0.52,1.99,idle,
1,4.64,8.78,0.8,-1.11,0.09,-1.02,9.34,-0.59,1.97,idle,
2,4.68,8.85,0.83,-1.41,0.24,-1.73,9.31,-0.61,1.97,idle,
3,4.65,8.86,0.78,-1.88,-0.27,-2.2,9.34,-0.6,1.99,idle,
4,4.73,8.88,0.82,-1.91,-0.84,-2.66,9.28,-0.57,2.06,idle,
5,4.75,8.78,0.85,-2.17,-0.83,-2.72,9.32,-0.59,2.01,idle,
6,4.74,8.84,0.72,-2.14,-0.59,-2.46,9.33,-0.61,2.04,idle,
7,4.83,8.81,0.75,-2.29,-0.36,-2.23,9.36,-0.54,1.87,idle,
8,4.76,8.84,0.78,-1.93,0.14,-2.31,9.33,-0.53,1.95,idle,
9,4.75,8.84,0.76,-2.03,0.41,-2.83,9.33,-0.62,1.99,idle,
10,4.83,8.86,0.77,-2.25,0.59,-2.79,9.35,-0.55,2.02,idle,
11,4.79,8.81,0.78,-2.6,0.5,-3.02,9.33,-0.54,1.95,idle,
12,4.75,8.77,0.84,-2.91,-0.02,-2.45,9.31,-0.56,1.93,idle,
13,4.79,8.8,0.78,-2.89,-0.01,-2.3,9.34,-0.62,1.96,idle,
14,4.82,8.86,0.7,-2.84,0.32,-2.27,9.34,-0.63,1.9,idle,
15,4.76,8.76,0.7,-3.08,0.78,-2.44,9.35,-0.6,2.0,idle,
16,4.71,8.82,0.8,-3.01,0.91,-2.52,9.37,-0.59,1.97,idle,
17,4.73,8.84,0.68,-3.19,0.62,-2.44,9.27,-0.6,1.96,idle,
18,4.79,8.81,0.73,-3.6,0.35,-2.46,9.35,-0.58,1.98,idle,
19,4.74,8.82,0.65,-3.6,0.31,-2.59,9.31,-0.58,1.95,idle,
20,4.75,8.85,0.67,-3.18,0.81,-2.5,9.3,-0.65,1.93,idle,
21,4.74,8.79,0.6,-2.95,0.91,-2.48,9.38,-0.59,1.94,idle,
22,4.68,8.83,0.46,-3.03,0.12,-2.51,9.35,-0.56,2.04,idle,
23,4.76,8.83,0.6,-2.34,1.22,-2.56,9.32,-0.64,1.87,idle,
24,4.75,8.79,0.61,-2.32,1.35,-2.76,9.35,-0.57,1.98,idle,
25,4.69,8.82,0.71,-1.88,0.92,-2.53,9.3,-0.58,1.99,idle,
26,4.73,8.81,0.67,-1.89,1.07,-2.81,9.3,-0.58,1.88,idle,
27,4.74,8.81,0.71,-1.8,0.9,-2.86,9.35,-0.62,1.9,idle,
28,4.57,8.9,0.78,-0.97,-2.27,-2.61,9.29,-0.31,2.04,idle,
29,4.87,8.75,0.71,-1.04,0.99,0.12,9.34,-0.45,2.06,idle,
30,4.75,8.79,0.8,-1.03,0.65,0.42,9.38,-0.39,2.05,idle,
31,4.75,8.78,0.75,-0.75,0.51,0.35,9.28,-0.43,2.17,idle,
32,4.74,8.83,0.71,-0.49,0.64,0.12,9.35,-0.38,2.05,idle,
33,4.81,8.82,0.76,0.0,1.31,-0.28,9.24,-0.4,2.16,idle,
34,4.7,8.79,0.84,-0.49,1.29,-1.08,9.36,-0.57,2.04,idle,
35,4.74,8.81,0.77,-0.5,1.58,-1.71,9.3,-0.49,2.15,idle,
36,4.81,8.85,0.73,-0.59,1.54,-1.86,9.29,-0.56,2.08,idle,
37,4.79,8.83,0.79,-0.73,1.44,-1.76,9.28,-0.56,2.09,idle,
38,4.75,8.8,0.75,-1.15,0.95,-1.49,9.35,-0.56,2.11,idle,
39,4.84,8.78,0.71,-1.11,1.19,-1.84,9.23,-0.59,2.07,idle,
40,4.84,8.85,0.65,-1.0,1.46,-1.78,9.33,-0.61,2.08,idle,
41,4.8,8.83,0.78,-1.54,1.21,-2.22,9.31,-0.57,2.08,idle,
42,4.82,8.89,0.66,-1.25,1.56,-2.21,9.31,-0.57,2.07,idle,
43,4.92,8.87,0.71,-1.63,0.97,-2.62,9.29,-0.49,2.16,idle,
44,4.88,8.75,0.74,-1.65,1.32,-1.2,9.29,-0.57,2.06,idle,
45,4.86,8.82,0.87,-1.42,1.71,-1.11,9.25,-0.62,1.97,idle,
46,4.79,8.84,0.8,-1.76,1.63,-1.11,9.32,-0.57,2.06,idle,
47,4.79,8.79,0.73,-2.66,1.02,-1.43,9.29,-0.65,2.05,idle,
48,4.86,8.76,0.71,-3.35,0.49,-1.4,9.36,-0.56,2.09,idle,
49,4.9,8.78,0.63,-3.45,0.3,-1.35,9.32,-0.58,2.24,idle,
50,4.79,8.74,0.6,-2.5,2.05,-2.02,9.26,-0.55,2.14,idle,
51,4.91,8.78,0.64,-2.89,2.32,-1.99,9.32,-0.53,2.01,idle,
52,4.84,8.73,0.61,-2.02,1.84,-1.3,9.3,-0.58,2.06,idle,
53,4.88,8.75,0.59,-1.41,2.34,-1.59,9.3,-0.57,2.09,idle,
54,4.76,8.8,0.63,-1.44,2.55,-1.91,9.3,-0.64,2.16,idle,
55,4.76,8.79,0.65,-1.37,2.51,-2.08,9.29,-0.51,2.16,idle,
56,4.75,8.74,0.69,-0.99,2.61,-2.49,9.28,-0.57,2.09,idle,
57,4.75,8.74,0.58,-0.96,3.16,-2.75,9.3,-0.59,2.07,idle,
58,4.75,8.78,0.69,-0.6,3.36,-3.03,9.28,-0.55,2.08,idle,
59,4.85,8.81,0.83,-0.98,3.04,-3.7,9.25,-0.57,2.11,idle,
60,4.86,8.78,0.78,-0.86,3.27,-3.88,9.34,-0.51,2.08,idle,
61,4.96,8.75,0.85,-0.69,3.55,-3.21,9.29,-0.62,1.99,idle,
62,4.93,8.83,0.78,-0.73,3.91,-3.08,9.32,-0.48,2.03,idle,
63,4.89,8.8,0.89,-0.92,4.51,-3.15,9.27,-0.51,2.19,idle,
