,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
637,0.52,-7.36,-10.83,-250.14,83.92,174.22,8.39,-0.3,2.75,rocket,
638,-0.54,-8.42,-19.62,84.47,78.21,-57.44,9.52,-0.4,3.58,rocket,
639,0.04,-8.2,-17.34,250.13,60.4,-95.53,9.22,-0.66,3.24,rocket,
640,0.37,-6.53,-9.78,250.13,-23.55,-164.73,8.56,-1.43,2.8,rocket,
641,0.52,-4.5,-6.16,250.13,-55.36,-198.13,8.62,-1.7,2.61,rocket,
642,7.39,2.86,8.31,250.13,-5.85,-250.14,9.17,-1.64,2.79,rocket,
643,7.41,6.3,12.2,250.13,-19.65,-233.62,9.14,-1.88,2.62,rocket,
644,11.81,16.69,19.62,-14.01,-76.34,-92.8,8.58,-2.39,2.42,rocket,
645,11.21,-5.02,19.62,70.19,-209.97,190.88,8.52,-2.63,2.51,rocket,
646,8.23,-1.59,9.11,-219.5,-97.22,91.54,8.99,-1.59,3.25,rocket,
647,6.89,-10.07,3.2,-97.81,91.35,152.66,9.43,-1.54,3.68,rocket,
648,6.26,-1.79,6.79,70.02,-11.62,-77.12,7.94,-2.31,2.66,rocket,
649,6.89,-0.12,10.06,36.48,9.66,-109.02,8.25,-2.19,2.73,rocket,
650,8.38,0.29,10.64,-60.72,-32.65,-34.27,8.93,-1.95,2.76,rocket,
651,8.04,-0.68,8.44,-77.5,-49.88,12.89,8.97,-2.07,2.88,rocket,
652,7.73,-3.48,4.25,-7.43,8.57,31.24,8.81,-2.02,2.88,rocket,
653,7.83,-4.14,4.69,-15.96,2.37,5.79,8.73,-2.04,2.83,rocket,
654,7.55,-2.35,7.02,-15.3,-0.12,-2.1,9.52,-2.05,2.84,rocket,
655,7.37,-2.38,7.68,-27.31,-39.38,4.08,9.36,-2.29,2.37,rocket,
656,7.45,-2.07,8.13,1.5,21.28,33.85,8.5,-1.93,2.4,rocket,
657,7.94,-1.86,8.13,-48.27,-12.05,28.02,8.46,-1.89,2.58,rocket,
658,9.1,1.99,10.76,-131.56,3.93,63.7,8.88,-2.41,2.56,rocket,
659,9.58,2.74,12.07,-220.44,-54.4,79.01,8.62,-2.62,2.44,rocket,
660,8.48,-2.53,8.52,-250.14,7.58,210.81,8.81,-2.41,2.52,rocket,
661,7.18,-2.73,5.3,-250.14,54.34,250.13,8.84,-2.05,2.53,rocket,
662,6.24,-3.98,2.76,-250.14,44.47,250.13,8.83,-1.75,2.61,rocket,
663,3.86,-5.83,-0.61,-250.14,54.15,250.13,9.09,-1.73,2.53,rocket,
664,-1.91,-6.72,-16.42,-156.92,116.88,68.89,9.35,-1.35,2.57,rocket,
665,0.04,-5.74,-19.62,-111.56,45.53,35.58,8.79,-0.94,2.63,rocket,
666,12.63,5.42,18.41,120.44,-25.42,2.14,8.49,-2.08,2.78,rocket,
667,12.77,9.28,15.34,-32.93,-10.88,-8.94,8.51,-2.13,2.85,rocket,
668,9.26,1.89,11.98,-78.69,26.27,52.73,8.73,-1.83,2.94,rocket,
669,7.45,-2.1,8.04,-111.02,10.75,75.56,8.86,-0.99,3.37,rocket,
670,6.32,-5.59,4.54,-87.28,47.98,88.65,8.84,-0.98,3.31,rocket,
671,5.06,-7.81,1.8,-64.21,37.89,81.23,8.95,-0.95,3.25,rocket,
672,4.6,-8.25,1.1,-57.37,-5.61,51.5,8.9,-1.19,3.23,rocket,
673,7.01,-5.2,5.81,-5.37,12.47,-40.5,8.8,-1.73,2.84,rocket,
674,7.19,-4.62,6.23,-13.79,-1.98,-30.57,8.93,-1.57,2.93,rocket,
675,7.65,-4.02,6.64,-1.73,10.07,-14.18,8.98,-1.63,2.93,rocket,
676,7.57,-3.38,7.4,40.83,67.58,5.54,8.94,-1.58,2.89,rocket,
677,6.71,-3.27,6.91,-57.55,10.35,34.87,8.78,-1.61,2.91,rocket,
678,6.56,-3.11,6.6,-111.97,-36.05,21.72,8.83,-1.64,3.15,rocket,
679,6.4,-3.26,6.67,-89.56,23.28,32.02,8.86,-1.55,2.85,rocket,
680,6.28,-3.53,6.83,-117.92,34.91,22.64,8.86,-1.47,3.12,rocket,
681,4.76,-4.45,3.83,-215.56,170.76,-43.39,8.88,-1.52,2.74,rocket,
682,4.13,-4.72,1.98,-250.14,185.98,-44.98,8.97,-1.66,2.69,rocket,
683,4.17,-6.28,0.56,-206.53,162.03,-29.05,9.17,-1.4,2.46,rocket,
684,3.83,-6.47,-0.19,-223.92,124.19,-33.31,9.2,-1.33,2.76,rocket,
685,2.8,-6.71,-0.75,-189.47,111.43,-37.79,9.04,-1.25,2.84,rocket,
686,2.13,-6.42,-1.11,-161.24,78.82,-39.92,9.16,-1.14,2.68,rocket,
687,1.97,-5.04,-1.5,-84.05,-37.99,-53.91,9.27,-1.42,2.4,rocket,
688,2.97,-5.02,-1.68,-78.27,-48.46,-77.08,9.34,-1.51,2.46,rocket,
689,4.86,-4.46,-1.81,-47.32,-14.07,-112.72,9.15,-1.49,2.6,rocket,
690,6.08,-4.44,-2.02,-46.76,-12.24,-133.11,9.24,-1.5,2.38,rocket,
691,11.58,-4.63,-1.17,10.05,-7.53,-155.35,9.12,-1.3,2.75,rocket,
692,12.76,-4.85,0.23,6.81,-12.35,-146.53,9.18,-1.43,2.46,rocket,
693,14.34,-5.09,1.06,10.43,-13.65,-130.45,8.73,-1.79,2.32,rocket,
694,15.6,-5.29,1.71,18.79,-21.33,-110.76,8.92,-2.02,2.05,rocket,
695,16.25,-5.48,2.49,39.78,-17.15,-84.97,9.06,-1.98,2.16,rocket,
696,16.23,-5.33,2.88,49.42,-12.05,-54.63,9.15,-1.72,1.83,rocket,
697,16.3,-5.43,3.81,49.59,7.37,-30.18,9.26,-1.48,1.65,rocket,
698,12.93,-5.41,6.67,72.06,131.49,23.23,9.39,-1.18,1.73,rocket,
699,11.31,-5.03,7.02,77.61,123.85,34.99,9.23,-1.15,1.61,rocket,
700,10.26,-4.68,7.64,32.1,69.62,44.58,8.97,-1.11,1.47,rocket,
701,10.08,-5.12,7.38,6.17,51.92,39.8,9.11,-1.13,1.45,rocket,
702,13.66,-6.18,6.4,-16.17,80.19,86.79,9.11,-1.21,1.44,rocket,
703,13.48,-6.76,5.88,-3.66,137.25,131.14,9.21,-1.45,1.31,rocket,
704,10.03,-8.96,5.05,83.85,220.34,185.38,9.38,-1.74,1.26,rocket,
705,8.93,-7.77,5.64,94.6,194.32,197.92,9.27,-1.81,1.26,rocket,
706,2.81,-8.85,8.7,123.87,230.56,240.89,8.91,-1.34,1.48,rocket,
707,1.58,-7.74,9.42,140.62,208.19,226.68,8.76,-0.99,1.66,rocket,
708,-4.25,-4.52,12.05,35.76,250.13,150.66,8.72,0.37,2.15,rocket,
709,-6.56,-3.73,11.11,22.44,250.13,104.92,9.18,-0.12,2.31,rocket,
710,-4.49,-0.12,11.4,-43.07,250.13,-45.05,9.56,-0.93,2.55,rocket,
711,-3.71,1.15,11.76,-60.27,250.13,-82.38,9.58,-1.21,2.8,rocket,
712,-2.38,1.01,11.71,-131.11,250.13,-181.82,9.32,-0.71,3.08,rocket,
713,-1.35,0.69,12.17,-121.74,250.13,-248.81,9.2,-0.39,3.09,rocket,
714,0.88,-1.2,10.1,69.04,250.13,-250.14,9.13,-0.65,2.88,rocket,
715,0.21,1.0,8.45,-42.02,247.98,-250.14,9.14,-0.86,2.78,rocket,
716,1.09,0.38,4.9,-213.91,30.01,-250.14,9.22,-0.66,2.93,rocket,
717,3.55,-1.51,4.13,-120.85,60.21,-250.14,9.3,-0.87,2.72,rocket,
718,8.68,-2.56,0.11,-118.53,48.17,-179.01,9.19,-1.41,2.92,rocket,
719,9.35,-3.6,-1.56,-141.43,36.05,-132.63,9.34,-1.84,3.46,rocket,
720,10.15,-4.65,-2.34,-113.51,56.74,-102.44,9.13,-1.1,2.88,rocket,
721,10.62,-5.39,-3.13,-86.29,58.68,-79.39,9.09,-0.86,2.89,rocket,
722,10.67,-5.82,-3.02,-68.84,40.12,-52.18,9.08,-0.57,2.82,rocket,
723,9.64,-6.79,-4.05,-46.4,16.23,-14.05,9.12,-0.71,2.81,rocket,
724,7.74,-8.37,-3.13,0.26,18.21,15.71,9.15,-0.87,2.74,rocket,
725,7.61,-6.89,-0.51,37.61,51.63,40.54,9.1,-0.68,2.82,rocket,
726,7.02,-6.85,0.4,52.66,43.21,46.48,9.12,-0.57,2.91,rocket,
727,6.28,-6.34,0.5,51.02,-4.38,54.5,9.03,-0.74,2.56,rocket,
728,6.4,-6.45,0.34,45.49,-24.31,64.64,9.13,-0.93,2.5,rocket,
729,4.77,-8.51,0.5,99.53,-139.15,96.71,9.31,-0.84,2.17,rocket,
730,4.63,-7.97,1.1,103.86,-133.62,87.03,9.58,-0.86,1.97,rocket,
731,4.03,-8.24,1.59,99.6,-116.4,63.75,9.74,-1.25,2.22,rocket,
732,2.95,-8.96,2.3,114.45,-113.74,61.44,9.22,-1.32,2.57,rocket,
733,2.16,-9.02,2.85,116.15,-119.69,37.17,8.98,-1.12,2.05,rocket,
734,2.02,-9.28,3.71,113.34,-106.52,9.68,8.88,-0.95,2.19,rocket,
735,1.89,-9.49,4.11,113.09,-103.1,-20.24,8.83,-0.89,2.19,rocket,
736,1.93,-9.84,4.22,112.75,-103.74,-29.49,8.97,-1.05,2.26,rocket,
737,3.33,-9.71,5.33,16.34,-137.22,-60.95,9.1,-1.11,1.84,rocket,
738,3.1,-10.11,4.71,22.97,-131.31,-66.58,9.33,-1.05,1.81,rocket,
739,5.98,-9.0,4.2,62.01,-98.5,-67.03,8.81,-1.6,1.99,rocket,
740,6.12,-9.3,4.31,90.04,-58.83,-41.47,8.74,-1.93,2.1,rocket,
741,6.5,-8.83,4.38,64.07,-68.31,-47.42,8.72,-1.99,1.76,rocket,
742,6.74,-9.19,4.33,79.49,-36.22,-37.02,8.82,-2.34,1.96,rocket,
743,7.28,-7.11,3.79,79.02,-63.4,-21.81,8.55,-2.03,1.69,rocket,
744,7.59,-7.02,3.91,88.82,-63.03,-11.33,8.95,-1.96,2.27,rocket,
745,7.95,-6.73,4.65,88.82,-55.52,-2.94,8.84,-2.19,2.1,rocket,
746,7.53,-6.91,4.93,96.82,-33.15,8.97,9.09,-1.9,2.61,rocket,
747,7.49,-6.09,5.13,101.84,-42.03,10.34,9.21,-2.21,2.79,rocket,
748,7.71,-5.72,5.41,90.27,-44.94,7.88,8.95,-2.69,2.36,rocket,
749,7.53,-5.21,6.28,84.59,-42.95,8.69,8.7,-2.52,2.78,rocket,
750,7.45,-5.2,6.28,74.19,-50.19,7.28,8.87,-2.22,2.79,rocket,
751,6.91,-4.79,6.36,56.38,-71.18,2.45,9.01,-2.06,2.49,rocket,
752,7.3,-4.44,6.39,55.18,-63.31,7.58,9.01,-2.01,2.54,rocket,
753,6.47,-4.96,6.22,61.82,-13.08,8.24,9.07,-1.53,2.15,rocket,
754,6.34,-5.06,6.14,63.22,-9.02,1.08,8.99,-1.27,2.66,rocket,
755,6.82,-5.12,6.52,34.91,-5.82,-15.06,9.25,-1.75,2.32,rocket,
756,7.16,-5.44,6.48,29.93,-8.57,-18.39,9.19,-1.98,2.55,rocket,
757,7.93,-5.36,6.31,28.27,-3.48,-16.18,9.03,-1.87,2.44,rocket,
758,8.05,-4.85,6.32,23.89,-1.88,-11.2,9.08,-1.83,2.36,rocket,
759,8.14,-4.79,6.45,17.17,0.76,-3.85,9.03,-2.04,2.54,rocket,
760,7.73,-4.03,5.99,32.37,8.16,13.21,8.9,-1.94,2.82,rocket,
761,8.09,-3.74,6.57,22.91,10.34,14.95,8.99,-1.81,2.7,rocket,
762,7.95,-3.83,6.64,14.12,14.7,15.39,9.13,-1.67,2.75,rocket,
763,7.63,-4.23,6.74,12.53,7.47,17.4,9.26,-1.39,2.35,rocket,
