,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
476,-1.27,-6.38,-7.98,50.37,120.24,136.34,8.49,-1.08,3.81,tapshoulder,
477,-1.35,-6.04,-7.49,54.85,112.64,138.2,8.29,-1.12,3.51,tapshoulder,
478,-1.34,-5.42,-6.14,55.88,116.21,135.98,8.15,-0.92,3.72,tapshoulder,
479,-1.58,-5.36,-5.65,55.97,106.95,127.83,8.14,-0.12,4.19,tapshoulder,
480,-2.77,-6.24,-5.45,73.21,102.95,137.15,9.08,1.17,3.98,tapshoulder,
481,-3.21,-4.63,-6.52,28.63,106.92,116.08,8.93,0.89,3.65,tapshoulder,
482,-5.03,-4.63,-8.16,46.35,116.74,117.18,8.82,1.19,3.54,tapshoulder,
483,-5.67,-4.73,-9.04,57.48,119.87,104.4,9.18,1.31,3.4,tapshoulder,
484,-7.67,-4.1,-11.95,112.94,171.18,51.35,8.75,1.35,2.9,tapshoulder,
485,-6.94,-5.39,-12.39,146.14,232.07,13.68,8.8,1.14,2.63,tapshoulder,
486,-4.17,-6.11,-7.77,250.13,250.13,-82.21,8.87,0.64,2.62,tapshoulder,
487,-3.25,-4.98,-4.28,250.13,185.89,-104.4,9.18,0.66,3.4,tapshoulder,
488,-1.81,-3.38,0.83,250.13,67.88,-136.8,8.99,0.49,3.29,tapshoulder,
489,-0.17,-1.08,4.83,250.13,81.24,-153.27,9.0,0.3,3.35,tapshoulder,
490,5.04,-2.44,9.45,-70.11,2.27,29.95,8.73,0.37,3.45,tapshoulder,
491,3.94,-3.7,6.92,-163.03,5.13,65.73,8.69,0.18,3.11,tapshoulder,
492,1.34,-6.34,1.0,-207.24,-42.29,111.53,9.18,-0.08,3.15,tapshoulder,
493,1.04,-6.71,-0.45,-215.35,-23.85,129.12,9.59,-0.07,3.18,tapshoulder,
494,-0.24,-9.46,-7.63,-247.7,33.7,127.54,9.46,-0.29,2.96,tapshoulder,
