,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
318,19.62,-4.45,-7.73,91.78,35.66,-49.77,9.45,-0.76,-1.0,bunny,
319,19.62,-6.67,1.29,-217.14,-166.32,-57.36,9.32,-0.42,-1.37,bunny,
320,14.61,-5.69,-4.9,-9.59,-31.74,54.08,9.12,-0.21,-1.18,bunny,
321,10.33,-4.4,-6.13,101.46,-11.78,73.94,9.09,-0.25,-1.1,bunny,
322,7.11,-3.57,-6.86,74.73,-6.28,47.12,9.39,0.07,-0.81,bunny,
323,-0.95,3.82,-8.39,250.13,127.65,-113.27,9.19,2.18,-0.04,bunny,
324,-2.91,2.29,-7.19,250.13,75.09,-89.69,9.81,3.59,1.03,bunny,
325,0.17,4.96,-9.71,210.4,91.21,-127.44,10.35,3.01,1.13,bunny,
326,2.59,3.43,-10.18,207.69,77.21,-120.92,11.02,2.82,1.85,bunny,
327,3.02,2.91,-11.32,237.34,79.11,-126.79,10.67,2.3,2.47,bunny,
328,2.76,2.71,-10.96,250.13,43.83,-139.34,10.67,1.71,3.35,bunny,
329,3.53,3.87,-10.51,250.13,-6.49,-177.11,10.64,0.4,3.59,bunny,
330,5.22,7.28,-14.33,216.86,-166.63,-198.96,10.21,-0.09,3.99,bunny,
331,7.51,4.15,-9.6,213.52,-12.12,-151.37,9.75,-3.9,2.8,bunny,
332,7.24,4.28,-10.78,250.13,-9.08,-114.79,9.98,-4.73,2.62,bunny,
333,9.57,6.77,-8.59,225.45,-0.68,-145.17,8.61,-6.07,0.89,bunny,
334,13.16,5.04,-11.25,250.13,68.58,-110.5,8.51,-5.42,1.16,bunny,
335,7.91,4.41,-5.49,125.36,15.67,-95.91,10.07,-2.88,1.37,bunny,
336,6.31,4.22,-2.95,168.66,-33.73,-57.79,9.86,-2.73,0.78,bunny,
337,2.0,5.82,1.29,165.94,-34.52,-71.07,9.27,-2.41,0.83,bunny,
338,0.22,5.63,2.75,134.55,-76.32,-104.84,9.49,-1.94,1.29,bunny,
339,3.97,11.38,-0.84,39.89,-68.12,-129.21,8.98,-2.51,0.3,bunny,
340,10.98,10.63,-5.41,-18.5,49.05,-165.89,9.31,-3.07,-0.17,bunny,
341,19.62,6.65,-13.02,124.9,69.69,-113.86,9.75,-2.1,-0.13,bunny,
342,19.62,2.88,-12.14,234.15,43.27,-92.91,9.24,-2.27,0.25,bunny,
343,19.62,-4.61,-5.91,92.76,24.39,24.94,9.14,-2.97,-1.08,bunny,
344,19.62,-3.64,-4.66,178.11,44.41,62.92,8.22,-2.43,-1.63,bunny,
345,7.61,-0.42,-1.07,110.47,40.55,167.38,10.5,-0.54,-0.71,bunny,
346,2.67,1.07,-0.13,48.66,22.77,155.9,10.22,-0.25,-0.61,bunny,
347,19.62,4.19,-8.91,250.13,195.3,-106.37,9.63,-0.81,-0.04,bunny,
348,16.52,2.02,-6.74,250.13,175.12,-4.5,9.25,-0.27,0.34,bunny,
349,12.97,2.22,-2.37,229.04,-9.01,14.76,9.51,-1.11,1.56,bunny,
350,8.16,2.84,-0.24,219.11,14.37,60.08,9.81,-1.43,1.35,bunny,
351,6.17,0.91,1.63,241.05,76.01,94.26,9.75,-1.6,1.74,bunny,
352,5.76,1.84,0.04,216.15,98.9,73.27,9.61,-1.74,1.94,bunny,
353,2.07,1.67,-0.09,40.55,49.82,36.24,9.52,-1.94,2.1,bunny,
354,-2.23,1.49,-1.52,165.94,-82.5,-19.27,10.63,-2.72,2.09,bunny,
355,-2.83,2.02,-2.1,172.7,11.32,-61.46,10.19,-2.25,2.26,bunny,
356,-5.93,4.47,-7.08,142.53,93.23,-208.43,9.54,-1.34,1.97,bunny,
357,-4.02,7.06,-8.93,171.35,34.64,-250.14,9.64,-1.55,1.87,bunny,
358,17.89,7.92,-12.66,159.56,-10.67,-202.35,8.89,-1.95,1.56,bunny,
359,19.62,4.6,-13.61,250.13,37.18,-132.72,9.21,-2.09,1.77,bunny,
360,19.62,1.98,-19.62,250.13,-47.44,-209.67,9.3,-2.03,1.64,bunny,
361,19.62,2.73,-11.85,108.12,39.8,-250.14,8.83,-2.09,2.08,bunny,
362,15.35,2.04,-2.92,221.24,-23.65,33.44,9.55,-2.08,0.54,bunny,
363,12.89,2.4,-1.06,160.54,-30.61,37.98,9.94,-1.13,0.38,bunny,
364,5.39,3.23,-0.01,140.98,17.59,61.44,10.46,-1.02,0.52,bunny,
365,3.25,3.54,0.57,129.73,6.07,49.92,9.9,-1.08,0.55,bunny,
366,1.15,4.86,2.57,97.98,9.85,10.23,9.94,-0.87,0.67,bunny,
367,0.4,5.89,2.76,83.97,33.91,-15.49,10.08,-0.85,0.6,bunny,
368,-1.06,9.69,0.56,-6.08,51.25,-103.15,9.32,-0.15,0.28,bunny,
369,-0.56,10.96,-1.66,-39.74,19.5,-142.02,9.11,-0.38,0.11,bunny,
370,14.85,10.55,-8.86,-33.14,-15.21,-147.48,10.13,-0.96,-0.19,bunny,
371,15.45,8.23,-12.24,52.45,49.02,-131.4,10.21,-1.22,0.06,bunny,
372,16.13,4.18,-12.27,118.79,-16.18,-98.34,9.46,-2.31,-0.68,bunny,
373,19.62,1.94,-10.42,177.49,23.28,-82.0,9.16,-2.34,-0.41,bunny,
374,19.62,-1.61,-6.96,34.64,36.31,-19.49,9.48,-1.95,-0.57,bunny,
375,19.46,-1.73,-4.2,83.39,38.99,24.5,8.82,-1.7,-0.7,bunny,
376,14.4,0.14,0.47,61.95,31.46,115.08,9.77,-1.65,-0.6,bunny,
377,11.37,1.74,0.45,74.34,52.24,144.59,9.63,-1.53,-0.56,bunny,
378,5.54,3.56,2.2,57.67,40.73,147.0,9.29,-1.65,-0.52,bunny,
379,3.51,4.51,2.51,47.69,36.99,134.59,9.15,-1.12,-0.1,bunny,
380,-1.17,5.66,3.8,-25.58,0.69,65.95,10.26,-0.83,-0.27,bunny,
381,-2.61,6.41,3.2,-63.63,2.82,29.03,9.74,-0.64,0.06,bunny,
382,-2.93,7.72,-0.66,-120.34,-32.27,-53.15,8.67,-0.4,-0.36,bunny,
383,0.68,8.46,-3.63,-159.82,-47.05,-79.24,8.88,-0.64,-0.47,bunny,
384,13.81,3.99,-13.66,-107.84,-18.58,-96.55,10.07,-0.78,0.31,bunny,
385,15.87,2.15,-13.47,-57.98,-23.14,-73.03,9.93,-0.43,0.41,bunny,
386,18.55,0.17,-11.54,-87.4,-25.13,-77.29,9.8,-1.48,-0.02,bunny,
387,9.58,-3.4,-8.88,-250.14,-186.97,-12.03,9.74,-1.22,0.38,bunny,
388,11.88,0.71,-3.02,-70.94,-10.14,-5.43,9.43,-0.55,0.48,bunny,
389,11.12,0.01,-2.58,-17.65,-17.05,17.69,9.48,-0.33,0.62,bunny,
390,9.9,0.5,-3.38,-54.71,1.11,39.89,9.46,-0.29,0.76,bunny,
391,9.25,0.75,-3.51,-86.33,-20.26,34.87,9.55,0.21,0.83,bunny,
392,9.78,0.61,-4.02,-31.73,-23.65,39.89,9.55,0.5,1.03,bunny,
393,9.67,0.72,-4.54,-35.47,1.85,34.77,9.48,0.26,1.08,bunny,
394,8.77,0.68,-4.78,-32.97,8.98,32.37,9.47,0.09,1.26,bunny,
395,8.23,0.89,-5.18,-45.32,2.34,28.19,9.3,0.15,1.11,bunny,
396,8.27,0.8,-5.18,-48.43,-10.69,26.89,9.45,0.24,0.99,bunny,
397,8.56,0.88,-4.84,-23.11,-0.49,22.54,9.95,0.32,1.31,bunny,
398,8.36,0.86,-4.74,-22.42,5.7,22.55,9.71,0.14,1.07,bunny,
