,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
796,9.63,3.33,9.35,120.89,37.85,-31.57,9.12,-0.35,3.1,cowboy,
797,10.04,4.94,6.55,25.06,4.93,44.47,9.01,-0.45,3.33,cowboy,
798,9.03,3.45,5.24,-63.95,-99.34,-32.28,8.64,-0.37,3.08,cowboy,
799,8.67,4.45,4.62,-7.45,-69.12,-18.4,9.18,-0.33,2.83,cowboy,
800,9.11,3.14,4.99,-15.81,-63.34,-23.35,9.34,-0.36,2.88,cowboy,
801,8.93,3.52,4.91,33.57,65.45,-4.41,9.09,-0.47,3.16,cowboy,
802,8.01,3.65,4.43,27.18,39.34,8.27,9.15,-0.42,3.01,cowboy,
803,8.4,3.91,4.53,43.4,47.58,-12.03,8.91,-0.66,3.09,cowboy,
804,8.57,4.0,4.72,50.63,62.26,-3.82,8.87,-0.83,3.08,cowboy,
805,8.58,3.97,4.54,36.5,34.8,4.07,8.91,-0.88,3.14,cowboy,
806,8.68,4.07,4.51,36.91,21.97,10.73,8.88,-0.85,2.85,cowboy,
807,8.47,4.13,4.59,63.89,67.02,9.73,8.95,-1.07,2.81,cowboy,
808,8.31,4.54,4.5,48.62,48.09,6.52,8.9,-1.05,2.87,cowboy,
809,8.02,4.53,4.55,22.15,23.9,22.33,8.96,-1.1,2.65,cowboy,
810,7.87,4.56,4.64,14.64,9.39,33.97,9.07,-1.14,2.73,cowboy,
811,8.21,4.45,4.8,2.82,-6.59,28.4,8.83,-1.29,2.95,cowboy,
812,8.32,4.54,4.79,-13.56,-39.6,36.79,9.01,-1.35,2.91,cowboy,
813,9.43,3.92,5.44,-0.47,-3.85,36.76,9.05,-1.86,2.98,cowboy,
814,9.74,3.66,5.65,-5.29,-4.66,44.76,9.06,-1.84,2.73,cowboy,
815,9.88,2.95,6.58,4.26,11.87,51.16,9.09,-1.36,2.53,cowboy,
816,9.93,3.02,6.69,12.75,24.37,49.15,9.1,-1.23,2.66,cowboy,
817,10.65,0.85,7.75,21.47,53.24,44.49,9.11,-0.84,2.19,cowboy,
818,11.15,1.41,7.31,-15.97,14.99,66.82,9.33,0.1,2.43,cowboy,
819,11.9,0.53,7.11,-7.06,29.51,67.87,9.08,0.14,2.64,cowboy,
820,12.38,0.62,7.25,-11.98,27.39,73.56,8.95,0.12,2.77,cowboy,
821,12.59,0.79,7.41,-3.63,49.87,77.83,8.84,-0.11,2.37,cowboy,
822,12.51,0.48,7.76,-8.53,51.5,86.53,8.89,-0.45,2.43,cowboy,
823,11.98,2.33,7.9,-9.5,96.66,108.54,9.47,0.01,2.53,cowboy,
824,11.5,2.15,8.25,-13.73,100.3,111.05,9.15,0.24,2.56,cowboy,
825,18.2,-5.86,13.58,-30.56,-209.2,-250.14,9.43,-1.43,2.82,cowboy,
826,17.17,-1.25,2.34,136.58,2.61,-242.61,9.03,-1.16,3.34,cowboy,
827,18.97,-0.19,3.16,142.06,34.27,-213.95,9.04,-0.88,3.2,cowboy,
828,17.77,-0.53,4.49,145.27,39.09,-175.95,8.9,-1.1,3.2,cowboy,
829,16.65,-0.16,5.32,250.13,240.73,-119.93,8.81,-1.11,3.11,cowboy,
830,13.68,1.64,4.98,183.63,130.83,-131.2,8.96,-1.11,2.76,cowboy,
831,19.62,-6.05,4.13,80.15,-86.74,45.76,9.01,-1.11,3.04,cowboy,
832,19.62,-19.62,14.22,250.13,151.56,250.13,9.03,-1.05,3.17,cowboy,
833,10.31,4.13,6.76,84.53,67.75,-175.14,9.03,-1.4,3.06,cowboy,
834,10.72,1.65,8.44,39.7,1.43,-160.0,8.96,-1.54,3.24,cowboy,
835,12.35,4.16,7.15,40.02,-47.81,-61.17,8.53,-1.88,2.81,cowboy,
836,13.07,4.24,6.91,-8.5,-52.48,-17.66,8.74,-1.53,2.83,cowboy,
837,11.54,2.02,5.43,17.62,36.43,-67.87,9.01,-1.41,2.84,cowboy,
838,11.55,2.71,5.2,21.92,13.15,-17.56,8.88,-1.76,2.79,cowboy,
839,10.16,3.02,4.98,72.81,119.4,-20.82,8.69,-2.22,2.34,cowboy,
840,9.09,2.87,4.62,35.67,45.21,12.84,8.65,-1.99,2.47,cowboy,
