,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
158,4.75,9.02,-1.32,-3.31,-8.6,7.37,9.26,-0.75,2.24,handmoter,
159,4.74,8.92,-1.17,0.4,-1.2,6.63,9.36,-0.75,2.58,handmoter,
160,4.63,8.89,-1.0,3.5,0.4,9.23,9.47,-0.89,2.58,handmoter,
161,4.09,9.04,-0.74,9.85,15.37,8.44,9.41,-1.08,2.26,handmoter,
162,3.96,9.11,-0.67,9.47,15.68,7.0,9.34,-0.99,2.26,handmoter,
163,3.92,9.1,-0.68,8.28,12.63,-5.73,9.26,-0.9,1.98,handmoter,
164,4.09,9.13,-0.47,9.24,15.4,-10.45,9.16,-0.92,2.08,handmoter,
165,4.18,9.06,-0.44,9.33,19.05,-12.85,9.23,-1.04,2.19,handmoter,
166,4.24,9.11,-0.39,7.75,19.03,-13.19,9.22,-1.07,2.15,handmoter,
167,4.27,9.06,-0.19,7.78,20.94,-8.66,9.1,-1.15,2.25,handmoter,
168,4.25,9.18,-0.14,6.25,19.85,-6.41,9.32,-1.17,2.3,handmoter,
169,4.04,9.27,-0.41,-1.02,14.82,-1.89,9.16,-1.01,2.11,handmoter,
170,4.05,9.24,-0.5,-3.86,10.5,-0.34,9.11,-0.94,2.08,handmoter,
171,4.16,9.3,-0.61,0.89,10.6,-3.89,9.0,-1.13,2.1,handmoter,
172,4.17,9.14,-0.56,2.17,14.47,-5.49,9.11,-1.18,2.22,handmoter,
173,4.1,9.13,-0.53,-0.85,15.62,-2.17,9.1,-1.31,2.31,handmoter,
174,3.99,9.11,-0.53,-3.26,9.3,1.52,9.21,-1.26,2.22,handmoter,
175,3.92,9.13,-0.67,-6.79,2.03,4.53,9.18,-1.33,2.21,handmoter,
176,3.96,9.15,-0.66,-5.04,-0.99,6.32,9.24,-1.31,2.2,handmoter,
177,3.91,9.12,-0.95,-5.43,-0.86,1.79,9.2,-1.09,2.3,handmoter,
178,3.91,9.05,-0.89,-4.18,0.97,0.15,9.48,-1.06,2.23,handmoter,
179,3.97,9.03,-0.64,1.79,9.66,-1.5,9.19,-1.27,2.1,handmoter,
180,3.92,9.13,-0.52,1.76,11.48,-2.31,9.17,-1.14,2.3,handmoter,
181,3.87,9.15,-0.54,0.73,11.52,-2.45,9.09,-1.06,2.31,handmoter,
182,3.81,9.17,-0.51,-0.91,9.85,-2.37,9.11,-1.15,2.4,handmoter,
183,4.0,9.16,-0.48,-2.56,-0.66,-4.43,9.19,-1.08,2.39,handmoter,
184,4.02,9.03,-0.44,-1.16,3.77,-5.69,9.2,-1.15,2.38,handmoter,
185,4.13,9.05,-0.46,-1.43,8.46,-5.47,9.19,-1.16,2.41,handmoter,
186,4.04,9.08,-0.41,-3.96,7.85,-6.0,9.22,-1.2,2.27,handmoter,
187,3.69,9.25,-0.79,-9.89,-2.94,4.42,9.34,-1.28,1.78,handmoter,
188,3.63,9.32,-0.94,-11.16,-5.55,3.39,9.29,-1.08,1.81,handmoter,
189,3.73,9.24,-1.17,-9.28,-5.75,0.56,9.42,-1.22,1.79,handmoter,
190,3.76,9.25,-1.26,-7.95,-5.11,-0.82,9.31,-1.29,1.98,handmoter,
191,3.93,9.3,-0.91,0.76,-0.02,-4.51,9.35,-1.29,1.89,handmoter,
192,3.93,9.18,-0.76,1.57,3.19,-5.47,9.34,-1.28,1.82,handmoter,
193,3.79,9.06,-0.71,-3.12,-7.37,-2.98,9.33,-1.35,1.64,handmoter,
194,3.86,9.01,-0.67,-2.66,-11.77,-1.39,9.31,-1.22,1.56,handmoter,
195,3.96,9.14,-0.69,-9.85,-18.72,0.73,9.31,-0.99,1.65,handmoter,
196,3.82,9.02,-0.63,-4.24,-9.63,-0.69,9.32,-1.04,1.59,handmoter,
197,3.77,9.32,-0.74,-3.4,-13.44,0.82,9.27,-1.05,1.77,handmoter,
198,3.7,9.43,-0.64,-1.57,-7.19,-4.12,9.18,-1.25,1.69,handmoter,
199,3.74,9.45,-0.65,-2.18,-7.61,-8.41,9.17,-1.29,1.61,handmoter,
200,4.22,9.26,-0.16,-1.06,6.33,-19.0,9.41,-1.17,1.64,handmoter,
201,4.23,9.33,-0.18,-1.76,7.54,-18.74,9.44,-1.33,1.94,handmoter,
202,4.26,9.35,-0.23,-5.79,3.84,-15.27,9.36,-1.37,2.07,handmoter,
203,4.34,9.38,-0.31,-10.2,-2.99,-9.81,9.4,-1.5,1.8,handmoter,
204,4.33,9.09,-0.2,-12.41,-10.75,5.7,9.34,-1.03,1.97,handmoter,
205,4.06,9.03,-0.27,-12.46,-10.54,8.01,9.19,-1.17,1.76,handmoter,
206,3.79,9.02,-0.43,-14.67,-14.6,12.22,9.33,-1.01,1.94,handmoter,
207,3.64,8.99,-0.58,-16.27,-18.72,13.12,9.36,-0.87,1.9,handmoter,
208,3.57,9.03,-0.84,-14.17,-22.67,8.0,9.29,-0.71,2.04,handmoter,
209,3.52,9.11,-0.91,-12.66,-20.75,5.48,9.3,-0.96,1.85,handmoter,
210,3.65,9.03,-1.01,-9.38,-12.3,-3.83,9.12,-0.66,2.11,handmoter,
211,3.71,9.02,-1.01,-7.95,-9.47,-6.75,9.18,-0.85,1.82,handmoter,
212,3.73,8.93,-0.93,-6.37,-6.75,-9.12,9.15,-0.89,2.04,handmoter,
213,3.79,8.88,-0.89,-4.81,-6.09,-10.78,9.23,-0.95,2.01,handmoter,
214,4.92,9.04,-1.43,2.71,6.24,-7.86,9.14,-0.78,2.15,handmoter,
215,5.6,8.67,-2.05,6.89,2.74,-12.29,9.01,-0.57,1.84,handmoter,
216,11.92,7.57,-1.21,65.48,11.7,25.32,9.65,-0.82,2.44,handmoter,
217,12.47,8.8,-2.53,73.82,62.85,65.98,10.34,-0.51,2.87,handmoter,
218,12.48,10.1,-3.9,71.51,51.18,98.14,9.81,-0.36,3.26,handmoter,
219,12.79,9.6,-5.01,38.7,32.73,99.86,9.5,-0.38,2.82,handmoter,
220,18.37,10.12,-13.26,250.13,38.53,159.29,9.87,-0.74,2.62,handmoter,
221,19.62,11.21,-15.9,250.13,51.53,179.9,9.28,-0.79,2.5,handmoter,
222,14.39,10.35,-13.65,215.1,96.56,200.95,8.24,-0.87,2.25,handmoter,
223,8.64,9.52,-9.38,210.72,91.34,199.89,7.58,-1.24,1.95,handmoter,
224,-0.51,8.15,-0.49,218.71,133.65,178.55,8.78,-1.49,2.22,handmoter,
225,-1.36,7.86,0.47,179.08,157.38,150.22,8.72,-1.25,2.82,handmoter,
226,-3.29,6.07,0.43,74.98,142.66,105.72,9.11,-1.08,3.4,handmoter,
227,-4.14,4.65,0.3,26.18,97.33,76.18,9.34,-1.44,3.4,handmoter,
228,-1.59,2.78,-0.7,10.89,-70.58,-16.83,8.89,-1.75,3.28,handmoter,
229,-0.46,2.93,-0.47,0.3,-78.63,-35.24,8.47,-1.47,3.59,handmoter,
230,-1.81,5.7,-2.13,3.94,70.68,-150.2,9.2,-1.76,3.27,handmoter,
231,-2.31,7.59,-4.55,-14.93,72.89,-198.56,9.52,-1.49,3.23,handmoter,
232,12.83,13.09,-11.7,-76.56,24.04,-179.15,9.6,-1.62,3.58,handmoter,
233,19.62,9.15,-18.56,18.46,168.97,-197.14,9.43,-1.74,3.71,handmoter,
234,19.62,4.13,-10.88,194.65,-123.8,-7.53,9.6,-1.56,2.67,handmoter,
235,19.62,-0.02,-3.32,250.13,47.35,33.76,9.44,-2.21,1.54,handmoter,
236,17.14,-1.11,3.45,138.52,26.93,87.78,9.6,-1.13,0.71,handmoter,
237,15.57,3.13,2.46,49.8,21.15,143.67,10.61,0.3,0.38,handmoter,
238,15.79,-0.84,5.62,78.82,6.93,145.19,11.46,1.93,1.26,handmoter,
239,8.68,-0.11,4.65,181.22,47.65,235.31,10.81,2.13,1.37,handmoter,
240,0.53,1.56,3.5,91.32,42.91,204.36,10.04,1.27,0.69,handmoter,
241,-5.69,3.62,-1.0,66.66,-39.41,107.11,9.21,0.74,0.12,handmoter,
242,-5.67,4.17,-1.28,69.96,-43.31,41.27,8.95,1.26,-0.67,handmoter,
243,-5.45,8.37,-1.75,34.63,18.66,-76.32,8.84,2.5,-0.74,handmoter,
244,-4.74,10.82,-1.66,1.14,17.69,-108.84,8.32,1.76,-0.73,handmoter,
245,19.62,15.05,-11.88,-64.34,81.79,-182.75,9.26,-1.52,-1.16,handmoter,
246,19.62,9.05,-11.69,156.16,72.73,-94.95,10.01,-1.45,-0.66,handmoter,
247,19.62,16.15,-9.1,250.13,250.13,-250.14,10.44,-1.22,-1.07,handmoter,
248,19.62,-4.65,-10.41,-250.14,-250.14,-133.2,9.8,-1.47,-2.32,handmoter,
249,19.62,-3.94,-0.41,141.9,-0.61,-24.92,8.86,-2.1,-2.05,handmoter,
250,19.62,-4.59,-1.4,250.13,-32.08,79.9,8.5,-2.92,-3.04,handmoter,
251,19.62,-5.1,-4.94,250.13,-64.2,131.63,8.86,-2.26,-3.1,handmoter,
252,19.62,-4.06,4.97,-250.14,2.62,-89.28,9.65,-1.43,-2.63,handmoter,
253,9.15,0.53,1.25,29.77,-20.79,219.34,9.65,-0.67,-2.42,handmoter,
254,4.88,3.13,0.79,-71.79,59.98,176.65,9.43,-0.34,-2.0,handmoter,
255,-2.49,4.33,0.4,9.6,-8.64,138.8,10.19,-0.04,-1.6,handmoter,
256,-4.77,6.5,0.81,10.91,-4.01,86.21,9.8,0.43,-2.01,handmoter,
257,-7.57,9.64,-0.91,-44.38,11.85,-28.42,9.47,1.57,-2.29,handmoter,
