,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
0,4.03,9.06,-0.27,4.53,19.06,31.21,8.96,-2.02,1.91,idle,
1,3.87,9.27,-0.43,1.31,9.96,35.89,10.07,-1.94,1.66,idle,
2,3.68,10.25,-0.56,4.39,1.21,44.13,11.4,-2.3,2.98,idle,
3,3.72,9.61,-0.54,-4.92,-10.29,41.66,8.33,-0.96,3.31,idle,
4,3.61,8.75,-0.82,-13.47,-19.51,34.05,7.78,-0.45,2.51,idle,
5,3.49,8.86,-0.85,-18.51,-32.49,35.65,9.44,-1.66,2.05,idle,
6,3.6,9.17,-0.73,-10.42,-45.66,44.9,10.45,-2.42,2.05,idle,
7,3.83,9.37,-0.58,-6.24,-46.18,44.7,9.49,-1.83,2.58,idle,
8,3.82,9.14,-0.35,-2.73,-37.21,37.26,8.85,-1.3,2.29,idle,
9,3.65,9.16,-0.29,-0.37,-28.18,30.18,8.94,-1.1,2.23,idle,
10,3.55,9.12,-0.39,-2.11,-27.15,27.2,9.53,-1.05,1.94,idle,
11,3.61,9.27,-0.49,-11.8,-18.51,16.6,9.4,-1.36,2.13,idle,
12,3.44,8.98,-0.11,-1.65,-14.53,14.17,9.05,-1.56,2.1,idle,
13,3.35,8.92,0.0,-1.89,-12.55,6.15,8.87,-1.62,1.94,idle,
14,3.27,8.76,0.13,-4.11,-9.28,-4.6,9.18,-1.53,1.97,idle,
15,3.43,8.91,-0.05,-10.56,-8.72,-15.82,9.17,-1.27,1.96,idle,
16,3.95,8.83,-0.35,-13.32,-6.84,-25.11,9.06,-1.13,1.91,idle,
17,4.29,8.72,-0.74,-9.89,-8.59,-29.09,9.09,-1.07,1.79,idle,
18,4.64,8.62,-0.9,-4.5,-17.25,-26.24,9.24,-1.15,1.77,idle,
19,5.01,8.82,-0.74,2.61,-18.64,-22.82,9.32,-1.37,1.75,idle,
20,5.33,8.95,-0.61,6.7,-13.44,-20.18,9.24,-1.43,1.84,idle,
21,5.42,9.08,-0.49,5.67,-5.0,-18.89,9.29,-1.46,1.83,idle,
22,5.37,9.24,-0.27,3.18,9.68,-23.97,9.34,-1.36,1.88,idle,
23,5.24,9.14,-0.26,-0.41,18.49,-27.35,9.4,-1.35,2.05,idle,
24,5.05,8.99,-0.36,-3.72,19.44,-28.15,9.5,-1.27,1.85,idle,
25,4.81,8.87,-0.53,-9.02,12.24,-28.68,9.51,-1.28,1.76,idle,
26,4.71,8.87,-0.43,-14.89,1.11,-28.38,9.51,-1.4,1.74,idle,
27,4.62,8.77,-0.43,-16.52,-8.14,-26.9,9.3,-1.41,1.74,idle,
28,4.08,10.98,-1.78,-10.85,-0.79,8.82,10.1,-1.73,2.89,idle,
29,3.92,10.0,2.32,-13.6,9.14,15.31,9.51,1.21,2.48,idle,
30,2.5,8.3,0.8,-33.97,-25.17,6.83,9.32,1.29,2.37,idle,
31,2.97,8.08,0.92,-41.85,-50.63,6.0,9.12,1.32,2.21,idle,
32,5.09,8.62,0.48,-64.93,-107.49,6.69,9.36,1.31,1.93,idle,
33,5.94,8.07,0.84,-92.21,-119.87,-1.4,9.52,0.99,2.26,idle,
34,6.4,7.83,0.29,-77.45,-115.54,-34.99,8.85,1.01,2.12,idle,
35,6.39,7.53,0.57,-74.79,-97.47,-49.34,8.9,0.99,2.17,idle,
36,6.22,7.54,-0.1,-41.44,-60.03,-58.83,9.12,0.86,2.04,idle,
37,5.57,8.37,-0.43,-44.87,-32.96,-63.85,9.16,0.66,1.93,idle,
38,5.11,8.27,0.49,-29.12,-24.75,-51.18,9.0,0.69,2.12,idle,
39,4.86,9.17,-0.2,-18.15,0.15,-60.06,9.48,0.99,2.06,idle,
40,4.62,8.71,0.0,-13.65,-1.73,-53.74,9.47,0.92,2.26,idle,
41,5.07,9.51,-0.84,-44.6,-15.44,-63.42,9.3,0.61,2.31,idle,
42,4.73,9.27,-0.65,-7.16,-19.47,-49.35,9.55,0.56,2.4,idle,
43,4.78,9.34,-0.68,-11.18,-33.45,-42.15,9.69,0.35,2.23,idle,
44,4.8,9.11,-0.58,-2.21,-31.56,-40.04,9.41,0.14,2.26,idle,
45,4.39,8.77,-0.06,-2.12,-37.59,-24.18,9.0,0.14,1.97,idle,
46,4.02,8.95,0.01,-18.31,-51.47,-28.97,9.18,0.09,1.96,idle,
47,4.42,9.37,-0.84,6.52,-61.66,-26.3,9.27,0.34,2.01,idle,
48,4.41,9.68,-0.67,-7.71,-48.16,-25.33,9.19,0.29,2.17,idle,
49,3.8,9.7,-0.01,-70.35,18.69,-26.08,9.35,0.32,2.05,idle,
50,3.91,9.13,0.61,-94.47,17.87,-33.37,9.43,0.25,1.97,idle,
51,4.0,9.04,0.79,-85.0,15.5,7.66,9.27,0.09,1.99,idle,
52,3.94,9.01,1.18,-71.4,7.77,26.54,9.33,0.08,1.9,idle,
53,3.93,9.21,1.23,-44.93,-9.87,45.1,9.19,0.12,1.9,idle,
54,3.36,9.26,1.37,-8.27,-39.77,67.94,9.14,0.2,1.98,idle,
55,5.95,9.84,2.82,21.87,-57.0,64.34,9.36,0.25,2.02,idle,
56,5.55,9.47,2.11,-4.72,-20.53,67.21,9.25,0.14,2.08,idle,
57,5.36,9.02,2.46,-33.96,-15.1,58.88,9.29,0.22,1.98,idle,
58,4.73,8.68,1.95,-41.5,-8.95,56.07,9.47,0.28,1.93,idle,
59,5.37,8.33,2.12,-28.4,-3.32,36.98,9.22,0.0,2.04,idle,
60,4.76,7.86,1.7,-19.89,5.18,24.45,9.37,0.02,2.07,idle,
61,5.5,8.28,2.13,-16.39,5.23,24.95,9.45,0.11,2.0,idle,
62,5.36,7.98,2.0,-11.61,10.28,20.14,9.41,0.07,1.94,idle,
63,5.13,7.89,1.73,-7.9,15.78,13.43,9.2,-0.01,2.08,idle,
64,6.54,8.3,2.06,-1.84,33.47,1.57,9.18,-0.14,2.08,idle,
65,6.26,8.34,2.37,-8.81,42.35,17.02,9.15,-0.12,2.02,idle,
66,5.77,8.0,1.86,10.19,18.53,-1.29,9.26,-0.23,2.2,idle,
67,6.22,8.17,2.02,6.94,24.27,7.47,9.17,-0.57,1.98,idle,
68,5.36,8.17,1.61,4.66,26.11,16.54,9.3,-0.44,2.32,idle,
69,5.09,7.93,1.25,12.74,11.49,1.18,9.33,-0.52,2.32,idle,
70,4.65,8.45,0.67,66.8,18.69,-43.64,9.1,-0.46,2.33,idle,
71,4.2,8.64,0.35,87.44,14.85,-63.48,9.17,-0.55,2.34,idle,
72,5.24,10.01,1.17,124.84,50.3,-79.06,9.25,-0.46,2.41,idle,
73,5.23,10.26,1.04,117.6,86.01,-70.11,9.35,-0.41,2.47,idle,
74,4.61,10.07,1.08,90.82,100.26,-58.53,9.36,-0.33,2.54,idle,
75,3.81,9.9,1.03,74.47,106.58,-38.82,9.27,-0.38,2.48,idle,
76,1.99,9.6,0.57,22.79,48.38,27.56,9.28,-0.44,2.47,idle,
77,2.36,9.47,0.75,1.34,3.55,33.98,9.18,-0.46,2.44,idle,
78,3.78,9.24,1.36,-26.61,-19.65,34.82,9.14,-0.52,2.38,idle,
79,3.53,8.96,0.89,-5.67,13.21,20.18,9.08,-0.37,2.44,idle,
80,3.61,9.17,0.82,6.8,0.56,15.03,9.29,-0.29,2.41,idle,
81,3.85,9.37,0.82,7.16,-2.96,12.2,9.27,-0.02,2.35,idle,
82,4.16,9.41,0.6,4.92,5.72,-0.3,9.25,0.08,2.35,idle,
83,4.23,9.4,0.48,3.17,8.6,-4.32,9.25,0.1,2.43,idle,
84,4.0,9.21,0.32,2.67,7.28,-12.56,9.13,0.17,2.48,idle,
85,3.97,9.06,0.3,4.63,3.71,-16.85,9.24,0.27,2.42,idle,
86,4.27,8.99,0.34,-0.31,-9.6,-16.82,9.35,0.17,2.44,idle,
87,4.31,9.0,0.32,-1.06,-8.27,-16.18,9.34,0.23,2.4,idle,
88,4.34,9.13,0.4,-10.54,-9.31,-12.65,9.36,0.18,2.44,idle,
89,4.41,8.99,0.32,-9.62,-10.22,-10.89,9.34,0.13,2.32,idle,
90,4.4,9.12,0.26,-10.28,-14.11,-9.37,9.27,0.14,2.35,idle,
91,4.48,9.13,0.27,-12.89,-12.5,-10.5,9.29,0.13,2.22,idle,
92,4.4,9.1,0.21,-11.37,-11.04,-7.96,9.29,0.08,2.31,idle,
93,4.29,9.12,0.13,-18.95,-9.63,-2.5,9.2,0.03,2.12,idle,
94,4.17,9.16,-0.01,-23.58,-6.37,-2.31,9.28,0.1,2.09,idle,
95,4.0,8.87,0.44,-17.79,-22.31,7.53,8.76,0.46,1.96,idle,
96,3.99,9.1,1.01,-42.67,-62.02,15.24,8.68,0.72,1.91,idle,
97,4.14,8.69,0.16,-34.85,-42.92,20.57,8.95,1.15,2.2,idle,
98,3.98,8.73,-0.18,-23.32,-35.49,21.94,8.92,1.11,2.23,idle,
99,4.22,8.86,0.96,13.42,-10.44,-0.77,9.52,1.11,2.7,idle,
100,4.76,8.95,1.25,13.38,-6.25,-5.86,9.38,0.86,2.73,idle,
101,5.02,8.75,1.58,18.67,-0.81,-13.28,9.39,0.6,2.47,idle,
102,5.08,8.67,1.34,29.77,5.2,-15.15,9.53,0.39,2.52,idle,
103,5.19,8.74,1.25,37.05,9.86,-17.99,9.42,0.26,2.47,idle,
104,5.19,8.9,1.16,40.56,12.64,-20.03,9.41,0.11,2.55,idle,
105,5.88,8.94,1.64,18.84,14.61,-29.45,9.45,-0.32,2.28,idle,
106,5.49,9.28,0.85,20.07,44.11,-29.37,9.28,-0.51,2.26,idle,
107,4.95,9.4,0.07,4.13,40.88,-32.69,9.24,-0.26,2.14,idle,
