,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
639,3.39,-9.8,-18.11,250.13,-250.14,250.13,9.24,-2.68,2.84,rocket,
640,7.22,2.06,-15.15,250.13,-250.14,-46.62,9.01,-3.99,1.71,rocket,
641,-0.07,-3.06,1.2,250.13,-142.76,-43.49,9.26,-2.94,2.04,rocket,
642,-2.6,1.72,-2.27,250.13,-167.4,-77.06,8.78,-1.97,2.07,rocket,
643,10.86,19.62,19.33,250.13,-180.95,-245.32,9.16,-1.06,2.87,rocket,
644,19.62,19.62,19.62,-250.14,-250.14,31.94,8.63,-1.45,2.48,rocket,
645,-1.07,8.73,6.21,-250.14,-171.63,250.13,9.02,-1.94,2.95,rocket,
646,-2.46,-1.33,5.34,-250.14,-194.02,250.13,8.95,-2.24,2.9,rocket,
647,-2.52,-9.11,-0.46,-250.14,-0.28,250.13,9.33,-2.31,2.58,rocket,
648,-2.89,-10.28,-4.15,-250.14,5.98,224.02,8.99,-0.54,3.05,rocket,
649,0.01,-8.8,-7.65,-250.14,33.39,184.27,8.82,-1.11,2.68,rocket,
650,1.17,-8.38,-7.26,-250.14,-25.77,135.11,9.19,-0.98,2.71,rocket,
651,0.2,-12.79,-12.75,-5.28,218.03,-44.43,9.08,-0.53,2.85,rocket,
652,-1.26,-11.0,-13.92,100.76,156.5,-82.95,9.02,-0.65,2.94,rocket,
653,0.84,-9.93,-9.44,250.13,-38.82,-96.42,9.0,-1.15,2.74,rocket,
654,1.8,-8.23,-6.13,250.13,-54.21,-133.95,8.34,-1.28,2.62,rocket,
655,0.87,-3.74,-1.54,250.13,-2.15,-211.44,9.01,-1.45,2.68,rocket,
656,1.07,-0.31,1.25,250.13,-16.27,-250.14,9.04,-1.7,2.42,rocket,
657,5.52,10.92,12.65,250.13,-53.76,-250.14,9.0,-1.34,2.71,rocket,
658,9.64,17.18,18.54,238.45,-163.89,-227.32,9.06,-1.3,2.62,rocket,
659,11.13,10.12,12.07,-161.3,132.66,250.13,9.39,-3.15,3.14,rocket,
660,6.74,8.03,8.52,-211.9,152.16,250.13,9.42,-3.07,2.64,rocket,
661,2.11,-5.84,1.14,-250.14,-21.62,250.13,8.74,-0.99,3.13,rocket,
662,-1.35,-13.15,-4.51,-250.14,-25.48,250.13,8.7,-1.17,2.69,rocket,
663,-6.72,-10.3,-19.62,-250.14,64.71,250.13,9.39,0.68,3.22,rocket,
664,-5.12,-18.96,-19.62,-250.14,250.13,122.27,9.17,1.14,3.64,rocket,
665,-1.42,-11.16,-5.91,250.13,18.67,-250.14,8.83,-1.55,2.15,rocket,
666,-1.19,-10.89,-6.57,250.13,250.13,-250.14,8.64,-1.25,2.6,rocket,
667,-2.1,-5.47,-4.36,250.13,-103.27,-186.4,9.01,-1.77,2.5,rocket,
668,-2.31,-8.87,-0.44,250.13,-17.52,-196.06,8.52,-2.94,1.9,rocket,
669,15.18,10.05,19.62,142.9,-144.0,-215.04,8.65,-2.92,2.17,rocket,
670,19.62,10.36,19.62,-208.82,-231.69,71.18,8.5,-2.87,2.24,rocket,
671,7.63,6.39,10.08,-133.5,141.3,195.08,8.56,-2.12,2.66,rocket,
672,6.5,3.96,8.69,-206.26,72.56,223.36,8.29,-2.38,2.17,rocket,
673,3.66,-10.19,2.49,-250.14,31.71,153.25,8.66,-2.62,2.54,rocket,
674,2.41,-14.44,-2.85,-250.14,2.6,133.51,9.64,-2.11,2.45,rocket,
675,1.34,-16.48,-8.94,24.78,56.66,-13.15,10.09,1.89,2.5,rocket,
676,2.19,-13.18,-3.65,201.76,84.5,-105.44,9.49,-0.57,3.2,rocket,
677,1.82,-9.67,-1.2,250.13,65.4,-166.8,8.89,-1.52,1.63,rocket,
678,1.99,-7.4,1.05,250.13,18.21,-225.4,8.99,-2.65,1.34,rocket,
679,2.88,-3.54,4.09,250.13,24.98,-243.93,9.06,-1.58,2.19,rocket,
680,16.73,19.62,19.62,63.6,-86.67,-14.93,9.19,-0.57,1.64,rocket,
681,12.7,12.68,15.38,-170.79,-63.89,84.49,9.28,-0.66,1.91,rocket,
682,5.79,8.78,11.75,-184.11,-104.63,172.44,9.35,-0.69,1.72,rocket,
683,7.42,4.63,8.96,-148.75,-35.88,237.49,9.65,-0.26,2.09,rocket,
684,5.8,-1.54,3.66,-250.14,29.07,182.57,9.82,-0.49,2.44,rocket,
685,5.92,-5.27,1.58,-250.14,-20.61,168.37,9.9,-0.52,2.5,rocket,
686,4.21,-10.4,-4.69,-250.14,30.46,137.39,9.74,-0.06,2.67,rocket,
687,2.53,-12.06,-7.89,-250.14,11.12,131.23,9.52,0.4,2.42,rocket,
688,4.43,-12.56,-8.79,-100.96,45.84,-11.58,8.97,0.87,1.98,rocket,
689,3.43,-12.4,-7.91,57.54,144.66,-96.24,8.71,0.48,1.82,rocket,
690,2.15,-10.06,-2.76,250.13,4.88,-133.74,8.35,0.25,1.72,rocket,
691,3.09,-7.72,-0.85,250.13,10.84,-132.93,9.19,0.37,1.64,rocket,
692,2.89,-1.87,2.83,250.13,23.37,-178.99,9.34,0.47,2.09,rocket,
693,3.24,1.79,5.11,250.13,-1.53,-213.47,9.41,0.19,2.04,rocket,
694,9.27,14.12,12.98,250.13,-158.67,-250.14,9.53,-0.96,2.2,rocket,
695,14.58,19.62,13.02,106.27,-157.64,-80.28,9.53,-0.83,2.16,rocket,
696,11.03,8.47,6.73,-222.72,176.8,250.13,9.46,-0.03,2.09,rocket,
697,7.64,3.64,6.25,-250.14,123.57,241.47,9.17,-0.25,2.29,rocket,
698,5.84,-0.13,5.04,-250.14,87.51,201.46,9.0,-0.56,2.28,rocket,
699,5.16,-4.65,2.8,-250.14,18.72,171.5,9.0,-0.39,2.3,rocket,
700,3.06,-11.74,-10.06,-180.73,7.08,133.53,9.2,1.86,2.32,rocket,
701,3.72,-11.88,-8.46,-17.72,22.35,66.71,9.0,0.78,1.84,rocket,
702,2.33,-9.46,-2.93,250.13,11.2,-103.87,8.93,-0.04,1.68,rocket,
703,2.0,-7.21,-1.43,250.13,-2.55,-167.0,8.96,0.07,1.71,rocket,
704,4.95,0.48,7.51,250.13,-12.89,-205.52,9.14,0.31,2.05,rocket,
705,7.0,5.67,8.64,250.13,-42.8,-229.1,9.11,0.03,2.02,rocket,
706,17.68,13.07,18.92,-131.49,-151.26,33.8,9.08,-0.63,1.89,rocket,
707,10.33,9.5,12.42,-149.55,-23.27,124.65,9.11,-0.39,2.21,rocket,
708,8.8,6.08,9.5,-168.13,16.13,171.59,9.43,-0.15,2.43,rocket,
709,8.56,3.87,8.15,-225.5,-19.81,216.7,9.48,-0.07,2.65,rocket,
710,5.26,-12.87,-2.81,-222.69,249.99,98.99,9.46,0.72,2.57,rocket,
711,2.78,-13.93,-6.49,-199.98,156.79,108.48,9.44,1.19,2.66,rocket,
712,2.95,-9.48,-2.81,163.84,19.6,-55.01,9.39,0.52,2.29,rocket,
713,1.56,-6.98,0.55,244.57,-37.2,-127.02,9.11,0.51,1.53,rocket,
714,1.24,-3.58,1.72,250.13,-96.89,-189.35,8.86,-0.75,3.0,rocket,
715,3.22,-0.89,4.06,250.13,-66.97,-229.34,9.69,0.17,2.28,rocket,
716,5.82,1.92,6.65,250.13,-35.66,-250.14,9.25,0.26,2.51,rocket,
717,10.39,13.71,12.26,86.02,-76.32,-150.45,9.69,-0.74,2.78,rocket,
718,16.9,8.99,16.66,-180.21,-163.27,32.92,9.51,-0.65,2.0,rocket,
719,4.54,4.81,9.65,-154.56,4.5,135.98,9.49,0.82,2.63,rocket,
720,1.97,2.85,9.77,-119.3,-0.95,169.34,9.03,0.44,2.14,rocket,
721,3.25,-3.54,5.56,-227.42,-140.46,209.87,9.06,-0.16,2.38,rocket,
722,4.24,-5.09,3.26,-250.14,-71.27,201.56,8.98,0.08,1.92,rocket,
723,3.59,-5.05,-4.86,-250.14,137.78,57.83,8.86,1.11,2.02,rocket,
724,3.96,-4.37,-5.96,-250.14,184.37,44.42,9.09,0.52,2.29,rocket,
725,3.72,-7.37,-4.26,-250.14,192.69,-54.23,8.81,0.31,2.37,rocket,
726,2.91,-7.65,-2.87,-123.76,198.27,-74.4,8.9,0.29,2.19,rocket,
727,3.44,-1.56,-1.81,77.73,134.5,-210.09,8.96,-0.13,2.76,rocket,
728,3.47,-0.94,-1.6,77.04,91.61,-250.14,9.06,-0.34,2.86,rocket,
729,6.35,2.74,1.63,76.64,68.1,-250.14,9.26,0.15,2.51,rocket,
730,8.14,4.52,1.42,97.24,139.63,-250.14,9.07,-0.21,2.54,rocket,
