,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
478,-4.97,-12.13,-17.04,-35.63,250.13,-250.14,8.85,-0.39,2.83,tapshoulder,
479,2.66,-16.71,-19.0,250.13,250.13,-174.34,8.48,-0.5,3.49,tapshoulder,
480,-0.64,-9.55,-6.78,250.13,149.04,-243.31,8.66,-0.9,4.08,tapshoulder,
481,-1.46,13.02,-6.49,250.13,52.34,-250.14,8.76,-1.37,4.56,tapshoulder,
482,17.53,10.49,19.62,250.13,-1.08,-250.14,9.87,-1.38,5.94,tapshoulder,
483,18.36,18.95,14.37,34.44,-45.23,-58.69,9.39,-0.52,3.77,tapshoulder,
484,11.6,-1.77,8.17,-250.14,18.52,250.13,8.15,-1.2,3.37,tapshoulder,
485,5.05,-3.57,4.46,-250.14,119.77,217.74,8.76,-1.7,3.61,tapshoulder,
486,3.09,-8.99,-1.45,-250.14,76.66,104.57,9.18,-2.15,3.09,tapshoulder,
487,1.33,-8.7,-4.01,-250.14,-127.55,67.46,8.96,-1.52,3.14,tapshoulder,
488,-1.71,-7.73,-8.39,-250.14,-193.74,171.0,8.49,-1.32,2.52,tapshoulder,
489,-2.57,-5.9,-8.41,-250.14,-156.59,199.5,8.47,-1.18,2.22,tapshoulder,
490,-3.32,-11.01,-11.82,-20.21,201.81,104.0,9.03,-1.43,2.87,tapshoulder,
491,-0.78,-12.93,-17.06,34.15,250.13,-102.31,8.57,-1.29,2.7,tapshoulder,
492,2.11,-9.98,-15.86,121.92,250.13,-250.14,8.52,-0.95,2.29,tapshoulder,
493,3.87,-6.58,-12.4,207.69,250.13,-250.14,8.88,-0.86,2.87,tapshoulder,
494,7.15,15.91,19.62,250.13,-198.66,-153.21,9.35,-0.68,4.47,tapshoulder,
495,19.62,17.79,3.77,250.13,87.87,-212.97,9.34,0.23,4.48,tapshoulder,
496,12.95,3.21,12.62,-250.14,-214.98,250.13,8.32,0.24,4.26,tapshoulder,
497,16.71,-2.34,11.05,-250.14,-245.6,250.13,8.23,-0.17,4.46,tapshoulder,
498,9.16,-9.46,1.36,-250.14,-250.14,147.37,8.75,-0.03,4.18,tapshoulder,
499,9.18,-9.26,1.31,-250.14,-106.91,213.51,8.45,0.37,4.43,tapshoulder,
500,4.62,-12.29,3.35,-50.97,-250.14,250.13,8.3,0.97,5.64,tapshoulder,
501,6.56,-7.63,-6.17,-94.19,-250.14,250.13,8.22,-0.13,5.81,tapshoulder,
502,2.74,-5.46,-6.48,-60.61,-250.14,250.13,7.85,-0.95,5.15,tapshoulder,
503,-0.77,-6.35,-3.64,-168.15,-250.14,168.85,7.83,-1.35,5.66,tapshoulder,
504,-1.15,-7.71,-4.7,-232.15,-250.14,81.53,8.08,-1.55,5.83,tapshoulder,
505,-0.48,-7.45,-7.13,8.65,-196.05,-12.52,8.08,-1.78,5.1,tapshoulder,
506,0.13,-7.07,-7.11,95.82,-164.73,1.0,8.22,-1.28,5.09,tapshoulder,
507,12.25,-16.35,-9.0,210.22,160.51,-234.5,9.16,-0.29,3.77,tapshoulder,
508,8.33,-14.04,-4.44,250.13,156.21,-250.14,9.01,0.25,3.95,tapshoulder,
509,6.55,4.68,4.21,250.13,-250.14,21.8,8.84,-0.34,4.62,tapshoulder,
510,14.92,6.35,-0.15,250.13,-250.14,-10.92,9.38,-0.51,4.8,tapshoulder,
511,19.62,10.31,3.61,-85.81,-145.52,250.13,8.56,0.02,5.2,tapshoulder,
512,17.03,3.12,6.66,-202.57,-44.08,250.13,7.86,-0.12,5.19,tapshoulder,
513,8.85,-7.91,5.83,53.57,-202.89,250.13,7.8,-1.19,5.38,tapshoulder,
514,6.84,-6.1,4.84,-7.37,-250.14,250.13,8.14,-1.97,5.09,tapshoulder,
515,7.2,-7.44,5.14,-58.24,-235.59,250.13,8.24,-1.19,5.78,tapshoulder,
516,5.02,-8.31,4.87,-66.85,-199.11,250.13,8.24,-2.06,5.89,tapshoulder,
517,3.51,-7.49,4.62,-82.83,-137.78,250.13,8.25,-2.4,4.87,tapshoulder,
518,2.5,-8.44,3.72,-143.08,-128.33,250.13,8.55,-2.01,4.73,tapshoulder,
519,1.15,-9.34,1.92,-136.7,-139.29,201.76,8.59,-1.58,5.36,tapshoulder,
520,-1.48,-8.66,-1.02,-49.4,-203.38,103.51,8.15,-2.3,2.22,tapshoulder,
521,-2.56,-7.58,-3.31,-46.43,-211.34,82.83,7.43,-2.51,3.25,tapshoulder,
522,-0.8,-12.76,-4.5,149.56,-51.93,-157.68,8.38,-1.95,3.27,tapshoulder,
523,2.28,-14.61,-2.51,247.4,51.77,-250.14,8.19,-1.85,3.01,tapshoulder,
524,3.34,-4.74,-5.36,250.13,28.4,-250.14,8.34,-2.43,3.11,tapshoulder,
525,0.81,-1.79,-0.85,250.13,142.96,-113.38,8.45,-2.03,3.05,tapshoulder,
526,4.48,19.62,2.15,250.13,41.27,-219.42,10.24,-1.52,4.21,tapshoulder,
527,8.88,18.81,19.62,-31.31,-62.16,-76.72,9.87,-1.53,3.86,tapshoulder,
528,3.89,8.26,14.68,-250.14,-156.28,250.13,8.72,-2.49,2.78,tapshoulder,
529,3.37,6.17,9.66,-250.14,-250.14,250.13,8.89,-1.83,2.27,tapshoulder,
530,4.35,-0.77,7.58,-250.14,-202.82,194.5,9.5,-1.27,2.28,tapshoulder,
531,3.89,-3.31,5.19,-250.14,-162.76,204.02,9.67,-0.84,2.19,tapshoulder,
532,-0.17,-5.4,2.03,-73.98,-137.19,221.0,8.94,-0.54,2.11,tapshoulder,
533,-1.18,-5.07,-0.36,-150.73,-33.41,231.71,8.8,-0.6,1.96,tapshoulder,
534,-4.28,-9.18,-1.55,-146.7,-14.85,205.04,8.96,-0.7,1.87,tapshoulder,
535,-5.78,-9.23,-4.3,-121.27,9.79,97.69,8.94,-0.8,2.11,tapshoulder,
536,-4.24,-13.52,-4.16,250.13,57.54,-163.95,9.2,-1.04,2.17,tapshoulder,
537,-6.61,-11.79,-2.74,250.13,-76.34,-169.89,9.16,-0.73,2.07,tapshoulder,
538,-1.74,8.97,0.66,250.13,-36.57,-250.14,9.17,-0.73,2.68,tapshoulder,
539,-3.34,14.37,-11.89,250.13,7.83,-250.14,9.76,-1.29,2.92,tapshoulder,
540,10.46,17.0,8.01,250.13,74.72,-250.14,9.65,-2.21,3.79,tapshoulder,
541,5.39,14.92,13.98,134.3,-205.2,-144.27,8.88,-2.45,2.3,tapshoulder,
542,0.56,16.51,4.48,-51.91,-250.14,250.13,8.57,-0.82,2.19,tapshoulder,
543,8.66,12.49,4.36,-227.21,-135.28,250.13,9.14,0.04,2.49,tapshoulder,
544,8.48,1.02,7.33,85.63,-250.14,236.24,9.42,-0.39,2.5,tapshoulder,
545,13.83,1.5,7.09,128.31,-221.32,147.76,8.68,-0.79,2.34,tapshoulder,
546,9.87,-0.97,7.57,-131.83,35.08,49.18,9.05,-0.71,2.46,tapshoulder,
547,8.8,-2.36,6.49,-189.87,9.76,59.15,9.01,-0.78,2.65,tapshoulder,
548,8.22,-3.94,5.91,-213.76,-24.87,60.82,9.14,0.0,3.17,tapshoulder,
549,8.82,-4.78,5.0,-191.98,-37.63,55.88,9.23,-0.16,2.71,tapshoulder,
550,9.5,-5.13,3.32,-182.1,-60.24,59.06,9.31,-0.13,2.34,tapshoulder,
551,8.47,-7.81,0.73,-96.74,-39.59,44.02,9.46,-0.05,2.51,tapshoulder,
552,8.7,-8.44,0.0,-33.48,-44.72,45.04,9.15,-0.17,2.46,tapshoulder,
553,16.13,0.33,-8.13,-175.99,-205.72,-71.11,9.05,-0.31,2.19,tapshoulder,
554,14.51,-9.93,-1.1,15.31,226.36,-11.63,9.23,-0.05,2.22,tapshoulder,
555,8.45,-7.95,2.38,-74.82,42.83,42.08,8.84,0.2,2.45,tapshoulder,
556,8.01,-7.42,1.17,-164.51,-19.53,60.92,9.2,0.3,2.39,tapshoulder,
557,11.9,-6.01,0.47,140.87,225.26,-0.05,9.22,0.03,2.7,tapshoulder,
558,10.07,-5.06,0.43,47.05,125.38,26.55,9.24,0.01,2.59,tapshoulder,
559,7.07,-5.21,0.36,138.67,146.36,14.38,8.97,-0.24,2.51,tapshoulder,
560,4.87,-5.64,1.85,193.66,155.48,11.99,8.99,0.0,2.74,tapshoulder,
561,0.98,-5.5,3.78,243.53,135.17,-53.36,9.33,0.0,2.56,tapshoulder,
562,-2.09,-5.94,6.18,250.13,123.16,-103.51,9.25,0.05,2.62,tapshoulder,
563,0.51,1.52,10.85,185.45,-39.63,-250.14,9.19,-0.23,2.66,tapshoulder,
564,4.62,11.75,15.56,72.22,-46.47,-250.14,9.14,-0.43,2.47,tapshoulder,
565,3.47,2.41,10.53,-95.02,120.43,-39.4,9.21,-0.22,2.81,tapshoulder,
566,3.53,2.22,8.48,-197.11,-53.52,-17.24,9.31,-0.15,2.66,tapshoulder,
567,5.05,1.07,9.47,-169.28,-37.96,-26.72,9.2,-0.38,2.86,tapshoulder,
568,5.33,0.07,10.25,-214.08,-11.4,-21.47,8.73,-0.49,2.83,tapshoulder,
569,4.26,-9.1,1.81,-250.14,41.09,26.99,9.47,-0.1,3.15,tapshoulder,
570,2.53,-9.71,3.42,-155.92,-2.79,11.79,9.16,0.35,3.1,tapshoulder,
571,4.48,-7.96,6.49,98.24,-2.59,-104.92,8.87,0.12,2.78,tapshoulder,
572,3.8,-7.27,7.67,116.79,-22.51,-91.05,8.86,0.0,2.8,tapshoulder,
573,4.56,-5.83,8.62,147.82,-7.86,-82.44,8.95,-0.02,2.85,tapshoulder,
574,5.19,-1.8,8.81,139.5,-5.73,-94.6,8.91,-0.31,2.81,tapshoulder,
575,7.22,1.53,9.3,96.3,-3.49,-114.6,9.13,-0.49,2.74,tapshoulder,
576,8.97,3.0,12.17,52.86,0.82,-145.21,9.09,-0.82,2.51,tapshoulder,
577,7.18,4.31,12.58,16.4,-26.17,-114.76,8.99,-1.23,2.18,tapshoulder,
578,7.51,3.76,15.74,-116.58,-68.6,-44.02,8.9,-0.73,2.51,tapshoulder,
579,7.53,5.07,15.84,-250.14,-126.74,40.18,9.05,-0.49,2.66,tapshoulder,
580,3.14,-1.31,10.61,-250.14,-17.9,112.0,9.24,-2.14,3.45,tapshoulder,
581,2.01,-1.12,9.22,-250.14,189.2,7.4,8.9,-2.69,2.07,tapshoulder,
582,2.76,-8.54,-0.64,-250.14,-123.4,125.78,9.87,-0.52,3.09,tapshoulder,
583,5.67,-3.0,-6.82,-250.14,2.34,74.36,9.56,0.38,3.34,tapshoulder,
584,10.65,-14.01,-18.48,0.49,250.13,-203.15,9.06,0.01,3.49,tapshoulder,
585,8.86,-14.03,-19.62,102.43,207.71,-246.55,9.52,0.36,3.37,tapshoulder,
586,-6.29,-0.84,-19.16,250.13,-126.32,-64.05,8.45,0.02,2.8,tapshoulder,
587,4.93,10.19,-4.27,250.13,-118.01,-248.36,8.23,-1.05,2.98,tapshoulder,
588,10.08,19.62,19.62,250.13,-180.75,-79.19,9.3,-0.75,1.67,tapshoulder,
589,19.62,19.62,19.62,-250.14,-250.14,247.69,8.61,-0.32,2.44,tapshoulder,
590,6.18,15.53,6.18,-250.14,157.95,250.13,9.34,-0.67,3.42,tapshoulder,
