,class,x1_mean,y1_mean,z1_mean,x2_mean,y2_mean,z2_mean,x3_mean,y3_mean,z3_mean,x4_mean,y4_mean,z4_mean,x1_max,y1_max,z1_max,x2_max,y2_max,z2_max,x3_max,y3_max,z3_max,x4_max,y4_max,z4_max,x1_var,y1_var,z1_var,x2_var,y2_var,z2_var,x3_var,y3_var,z3_var,x4_var,y4_var,z4_var
0,chicken,8.333,0.667,-6.231666667,-3.668666667,11.361,4.023333333,9.602,-1.714666667,-0.015333333,-8.680666667,2.235666667,1.426,10.02,1.41,-5.52,39.86,76.95,13.11,9.9,-1.44,0.3,-1.07,7.64,5.13,0.405345862,0.118504483,0.052476437,149.8337154,494.1743541,48.91338161,0.01929931,0.029053333,0.02148092,27.90377195,17.25113575,8.050004138
1,chicken,10.59466667,-0.461333333,-2.221666667,10.64733333,28.90266667,-8.376333333,9.463333333,-1.551,-0.366,-2.878333333,3.896,-4.001666667,17.04,1.15,0.03,185.08,150.93,22.15,10.09,-0.4,0.4,23.12,15.24,7.59,5.324949885,0.256205057,1.339145402,2150.933144,2323.594186,1249.522403,0.135767816,0.43465069,0.097797241,215.4076282,123.4950731,28.04500057
2,chicken,9.435,3.917333333,5.331666667,76.76466667,19.533,-136.8016667,9.568333333,-0.839333333,0.665,4.957666667,4.233666667,-7.306666667,19.62,12.1,13.86,250.13,250.13,250.13,10.64,0.54,1.25,25.94,17.94,18.42,34.66161897,30.82992368,30.4509523,35646.23279,17154.82488,22582.43315,0.253572989,0.797944368,0.105798276,245.9666392,24.74352747,173.3264644
3,chicken,5.890333333,-2.160333333,2.899666667,-48.099,20.80133333,-2.808333333,9.608666667,-1.174666667,0.750333333,-0.483333333,0.715666667,4.34,19.62,9.96,16.36,250.13,183.28,250.13,10.7,-0.49,1.56,37.37,8.66,26.11,52.41330678,41.93596195,35.18682402,45026.26718,11562.95663,43851.86805,0.142570575,0.185211954,0.156548161,412.8997057,19.98294264,293.2009103
4,chicken,7.150333333,-0.876,4.773666667,-6.268666667,-1.730333333,-44.91866667,9.571666667,-1.086,0.301,0.012333333,0.303333333,0.430666667,18.9,10.42,16.89,250.13,250.13,250.13,10.4,0,1.48,16.05,11.6,27.49,46.35021713,40.15054897,43.39530678,44198.14316,14031.36465,32594.46612,0.061386782,0.404376552,0.252312759,172.457722,44.42153333,255.4105375
5,chicken,7.026333333,-1.450333333,5.936333333,6.814,-30.60666667,-42.348,9.495,-0.919333333,0.549333333,4.127333333,2.257666667,-1.833,17.69,10.1,17.08,250.13,200.52,250.13,10.33,1.31,1.23,24.46,11.28,30.68,41.95011368,41.57254816,44.4964723,37452.95597,10113.26875,33427.56873,0.211632759,0.843096092,0.130082299,276.0442961,28.34959092,264.6196493
6,chicken,6.813333333,-2.129666667,5.276333333,-18.73033333,-38.57333333,-48.271,9.494333333,-1.034,0.461,0.209,-0.197666667,0.486666667,19.62,10.43,15.53,250.13,155.53,233.41,10.34,-0.04,1.36,31.69,5.61,19.62,46.4544092,49.69841713,34.00132057,34274.16574,12066.90642,34190.72597,0.173556437,0.321686897,0.342457586,336.4328162,17.41612885,195.760692
7,chicken,7.317333333,-0.650333333,6.205333333,-1.842666667,-19.613,-38.133,9.690333333,-1.03,0.396666667,-0.472333333,0.411333333,-0.169333333,17.7,9.28,17.53,250.13,107.04,213.68,10.78,0.45,1.06,21.96,6.98,23.24,35.32392368,32.22336885,32.17588092,37193.28042,8125.199994,28313.43259,0.207644713,0.507,0.20431954,275.2417082,21.19736368,225.330503
8,chicken,7.010666667,-0.176,5.252,-12.47266667,-8.338333333,-23.10066667,9.568333333,-0.782,0.506666667,1.962666667,2.441666667,-0.102,19.62,8.3,16.9,250.13,121.62,250.13,10.15,0.73,1.09,26.39,11.87,14,39.23246161,29.62593517,29.11860966,33035.93123,8251.882104,30872.40326,0.141855747,0.531933793,0.125622989,207.5487306,17.42011092,123.4418993
9,chicken,3.856666667,-0.362666667,0.578,-85.095,71.61533333,54.84666667,9.644666667,-0.904666667,0.597333333,-2.732666667,1.354666667,2.706333333,19.01,14.14,6.54,250.13,250.13,250.13,10.38,0.92,1.14,19.69,6.82,19.46,27.27956092,54.2168823,11.81569931,37825.65592,6796.829695,35728.19779,0.069315402,0.384398161,0.079571954,144.8098961,10.0051223,141.0010792
10,chicken,5.484666667,-1.761666667,1.848333333,5.889333333,33.48933333,-35.51166667,9.573333333,-0.922666667,0.428,-2.257666667,0.470666667,0.554333333,16.83,14.65,10.61,250.13,250.13,250.13,10.22,0.79,1.16,18.24,4.95,25.54,39.60578437,58.79302816,28.97901437,42586.29137,20467.55607,42631.31008,0.124154023,0.532261609,0.209851034,95.06059782,11.13411678,179.3345978
11,chicken,4.389666667,-2.695333333,2.171333333,-7.93,25.75966667,-15.02533333,9.573333333,-0.892,0.388333333,-3.474666667,0.764333333,1.421333333,17.46,17.29,14.87,250.13,250.13,250.13,10.11,0.07,1.06,14.66,7.2,22.42,41.19899644,74.62177057,36.1097223,45921.83979,19891.26463,39027.47784,0.072981609,0.401623448,0.109393678,77.20501885,15.00286678,239.5902878
12,chicken,4.016666667,-1.943333333,2.822666667,-5.089666667,6.094333333,-10.87733333,9.562,-0.909666667,0.314,-0.612666667,1.221333333,0.699,15.12,13.62,16.15,250.13,191.09,250.13,10.26,0.08,0.93,19.96,8.21,23.98,29.94194023,77.15290575,40.16638575,45148.51458,11467.49696,37882.68197,0.130195862,0.38883092,0.140052414,95.48104782,16.44763954,208.9262714
13,chicken,5.902,-1.530666667,2.517,-2.531333333,12.14,-35.171,9.580666667,-0.914666667,0.399,0.543333333,1.143666667,1.954333333,19.36,13.45,10.34,250.13,250.13,250.13,10.28,0.24,1.13,22.05,5.82,23.24,48.86432,67.96255126,23.13172517,46674.68037,13199.17468,38292.27412,0.091502989,0.313874023,0.155795517,167.5516989,17.39676885,186.4667771
14,chicken,5.187666667,-2.446,2.929666667,-8.901333333,4.237666667,-47.89366667,9.571,-1.228666667,0.620666667,0.329333333,-0.361,0.321,16.03,12.93,12.4,250.13,250.13,250.13,10.15,-0.28,1.48,20.79,6.69,14.43,27.08047368,73.08932138,22.49743782,41845.25694,13257.08134,32275.46067,0.098388621,0.237736092,0.098696092,126.2511857,12.8262369,105.1327541
15,chicken,5.213666667,-3.467,4.520333333,25.857,-19.18366667,-52.92166667,9.55,-1.006333333,0.448666667,1.104666667,-0.096333333,3.223,18.47,13.49,16.2,250.13,191.5,250.13,10.29,-0.19,1.18,20.99,5.66,24.01,35.4158792,44.78615966,31.45485161,39733.93196,13786.7706,26203.79483,0.143627586,0.31258954,0.148577471,118.184343,11.54918264,130.6899941
16,chicken,5.763,0.020666667,4.067333333,-3.287666667,5.507666667,-32.20566667,9.531333333,-1.020666667,0.247,-0.709666667,-0.101,3.343666667,15.11,11.37,15.32,250.13,191.07,250.13,10.15,-0.11,1.02,29.08,10.72,28.5,29.76864931,52.05865471,32.30613057,39253.01058,10586.96302,29976.65736,0.076784368,0.421896092,0.143911379,253.5015206,28.65754034,281.3751275
17,chicken,6.215666667,-1.693333333,3.559,-22.68333333,4.605,-11.76,9.574666667,-0.998,0.469333333,1.014,1.621,0.071,17.51,9.18,11.06,250.13,210.59,250.13,10.28,0.21,2.51,23.09,6.69,16.47,29.34373575,33.01009195,18.11633345,40222.97569,14230.15876,41309.41334,0.117667126,0.594416552,0.241696092,168.0462041,4.371678276,216.6167748
18,chicken,5.97,-1.187,2.317,-0.784333333,9.423666667,-42.90033333,9.571333333,-1.274333333,0.486,-0.165333333,1.572333333,0.389666667,18.71,12.93,9.54,250.13,139.63,250.13,9.98,-0.66,1.39,22.47,6.73,18.74,35.47684138,57.4986769,20.14944931,46840.24132,8741.211741,37870.69382,0.052701609,0.08914954,0.120211034,187.9976257,10.80061161,125.7021137
19,chicken,6.465666667,0.661666667,4.381,9.698,-12.08866667,-44.03466667,9.562666667,-1.121666667,0.527333333,2.749333333,0.317666667,0.813333333,15.87,13.55,14.29,250.13,139.41,250.13,10.15,0.28,1.25,17.32,7.08,20.86,25.2924254,55.31949023,35.97291966,42935.60968,10662.73303,27252.9869,0.101316782,0.401635057,0.122158161,172.6767651,19.85087368,127.3079057
20,chicken,3.888,0.74,4.608333333,-21.196,-19.77733333,-19.55333333,9.613333333,-0.754666667,0.540333333,-1.369333333,-1.107,-0.538,13.33,11.06,15.24,250.13,169.18,250.13,10.44,0.81,1.6,39.1,9.52,25.41,29.21196828,61.17926897,33.75657299,40749.70169,6068.8856,31822.57951,0.091285057,0.585363678,0.142017126,584.292303,40.10160103,439.1668786
21,chicken,6.762666667,1.645,4.164,20.004,-35.25366667,-28.50366667,9.586333333,-0.967666667,0.203666667,2.475666667,-0.462666667,0.115,19.62,12.06,15.55,250.13,118.5,234.98,10.52,0.45,1.08,25.2,9.38,32.34,22.54395816,55.96701897,39.9562869,42192.19974,6847.751003,26947.29984,0.273520575,0.536073678,0.107541264,282.8904116,30.44475816,445.4079707
22,chicken,7.905666667,-0.168333333,5.063,47.67566667,-35.182,-96.837,9.618,-1.020333333,0.294666667,1.878,-0.081,-4.954333333,17.18,13.1,12.87,250.13,84.59,250.13,10.36,1.1,1.04,20.92,5.37,22.24,56.21094954,53.56597299,31.8102631,43922.69134,8154.720003,36884.67446,0.13052,0.685161954,0.09183954,255.8431062,10.77779552,227.9554254
23,chicken,6.184666667,-0.794,5.169,-15.73033333,-6.336,-19.93066667,9.586666667,-0.953,0.151333333,0.067,0.605333333,3.302333333,18.19,10.98,14.37,250.13,131.65,229.01,10.28,1.13,0.61,23.21,7.22,22.89,46.08863264,41.66582483,32.29885759,38713.2453,8247.446314,31839.58402,0.123505747,0.497635517,0.233191264,283.4866424,18.11809471,203.0472599
24,chicken,4.603333333,-1.069,3.814,-37.985,-3.545666667,6.006,9.515333333,-1.125666667,-0.011666667,-2.091333333,-0.284666667,4.954333333,14.91,9.83,14.07,250.13,111.79,250.13,10.09,-0.02,0.75,24.63,6.81,21.45,39.19316092,49.10336103,24.96630759,40164.70561,5000.913998,34966.51314,0.104211954,0.354163333,0.101014368,204.2187982,15.68239816,155.3606185
25,chicken,4.067,-0.370666667,3.113333333,-54.617,-4.054,8.854,9.559666667,-1.354,0.227333333,-3.172333333,2.374,4.812333333,14.29,12.15,9.82,228.66,105.31,250.13,10.25,-0.11,0.89,25.45,11.31,24.96,22.93671828,56.37535816,12.68867816,33863.40201,4476.49048,29171.94671,0.117782644,0.619355862,0.109565057,143.1831082,15.43571448,209.4843702
26,chicken,5.278,1.303,3.089333333,-24.39,12.96766667,-14.65933333,9.572,-1.263333333,0.398,-6.673333333,2.291,3.179,14.22,10.39,12.87,250.13,172.55,250.13,10.12,0.03,1.06,21.45,7.47,33.7,33.73486483,42.89644241,20.79610989,35992.24656,7257.011825,31577.23187,0.103864828,0.412622989,0.071168276,259.9701126,6.793188621,416.19783
27,chicken,6.048,3.351333333,3.917333333,-9.921666667,-10.43166667,-11.168,9.483,-1.554666667,0.521,3.167,1.677666667,-5.008,12.09,14.18,14.94,250.13,139.02,250.13,10.08,-0.64,1.28,27.65,10.56,20.79,19.24469931,48.40280506,25.97584782,47567.26088,7110.353952,32356.02757,0.127228621,0.359605057,0.165595517,326.5657252,34.7228323,269.57632
28,chicken,6.252666667,0.528,3.465,30.11233333,-29.76166667,-84.05133333,9.596,-1.262333333,0.458333333,0.577333333,-2.379333333,-5.065666667,12.42,14.47,10.48,228.5,104.04,250.13,10.15,0.06,0.91,29.79,4.3,25.15,14.13786851,70.59367172,24.25286724,22346.04954,4454.295056,18816.38444,0.238231724,0.702673678,0.078848851,415.0477375,28.94296506,311.1184116
29,chicken,4.469666667,-4.540333333,3.717333333,-45.91533333,-9.243,42.30266667,9.529666667,-1.364333333,0.618,-4.337666667,-0.376333333,6.139333333,15.78,2.46,13.25,250.13,178.1,250.13,10.03,-0.22,2.66,22.47,4.32,26.55,26.22100333,10.1784792,18.75361333,31978.49982,9487.610691,35111.01806,0.087251609,0.388073678,0.189147586,196.8198599,9.231520575,264.9015995
30,chicken,4.561333333,-0.055333333,2.746666667,-63.819,-4.982,14.971,9.482333333,-1.039666667,0.737333333,-6.576333333,1.684,4.798333333,13.23,12.2,9.36,248.29,108.44,250.13,9.92,0.15,1.17,14.44,12.03,30.4,19.19649471,58.90829471,10.3332023,31137.89577,7820.548451,30552.62058,0.062880575,0.521148161,0.041558161,174.4071964,25.39865241,370.2762695
31,chicken,5.563,0.41,3.603,-59.35866667,3.627666667,-11.13466667,9.529333333,-1.124333333,0.587333333,-2.090333333,-1.751333333,0.950666667,17.63,11.4,11.07,237.65,110.66,250.13,10.12,-0.12,1.07,20.81,5.27,24.54,44.76008379,45.94849655,13.58619414,37280.48898,4696.889763,35876.74785,0.088427126,0.281556437,0.059675402,160.1225482,16.46049471,339.1729375
32,chicken,7.069333333,0.593,3.754,-12.70966667,-15.15033333,-39.95466667,9.654333333,-1.092666667,0.455333333,-0.14,2.373333333,0.687333333,14.28,11.53,10.96,244.47,106.08,221.7,10.51,-0.19,1.12,18.24,11.61,35.26,23.2158823,43.04202862,16.32625931,31858.21746,5628.411603,31240.21573,0.090866782,0.429716782,0.09646023,216.868669,38.39844368,351.0514133
33,chicken,7.801666667,0.803666667,4.421333333,-4.973333333,-26.63033333,-59.64266667,9.384666667,-1.241333333,0.507333333,0.698333333,1.314666667,-3.815,15.15,11.05,11.68,209.65,101.61,235.17,10.16,-0.08,1.06,20.37,6.55,30.64,28.99776609,39.97722402,18.33146713,28316.70006,8931.765665,26423.51378,0.207887816,0.478998161,0.07402023,161.4674213,17.38976368,383.2409431
34,chicken,5.879666667,0.215,5.253333333,15.399,-44.498,-45.73833333,9.574,-0.837,0.349333333,-0.751,-2.285666667,-2.959666667,16.21,13.77,12.52,250.13,85.31,240.26,10.06,0.7,0.92,38.84,9.92,16.11,28.19712747,60.94167414,20.67585747,30928.68753,5518.284679,28377.66678,0.068583448,0.664532069,0.139171954,379.1414093,51.30760471,251.2200378
35,chicken,8.243666667,-2.713333333,6.701666667,41.29533333,-50.597,-53.589,9.659666667,-1.06,0.557666667,2.274,-1.719333333,-0.373,16.51,8.86,13.58,250.13,83.7,214.05,10.6,0.44,1.13,24.85,12.38,30.49,27.64483092,23.93925747,16.19669713,24723.56815,8299.581622,30008.41677,0.132437816,0.541765517,0.130832299,259.7758455,48.1390892,278.1587183
36,chicken,4.795666667,-0.369666667,2.869333333,-68.16066667,12.88233333,9.611333333,9.482333333,-1.191,0.648333333,-1.997666667,-0.000666667,2.904,15.36,10.52,12.08,225.85,182.65,238.18,10.2,-0.08,2.47,22.28,6.1,27.66,20.30485989,51.92903092,14.53184782,33087.86299,10516.85916,26420.88702,0.202218506,0.580533448,0.166248851,201.7806116,23.17340644,274.0719903
37,chicken,6.108333333,-0.647666667,2.934,-54.76633333,2.210333333,-26.664,9.641333333,-0.9,0.525666667,-5.927,0.233,-0.215666667,19.62,11.44,12.68,250.13,242.3,250.13,10.07,-0.11,1.15,13.56,6.46,20.73,52.23879368,40.93811506,12.98198345,31486.69873,12230.8512,32835.10769,0.06308092,0.37362069,0.081984023,145.6576424,34.75529759,334.7392944
38,chicken,6.516,1.869666667,4.021333333,-23.14866667,1.120333333,-24.77733333,9.6,-0.972333333,0.467666667,2.081333333,1.225333333,-1.207333333,19.62,10.64,11.52,250.13,122.31,243.52,10.13,0.49,1.49,35.6,14.39,25.54,41.40390069,37.81192747,19.11164644,42209.93128,8368.135369,37980.77518,0.092634483,0.677328851,0.164301264,289.643412,76.61425333,337.195572
39,chicken,7.322,-1.626,3.329,5.785,-40.50166667,-81.99966667,9.567,-1.335333333,0.504666667,0.413666667,1.001333333,0.039333333,18.96,9.18,13.3,250.13,123.95,178.14,10.11,0.11,1.22,13.99,9.47,28.18,43.98227172,49.79008,25.05544379,25242.71743,9174.919476,20518.1035,0.079435517,0.459370575,0.162970575,85.94949299,39.09282575,223.0223789
40,chicken,5.569333333,-2.572666667,5.481333333,19.23233333,-28.476,-71.19866667,9.478666667,-1.263333333,0.465,-1.420333333,-0.283666667,-5.829333333,14.05,12.16,18.15,250.13,152.51,207.77,10.86,0.17,1.19,24.8,8.72,25.58,34.45497195,54.06701333,26.93304644,43210.8032,8831.837611,29289.94484,0.293142989,0.514036782,0.175025862,271.8259757,40.5074654,694.902503
41,chicken,5.834333333,-0.978666667,5.616333333,-33.34566667,-43.755,-4.471,9.499666667,-1.155666667,0.268333333,6.518,-6.478,2.073666667,16.52,9.98,13.14,250.13,160.11,218.98,10.25,0.92,1.07,43.46,14.43,48.05,36.01670816,32.9543154,19.15843092,33506.49349,8041.543212,29512.07265,0.122444713,1.172832299,0.340697126,562.8292028,87.23139586,1091.254948
42,chicken,1.170333333,2.834333333,0.059,-184.038,42.085,89.157,9.602333333,-0.695,0.415666667,-15.99033333,4.234666667,12.33533333,8.52,14.07,4.48,132.23,206.27,250.13,9.95,0.64,1.61,2.83,14.75,39.66,7.925279195,58.56714954,6.001981724,10775.90808,2969.969136,21666.62259,0.041887471,0.415956897,0.201639195,99.47144471,42.65748092,441.1777637
43,chicken,8.204,-6.897333333,5.331333333,116.0313333,-86.478,-149.552,9.296,-2.073333333,0.196666667,6.279333333,-7.782666667,1.209333333,15.57,-0.51,11.67,250.13,15.08,-18.73,9.7,-0.96,0.75,16.85,-2.71,32.84,32.19885429,14.13306381,18.27988381,9507.787755,3370.296531,7920.98286,0.06634,0.57192381,0.125695238,45.22144952,5.056878095,511.7021924
0,chicken,8.913333333,0.028333333,-4.545,9.944,32.513,3.110666667,9.484666667,-1.849,-0.250666667,1.405666667,-2.203333333,-1.029666667,10.39,0.81,-1.48,42.94,95.07,22.15,9.9,-0.95,0.3,23.12,12.65,7.59,0.536098851,0.291455747,3.233563793,321.2116179,993.4344286,101.2928271,0.102667126,0.266367931,0.13502023,131.1755564,69.15782299,19.28065161
1,chicken,12.09333333,0.25,2.596333333,67.87933333,8.831666667,-104.1603333,9.61,-0.833666667,0.264333333,-5.927333333,8.840666667,-5.996,19.62,9.65,13.86,250.13,250.13,51.07,10.3,0.54,1.21,25.94,17.94,10.53,15.22757471,15.92412414,32.73702402,21999.02956,16720.43237,11897.60279,0.142593103,0.599513678,0.273073678,153.7255651,30.00604782,50.86839724
2,chicken,7.287,0.432333333,4.812333333,15.18466667,5.120333333,-71.066,9.497,-1.229,0.649333333,1.798,1.598666667,-0.508666667,19.62,12.1,16.36,250.13,162.57,250.13,10.64,-0.26,1.41,29.73,8.66,26.11,41.57799414,53.92693575,37.21028747,43939.16222,7062.926817,35266.86602,0.190145862,0.35520931,0.13144092,351.4231062,14.18957057,317.5275223
3,chicken,8.084666667,-0.246,4.005,10.66,11.83566667,-65.77066667,9.662333333,-1.103,0.466666667,5.702,-1.471666667,-4.842666667,19.62,9.96,15.38,250.13,183.28,250.13,10.7,-0.46,1.56,37.37,9.57,25.05,49.49533609,41.94105241,31.68659138,41639.61408,13056.76482,40313.56799,0.141128851,0.220056207,0.28711954,279.7895062,32.89237989,263.7214478
4,chicken,6.263666667,1.598,4.504666667,-34.68766667,5.813,-19.89633333,9.488666667,-0.987666667,0.537,2.930666667,4.975333333,-0.046,17.69,10.42,17.08,250.13,250.13,250.13,10.33,0.19,1.48,24.46,11.6,27.49,42.29440333,41.85693379,44.95181195,36107.68429,14686.45392,31579.78367,0.152908506,0.517177126,0.169938966,225.0244616,14.71103264,241.8416317
5,chicken,4.557,-1.53,4.441666667,-29.88833333,-16.587,-10.22166667,9.491333333,-0.967333333,0.548333333,-0.616,0.584333333,2.004666667,16.72,10.43,16.22,250.13,161.21,250.13,10.15,1.31,1.23,31.69,7.69,30.68,36.24274586,44.99194483,40.30211782,39377.03808,7886.602698,35391.54579,0.112342989,0.696206437,0.136752299,332.3219903,17.76957713,263.9032602
6,chicken,6.339666667,-2.258,4.435,-55.98933333,-22.64733333,-8.107,9.624,-1.040666667,0.421,-5.506333333,-0.087333333,2.236666667,19.62,9.28,15.53,250.13,145.95,233.41,10.5,-0.04,1.36,25.69,6.79,19.62,45.88297575,43.26435448,27.27777759,36699.85814,11309.0681,34807.11341,0.280376552,0.28482023,0.371492069,302.3513689,17.25235816,196.3597264
7,chicken,6.509,-1.331,5.719333333,-20.70233333,-8.490666667,-16.05433333,9.579666667,-0.865,0.327333333,2.163333333,1.403333333,0.551666667,17.7,8.3,17.53,234.31,121.62,218.05,10.78,0.57,1.01,21.96,11.87,23.24,33.38258862,29.4230231,35.18046851,34643.13335,9574.474917,24947.3726,0.163927471,0.674363793,0.173647816,196.3023609,30.4631954,168.4724902
8,chicken,8.398,1.215,5.157333333,34.05966667,-20.352,-57.168,9.676666667,-0.820333333,0.627333333,4.554,1.072666667,-2.233,19.62,14.14,16.9,250.13,124.53,250.13,10.38,0.92,1.14,26.39,8.13,17.59,37.67860276,38.55952241,34.19930299,37843.76217,7272.648665,36542.15947,0.093174713,0.629451609,0.110013333,192.08248,14.14518575,141.5320217
9,chicken,6.058333333,-2.515333333,2.180333333,11.682,15.65966667,-40.75333333,9.621,-1.071,0.524,-2.264666667,0.201333333,-1.019666667,16.83,14.65,10.61,250.13,250.13,250.13,10.12,0.79,1.16,18.24,5.53,19.46,34.93559368,51.64705333,24.70595506,42270.97164,18340.2253,40078.41482,0.050636897,0.42785069,0.146404138,104.7338395,11.23859126,131.9581344
10,chicken,4.912666667,-2.785666667,2.71,9.541,37.41533333,-28.814,9.556666667,-0.924666667,0.387333333,-4.198666667,1.127333333,0.527333333,17.46,13,14.87,250.13,250.13,250.13,10.22,0.27,1.06,14.66,5.73,25.54,38.19202023,60.86315644,34.94031724,41626.79652,19810.2073,39919.07259,0.129154023,0.460667126,0.180047816,89.12748782,11.23934437,216.5674202
11,chicken,3.785333333,-2.935666667,2.552,-5.123,29.39133333,-9.524,9.610333333,-0.926333333,0.358666667,-1.814666667,-0.204666667,1.899,15.12,17.29,16.15,250.13,250.13,250.13,10.26,-0.13,0.93,19.96,7.2,22.42,31.92342575,79.16845299,43.1021131,46380.32271,17792.82976,37952.28159,0.108024023,0.360217126,0.117018851,101.976274,12.73246023,211.71623
12,chicken,5.950666667,-2.16,2.421,0.611333333,1.218666667,-20.34266667,9.537,-0.856,0.306666667,2.015333333,1.141333333,2.126666667,19.36,13.62,10.34,250.13,191.09,250.13,10.28,0.24,1.08,22.05,8.21,23.98,46.83610299,65.82464828,22.80431966,44962.18647,11322.91392,40935.22799,0.123697586,0.329445517,0.155278161,106.8865016,21.41939816,189.1960851
13,chicken,4.068333333,-4.263333333,2.266666667,-33.61366667,15.54566667,-15.88033333,9.550666667,-1.098666667,0.563333333,-1.918,1.080666667,5.080333333,16.03,13.45,12.4,250.13,250.13,250.13,10.05,-0.17,1.48,20.22,6.69,23.24,32.69431782,61.51296782,26.98503678,39342.02277,12565.57069,32592.97356,0.05199954,0.301398161,0.110747126,118.0041752,17.30802713,128.5234861
14,chicken,4.923666667,-0.838333333,3.885666667,-16.64633333,2.289666667,-32.39033333,9.532,-1.094666667,0.533333333,-0.025666667,-0.194,1.282,18.47,12.93,16.2,250.13,250.13,250.13,10.15,-0.19,1.18,20.79,3.92,14.91,33.24536195,57.81599368,35.33372195,45169.83976,17054.19423,30899.41976,0.116216552,0.327156782,0.156588506,116.0338116,8.558197241,100.7628648
15,chicken,6.578,-0.241,4.671,53.90566667,-10.22266667,-77.72433333,9.570666667,-1.001,0.478,5.126,-1.272666667,-2.785333333,15.11,13.49,15.32,250.13,185.35,250.13,10.29,-0.11,1.02,29.08,5.66,24.01,30.15810621,56.06665759,30.63315414,36781.66569,8823.148186,27685.51867,0.137151264,0.313354138,0.079230345,197.0382386,17.75310989,206.7418533
16,chicken,6.12,-1.707666667,3.209333333,-15.243,-7.424,-33.637,9.561333333,-1.188333333,0.295333333,-0.508333333,2.164,3.2,17.51,11.37,11.06,250.13,191.07,250.13,10.28,-0.27,2.51,23.09,10.72,28.5,31.67891724,50.17305989,20.46519264,36853.1968,13571.42269,32002.3123,0.127487816,0.52371092,0.314501609,213.7198006,12.37192828,291.6826552
17,chicken,5.984333333,-2.978333333,3.280333333,-15.986,17.45333333,-9.161,9.553333333,-0.956666667,0.345333333,-0.448,0.937333333,5.073666667,18.71,9.18,9.54,250.13,210.59,250.13,9.91,0.21,0.73,22.47,6.69,18.74,31.12861161,33.8451592,13.81632747,44341.76711,11722.11293,38910.65393,0.039905747,0.329974713,0.052874023,149.2090579,7.744978851,144.4269551
18,chicken,5.166666667,-1.023333333,3.736666667,-9.638333333,2.497333333,-16.41133333,9.562,-1.174666667,0.526,-2.158333333,0.572333333,0.973666667,15.87,12.93,14.29,250.13,139.63,250.13,10.15,0.28,1.39,17.32,6.73,20.86,26.94009885,49.64604368,38.21792644,42828.28302,10543.56121,34236.89078,0.111071724,0.375998161,0.136907586,180.1236971,20.05759092,147.5978171
19,chicken,4.926666667,0.738666667,3.596333333,-42.61533333,20.54466667,-34.972,9.619666667,-1.036666667,0.647333333,3.888333333,0.830666667,-0.441666667,13.61,13.55,15.24,250.13,169.18,250.13,10.44,0.81,1.25,38.33,9.52,16.08,26.44096092,61.46405333,32.53805851,40146.25345,6946.114915,27226.05144,0.104286092,0.251485057,0.097634023,347.0440351,35.76980644,177.4987247
20,chicken,4.253,0.526,4.318,-25.39133333,-38.165,30.10966667,9.535666667,-0.756,0.331,-5.884333333,-1.882333333,5.372666667,13.33,10.99,15.55,250.13,55.37,250.13,10.06,0.45,1.6,39.1,5.24,32.34,21.66887,50.69620414,35.83278897,40480.74112,4948.086529,31317.39413,0.079046092,0.744742069,0.130078276,406.0831082,28.3522254,474.389234
