,x1,y1,z1,x2,y2,z2,x3,y3,z3,class,index.1
478,6.19,-3.68,10.37,-209.58,-149.32,223.61,7.75,-3.28,4.99,tapshoulder,
479,3.44,-3.24,8.18,-241.04,-161.73,245.34,7.44,-3.61,4.92,tapshoulder,
480,0.92,-2.25,6.69,-195.73,-92.46,227.09,6.79,-3.64,4.5,tapshoulder,
481,-17.35,4.31,-7.81,-236.41,-162.05,225.52,7.25,-3.61,2.11,tapshoulder,
482,-19.62,3.91,-19.62,-244.18,-250.14,135.18,6.71,-3.57,2.17,tapshoulder,
483,-10.44,-8.95,-12.48,238.97,250.13,-250.14,8.29,-3.73,2.61,tapshoulder,
484,-6.56,-4.08,2.39,250.13,158.61,-250.14,9.6,-3.48,2.74,tapshoulder,
485,-19.62,13.8,19.62,250.13,24.31,-250.14,10.47,-2.97,4.26,tapshoulder,
486,-10.68,19.62,19.47,250.13,-250.14,-250.14,10.9,-2.63,4.69,tapshoulder,
487,17.07,12.41,19.62,-101.23,250.13,-107.72,7.59,-2.57,3.32,tapshoulder,
488,5.83,9.25,18.92,-250.14,230.85,109.9,6.62,-3.65,3.8,tapshoulder,
489,-1.99,2.37,10.74,-250.14,-250.14,250.13,7.55,-3.32,4.85,tapshoulder,
490,6.47,0.04,9.8,-250.14,-250.14,250.13,9.29,-2.6,4.58,tapshoulder,
491,8.29,-0.94,5.51,-250.14,-63.85,250.13,10.14,-0.72,4.47,tapshoulder,
492,5.01,-1.44,3.66,-250.14,128.84,148.21,8.97,-0.97,4.23,tapshoulder,
493,-5.02,-6.26,-3.59,-250.14,131.88,250.13,7.96,-2.56,2.5,tapshoulder,
494,-8.4,-5.24,-2.32,-250.14,250.13,227.55,8.49,-1.66,2.62,tapshoulder,
495,-13.84,-5.99,-12.41,-250.14,151.64,250.13,8.94,-1.58,2.87,tapshoulder,
496,-15.29,-2.24,-19.62,-250.14,-23.48,126.71,8.94,-0.9,2.32,tapshoulder,
497,-12.51,-7.0,-15.22,250.13,250.13,-22.11,8.13,-1.47,3.33,tapshoulder,
498,-12.08,6.5,-11.86,250.13,-234.82,93.72,8.42,-1.63,3.64,tapshoulder,
499,-12.03,19.62,-4.41,250.13,-228.53,54.94,9.6,-2.76,4.89,tapshoulder,
500,18.44,16.32,9.72,250.13,-250.14,-250.14,9.38,-3.45,6.14,tapshoulder,
501,13.27,14.78,19.62,-250.14,199.52,-79.37,6.03,-3.04,3.92,tapshoulder,
502,-0.1,13.9,13.64,-250.14,60.56,72.8,5.32,-3.61,5.05,tapshoulder,
503,10.03,-2.36,9.81,-250.14,-250.14,19.02,9.15,-2.35,7.38,tapshoulder,
504,14.53,-3.2,9.79,-208.79,-250.14,57.05,10.68,-2.27,5.98,tapshoulder,
505,18.83,-4.98,4.97,-250.14,191.27,48.34,9.22,-2.01,5.1,tapshoulder,
506,15.4,-6.52,3.16,-250.14,250.13,18.73,8.0,-2.66,5.69,tapshoulder,
507,9.05,9.18,7.58,-250.14,70.85,165.89,8.33,-1.25,3.76,tapshoulder,
508,8.13,6.47,5.9,-250.14,150.52,188.34,8.59,-1.15,4.18,tapshoulder,
509,4.78,3.35,4.31,-250.14,1.95,250.13,7.96,-1.43,2.82,tapshoulder,
