,class,x1_mean,y1_mean,z1_mean,x2_mean,y2_mean,z2_mean,x3_mean,y3_mean,z3_mean,x4_mean,y4_mean,z4_mean,x1_max,y1_max,z1_max,x2_max,y2_max,z2_max,x3_max,y3_max,z3_max,x4_max,y4_max,z4_max,x1_var,y1_var,z1_var,x2_var,y2_var,z2_var,x3_var,y3_var,z3_var,x4_var,y4_var,z4_var
0,bunny,1.9503333333333335,-5.076333333333333,3.320666666666667,-57.109333333333325,57.13733333333331,28.376333333333346,9.657666666666668,-0.9863333333333333,0.0666666666666667,-6.953333333333336,14.411,5.771333333333334,8.26,1.09,5.45,44.34,206.23,178.69,10.49,-0.35,0.74,103.76,36.75,9.7,6.599375747126436,10.764492988505749,0.9011305747126431,3054.148054712645,15139.14962022988,6553.879092988506,0.44065298850574725,0.26765850574712646,0.11939540229885057,524.5545195402299,143.5945955172414,11.424963678160921
1,bunny,-1.365333333333333,-5.037,1.29,14.054666666666662,-21.678999999999995,1.804000000000002,9.614000000000003,-1.3793333333333335,0.164,33.494000000000014,0.30800000000000016,-1.3996666666666664,19.62,19.62,18.61,250.13,250.13,250.13,10.93,0.53,1.48,99.95,11.56,17.87,40.09201195402299,120.16045620689655,37.56917931034483,28740.204722298848,21215.53288517241,23778.504486896552,0.6143213793103449,0.7018960919540234,0.35243172413793106,1241.6024248275867,35.982864827586205,62.08994816091953
2,bunny,2.261333333333333,-8.425333333333333,2.55,-50.874333333333354,96.45533333333334,21.74833333333333,9.630666666666663,-0.6623333333333333,0.26366666666666655,-109.69666666666666,8.344333333333335,-1.3193333333333332,18.69,18.12,19.62,206.85,250.13,250.13,11.49,1.12,2.59,-0.62,35.9,8.68,14.125425747126439,35.93919816091954,18.77950344827586,8929.226377126439,11856.684474022986,7981.867214367815,0.8500754022988495,2.2379288505747126,0.4915274712643678,1846.2367885057474,397.80039091954023,41.43014436781609
3,bunny,3.5633333333333335,-5.0,1.7646666666666673,-22.273333333333326,7.220666666666661,13.128000000000002,9.621666666666668,-0.9966666666666665,-0.3109999999999999,-2.8516666666666675,-0.5243333333333334,7.574666666666665,19.62,19.62,13.86,250.13,174.31,250.13,11.4,0.05,0.7,86.86,14.32,22.52,48.03614712643677,87.44226206896553,32.93871540229885,30702.502760919546,14912.112047816096,20663.42751310344,0.7508143678160921,0.3341402298850574,0.11343689655172416,1904.5821591954025,99.59790126436782,38.78074298850574
4,bunny,0.9123333333333339,-10.597333333333331,0.6459999999999998,-17.598333333333336,-73.57966666666667,38.507999999999996,9.341000000000001,-2.1033333333333335,0.1043333333333333,102.18333333333332,-14.625,-0.7876666666666682,6.76,-8.14,2.93,155.2,140.2,196.26,11.56,0.14,0.67,151.3,8.32,19.99,7.150577126436784,1.1197650574712648,5.772735172413793,2371.8436074712645,5777.379637816092,5113.2216993103475,1.2899541379310344,3.156836781609196,0.06682540229885055,791.3017126436785,525.062722413793,197.41734954022985
5,bunny,2.8213333333333335,-3.4793333333333343,4.547666666666667,-88.64899999999999,-21.19533333333335,34.504333333333335,9.608666666666666,-1.2856666666666672,0.8139999999999998,-42.832666666666675,-4.389,-5.507999999999999,15.83,19.62,18.27,250.13,192.32,250.13,12.45,1.5,2.12,37.93,15.53,15.05,46.34119126436781,146.03753747126436,62.63475643678162,23537.21576103448,23431.08649471265,14243.353059885054,2.198742988505747,1.888521954022989,0.576776551724138,2740.214454712644,136.2809955172414,94.0181406896552
6,bunny,3.076666666666666,-8.083333333333332,-0.39366666666666644,-30.231999999999996,136.89733333333334,-2.5596666666666676,9.506333333333334,-0.384,0.08333333333333333,-98.66066666666667,15.387333333333336,1.8996666666666668,19.62,19.62,17.06,250.13,250.13,226.71,11.68,1.31,0.83,0.41,31.4,20.26,22.79655402298851,44.32602298850575,25.00819643678161,14292.803299310344,7474.577461609197,8270.849837816091,0.7824654022988506,1.1578662068965517,0.12610574712643674,2614.335937471265,149.02591678160923,78.28808609195403
7,bunny,1.9116666666666664,-5.181333333333332,-1.8190000000000002,-8.015999999999996,-24.451333333333327,-7.756000000000001,9.507333333333332,-1.3956666666666664,-0.14633333333333337,42.90400000000001,-8.519333333333334,3.4073333333333333,15.32,19.62,17.4,250.13,250.13,207.19,11.13,0.22,1.22,133.35,9.56,20.63,51.632055747126444,105.20476367816092,55.15356793103447,30645.354769655165,20425.384777471263,26792.476693793105,1.0329029885057488,0.7215081609195402,0.2917826436781609,2918.050976551724,144.55236505747126,47.61114436781609
8,bunny,1.1753333333333331,-8.695,1.6039999999999999,2.1929999999999996,-83.57333333333332,31.779333333333334,9.592333333333334,-1.7156666666666667,0.3473333333333333,80.51266666666665,-7.212666666666668,1.723666666666667,11.98,19.62,14.9,250.13,177.1,211.6,11.34,-0.83,1.34,156.9,12.0,20.23,21.453315402298852,84.42343965517243,24.501121379310344,15946.552145862068,12403.558422988508,12162.024965057468,0.5967564367816085,0.4980943678160919,0.31518574712643677,3075.631944367817,153.02647540229881,53.507361954023
9,bunny,1.7596666666666667,-4.541333333333332,2.6713333333333327,-27.500333333333334,19.25133333333333,-20.17299999999999,9.45933333333333,-1.2169999999999994,0.6423333333333334,-52.111000000000004,1.2013333333333331,-5.345333333333333,13.01,15.18,14.73,250.13,223.66,184.89,10.13,0.81,1.47,-2.79,23.95,4.56,45.8816791954023,85.42289471264368,57.05022574712643,26791.576092988507,12619.89390850575,15700.293297586208,0.30385471264367847,1.3860700000000004,0.17068747126436784,1889.8107127586206,125.58021885057471,71.66722574712644
